,data,size,queue,memory,type,is_cold
0,0.0009012222290039062,0,lambda,2048,rtt,
1,0.0008599758148193359,0,lambda,2048,rtt,
2,0.0009348392486572266,0,lambda,2048,rtt,
3,0.0008435249328613281,0,lambda,2048,rtt,
4,0.0008878707885742188,0,lambda,2048,rtt,
5,0.0008914470672607422,0,lambda,2048,rtt,
6,0.0008606910705566406,0,lambda,2048,rtt,
7,0.0009074211120605469,0,lambda,2048,rtt,
8,0.0011568069458007812,0,lambda,2048,rtt,
9,0.0009605884552001953,0,lambda,2048,rtt,
10,0.0008673667907714844,0,lambda,2048,rtt,
11,0.0009057521820068359,0,lambda,2048,rtt,
12,0.0008463859558105469,0,lambda,2048,rtt,
13,0.0008602142333984375,0,lambda,2048,rtt,
14,0.0008547306060791016,0,lambda,2048,rtt,
15,0.0008630752563476562,0,lambda,2048,rtt,
16,0.0008668899536132812,0,lambda,2048,rtt,
17,0.0008668899536132812,0,lambda,2048,rtt,
18,0.0009205341339111328,0,lambda,2048,rtt,
19,0.0009164810180664062,0,lambda,2048,rtt,
20,0.0008566379547119141,0,lambda,2048,rtt,
21,0.0008416175842285156,0,lambda,2048,rtt,
22,0.0008559226989746094,0,lambda,2048,rtt,
23,0.0009019374847412109,0,lambda,2048,rtt,
24,0.0010828971862792969,0,lambda,2048,rtt,
25,0.0009760856628417969,0,lambda,2048,rtt,
26,0.0008673667907714844,0,lambda,2048,rtt,
27,0.0008993148803710938,0,lambda,2048,rtt,
28,0.0009796619415283203,0,lambda,2048,rtt,
29,0.0009241104125976562,0,lambda,2048,rtt,
30,0.0010249614715576172,0,lambda,2048,rtt,
31,0.0008792877197265625,0,lambda,2048,rtt,
32,0.0009186267852783203,0,lambda,2048,rtt,
33,0.0009407997131347656,0,lambda,2048,rtt,
34,0.0008649826049804688,0,lambda,2048,rtt,
35,0.0008628368377685547,0,lambda,2048,rtt,
36,0.0008854866027832031,0,lambda,2048,rtt,
37,0.0008487701416015625,0,lambda,2048,rtt,
38,0.0008058547973632812,0,lambda,2048,rtt,
39,0.0008077621459960938,0,lambda,2048,rtt,
40,0.0008254051208496094,0,lambda,2048,rtt,
41,0.0009219646453857422,0,lambda,2048,rtt,
42,0.0008685588836669922,0,lambda,2048,rtt,
43,0.0008859634399414062,0,lambda,2048,rtt,
44,0.0008966922760009766,0,lambda,2048,rtt,
45,0.0008001327514648438,0,lambda,2048,rtt,
46,0.0008516311645507812,0,lambda,2048,rtt,
47,0.0008406639099121094,0,lambda,2048,rtt,
48,0.0008523464202880859,0,lambda,2048,rtt,
49,0.0008542537689208984,0,lambda,2048,rtt,
