type,value,memory,function,repetitions
total,0.10871786952018737,512,writer,200
lock,0.10778809428215026,512,writer,200
push,0.0006257534027099609,512,writer,200
total,0.29514386534690856,512,distributor,200
notify,0.00018973231315612792,512,distributor,200
commit,0.10389832496643066,512,distributor,200
write,0.08239680290222168,512,distributor,200
pop,0.08177629113197327,512,distributor,200
