,data,client_write_data,op,memory,size
0,103899.0,15424.0,set_data,512,128
1,132507.0,12016.0,set_data,512,128
2,145649.0,14157.0,set_data,512,128
3,105118.0,12964.0,set_data,512,128
4,97670.0,14776.0,set_data,512,128
5,111450.0,12815.0,set_data,512,128
6,97106.0,15084.0,set_data,512,128
7,109233.0,13001.0,set_data,512,128
8,102327.0,14564.0,set_data,512,128
9,108408.0,13666.0,set_data,512,128
10,145744.0,13746.0,set_data,512,128
11,100633.0,11857.0,set_data,512,128
12,117283.0,13720.0,set_data,512,128
13,123495.0,15385.0,set_data,512,128
14,108652.0,11687.0,set_data,512,128
15,104147.0,13828.0,set_data,512,128
16,105424.0,12334.0,set_data,512,128
17,94600.0,13258.0,set_data,512,128
18,113485.0,12956.0,set_data,512,128
19,106373.0,13895.0,set_data,512,128
20,100048.0,12159.0,set_data,512,128
21,104330.0,10830.0,set_data,512,128
22,105570.0,11218.0,set_data,512,128
23,110089.0,20770.0,set_data,512,128
24,100225.0,14010.0,set_data,512,128
25,99892.0,11377.0,set_data,512,128
26,103971.0,16175.0,set_data,512,128
27,115306.0,13000.0,set_data,512,128
28,105015.0,21106.0,set_data,512,128
29,103968.0,12536.0,set_data,512,128
30,100559.0,9792.0,set_data,512,128
31,110934.0,16636.0,set_data,512,128
32,103995.0,12307.0,set_data,512,128
33,103041.0,13084.0,set_data,512,128
34,104761.0,10491.0,set_data,512,128
35,119930.0,21641.0,set_data,512,128
36,101663.0,13132.0,set_data,512,128
37,94774.0,12962.0,set_data,512,128
38,100781.0,13616.0,set_data,512,128
39,99135.0,12040.0,set_data,512,128
40,97449.0,11480.0,set_data,512,128
41,98057.0,12180.0,set_data,512,128
42,100333.0,12472.0,set_data,512,128
43,166331.0,10466.0,set_data,512,128
44,101284.0,9927.0,set_data,512,128
45,108176.0,18897.0,set_data,512,128
46,90393.0,14132.0,set_data,512,128
47,98942.0,13379.0,set_data,512,128
48,99613.0,11866.0,set_data,512,128
49,154987.0,62327.0,set_data,512,128
50,96490.0,13569.0,set_data,512,128
51,103874.0,12497.0,set_data,512,128
52,104454.0,13648.0,set_data,512,128
53,98418.0,11265.0,set_data,512,128
54,96527.0,13874.0,set_data,512,128
55,104695.0,13353.0,set_data,512,128
56,102158.0,16206.0,set_data,512,128
57,100631.0,16478.0,set_data,512,128
58,100474.0,13416.0,set_data,512,128
59,108463.0,14465.0,set_data,512,128
60,104656.0,10748.0,set_data,512,128
61,115314.0,18325.0,set_data,512,128
62,101892.0,13865.0,set_data,512,128
63,98930.0,13499.0,set_data,512,128
64,100338.0,11573.0,set_data,512,128
65,141401.0,12666.0,set_data,512,128
66,100762.0,13152.0,set_data,512,128
67,103253.0,16511.0,set_data,512,128
68,109251.0,11995.0,set_data,512,128
69,94440.0,13909.0,set_data,512,128
70,100926.0,10614.0,set_data,512,128
71,178044.0,14858.0,set_data,512,128
72,136906.0,12718.0,set_data,512,128
73,106813.0,13924.0,set_data,512,128
74,156771.0,11971.0,set_data,512,128
75,102103.0,13385.0,set_data,512,128
