type,value,memory,function,repetitions
total,0.11475620150566102,512,writer,200
lock,0.10565196752548217,512,writer,200
push,0.003394155502319336,512,writer,200
total,0.3087895023822784,512,distributor,200
notify,0.00021911263465881347,512,distributor,200
commit,0.10519951939582825,512,distributor,200
write,0.08705627679824829,512,distributor,200
pop,0.08111554503440857,512,distributor,200
