type,value,memory,function,repetitions
total,0.11006136298179627,512,writer,200
lock,0.10747310757637024,512,writer,200
push,0.00096177339553833,512,writer,200
total,0.30241658091545104,512,distributor,200
notify,0.0002012157440185547,512,distributor,200
commit,0.10421144366264343,512,distributor,200
write,0.0843496835231781,512,distributor,200
pop,0.08129745244979858,512,distributor,200
