,mean_value,execution_counts,type,function
0,90425487.58370791,39,execution_times,writer
1,96238910.42250215,38,execution_times,writer
2,118092906.27601771,37,execution_times,writer
3,136163783.80130002,5,execution_times,writer
4,0.0,0,execution_times,distributor
5,298009628.86439556,38,execution_times,distributor
6,284800967.65328556,39,execution_times,distributor
7,314500033.7707964,34,execution_times,distributor
8,442601207.0000029,5,execution_times,distributor
9,136444360.37681052,1,user_memory_bytes,writer
10,136190816.68078828,1,user_memory_bytes,writer
11,0.0,0,user_memory_bytes,writer
12,130754240.93354794,1,user_memory_bytes,distributor
13,130239322.88408346,1,user_memory_bytes,distributor
14,129539027.05189404,1,user_memory_bytes,distributor
15,0.0,0,network_egress,writer
16,0.0,0,network_egress,writer
17,0.0,0,network_egress,writer
18,0.0,0,network_egress,writer
19,0.0,0,network_egress,distributor
20,0.0,0,network_egress,distributor
21,0.0,0,network_egress,distributor
22,0.0,0,network_egress,distributor
23,0.0,0,network_egress,distributor
