type,value,memory,function,repetitions
total,0.09233798503875733,2048,writer,200
lock,0.0893799126148224,2048,writer,200
push,0.0010110306739807128,2048,writer,200
total,0.2436650550365448,2048,distributor,200
notify,0.00019878625869750976,2048,distributor,200
commit,0.08131792902946472,2048,distributor,200
write,0.08185407161712646,2048,distributor,200
pop,0.06079888820648193,2048,distributor,200
total,0.10806420922279358,512,writer,200
lock,0.1054764711856842,512,writer,200
push,0.0010428822040557861,512,writer,200
total,0.2891732370853424,512,distributor,200
notify,0.00020110845565795898,512,distributor,200
commit,0.10530598998069764,512,distributor,200
write,0.08267366528511047,512,distributor,200
pop,0.0767633581161499,512,distributor,200
