,mean_value,execution_counts,type,function
0,98512952.19881384,38,execution_times,writer
1,118027320.36709175,37,execution_times,writer
2,121891181.94447494,21,execution_times,writer
3,296856134.827051,38,execution_times,distributor
4,312246980.7628665,37,execution_times,distributor
5,372784369.27688986,21,execution_times,distributor
6,127246336.0,1,user_memory_bytes,writer
7,127213568.0,1,user_memory_bytes,writer
8,127168512.0,1,user_memory_bytes,writer
9,127139840.0,1,user_memory_bytes,writer
10,132870144.0,1,user_memory_bytes,distributor
11,132775936.0,1,user_memory_bytes,distributor
12,132616192.0,1,user_memory_bytes,distributor
13,132337664.0,1,user_memory_bytes,distributor
14,0.0,0,network_egress,writer
15,0.0,0,network_egress,writer
16,0.0,0,network_egress,writer
17,0.0,0,network_egress,writer
18,0.0,0,network_egress,distributor
19,0.0,0,network_egress,distributor
20,0.0,0,network_egress,distributor
21,0.0,0,network_egress,distributor
