type,value,memory,function,repetitions
total,0.30875658988952637,2048,writer,200
lock,0.29627513885498047,2048,writer,200
push,0.004784345626831055,2048,writer,200
total,0.7110636234283447,2048,distributor,200
notify,0.0023794174194335938,2048,distributor,200
commit,0.2763228416442871,2048,distributor,200
write,0.13396692276000977,2048,distributor,200
pop,0.2062380313873291,2048,distributor,200
total,0.20338749885559082,512,writer,200
lock,0.19047021865844727,512,writer,200
push,0.005633831024169922,512,writer,200
total,0.5793139934539795,512,distributor,200
notify,0.0021948814392089844,512,distributor,200
commit,0.13259267807006836,512,distributor,200
write,0.13259267807006836,512,distributor,200
pop,0.11169052124023438,512,distributor,200

