,mean_value,execution_counts,type,function
0,96663562.79315609,38,execution_times,writer
1,92675017.14027172,38,execution_times,writer
2,103622228.88398094,32,execution_times,writer
3,272615562.0638575,38,execution_times,distributor
4,282973075.80410486,38,execution_times,distributor
5,288230749.1373854,32,execution_times,distributor
6,130062383.66637515,1,user_memory_bytes,writer
7,129792021.88639714,1,user_memory_bytes,writer
8,129995436.79446736,1,user_memory_bytes,writer
9,133677056.0,1,user_memory_bytes,distributor
10,133615616.00000012,1,user_memory_bytes,distributor
11,133570560.0,1,user_memory_bytes,distributor
12,0.0,0,network_egress,writer
13,0.0,0,network_egress,writer
14,0.0,0,network_egress,writer
15,0.0,0,network_egress,distributor
16,0.0,0,network_egress,distributor
17,0.0,0,network_egress,distributor
