,data,op,size
0,12337,set_data,131072
1,11376,set_data,131072
2,11636,set_data,131072
3,17746,set_data,131072
4,20852,set_data,131072
5,10831,set_data,131072
6,11602,set_data,131072
7,12453,set_data,131072
8,14771,set_data,131072
9,17464,set_data,131072
10,18707,set_data,131072
11,16001,set_data,131072
12,11889,set_data,131072
13,11070,set_data,131072
14,11514,set_data,131072
15,16399,set_data,131072
16,14328,set_data,131072
17,16581,set_data,131072
18,11857,set_data,131072
19,11523,set_data,131072
20,11667,set_data,131072
21,15125,set_data,131072
22,13043,set_data,131072
23,12138,set_data,131072
24,11880,set_data,131072
25,11220,set_data,131072
26,10836,set_data,131072
27,14394,set_data,131072
28,15054,set_data,131072
29,10152,set_data,131072
30,13484,set_data,131072
31,10798,set_data,131072
32,15310,set_data,131072
33,10470,set_data,131072
34,10032,set_data,131072
35,10890,set_data,131072
36,11891,set_data,131072
37,9667,set_data,131072
38,19374,set_data,131072
39,11388,set_data,131072
40,14640,set_data,131072
41,12176,set_data,131072
42,10773,set_data,131072
43,17022,set_data,131072
44,14549,set_data,131072
45,10805,set_data,131072
46,14411,set_data,131072
47,13711,set_data,131072
48,10730,set_data,131072
49,18254,set_data,131072
50,16245,set_data,131072
51,16270,set_data,131072
52,16407,set_data,131072
53,12193,set_data,131072
54,12546,set_data,131072
55,11389,set_data,131072
56,14282,set_data,131072
57,12322,set_data,131072
58,18230,set_data,131072
59,11135,set_data,131072
60,10586,set_data,131072
61,10985,set_data,131072
62,11099,set_data,131072
63,14801,set_data,131072
64,10865,set_data,131072
65,10116,set_data,131072
66,11115,set_data,131072
67,9550,set_data,131072
68,20653,set_data,131072
69,14698,set_data,131072
70,10287,set_data,131072
71,9322,set_data,131072
72,9149,set_data,131072
73,14085,set_data,131072
74,9639,set_data,131072
75,9756,set_data,131072
76,12900,set_data,131072
77,9040,set_data,131072
78,18113,set_data,131072
79,9013,set_data,131072
80,10368,set_data,131072
81,9598,set_data,131072
82,14081,set_data,131072
83,12002,set_data,131072
84,11910,set_data,131072
85,13275,set_data,131072
86,12333,set_data,131072
87,11515,set_data,131072
88,11971,set_data,131072
89,14304,set_data,131072
90,12968,set_data,131072
91,12857,set_data,131072
92,13003,set_data,131072
93,14149,set_data,131072
94,12602,set_data,131072
95,13034,set_data,131072
96,18404,set_data,131072
97,18396,set_data,131072
98,13586,set_data,131072
99,10235,set_data,131072
100,11210,set_data,131072
101,10544,set_data,131072
102,10300,set_data,131072
103,9924,set_data,131072
104,10160,set_data,131072
105,10530,set_data,131072
106,10158,set_data,131072
107,10364,set_data,131072
108,10755,set_data,131072
109,10006,set_data,131072
110,9960,set_data,131072
111,12658,set_data,131072
112,24825,set_data,131072
113,9223,set_data,131072
114,16953,set_data,131072
115,10390,set_data,131072
116,9897,set_data,131072
117,9533,set_data,131072
118,9174,set_data,131072
119,13335,set_data,131072
120,9532,set_data,131072
121,10177,set_data,131072
122,9526,set_data,131072
123,9317,set_data,131072
124,8835,set_data,131072
125,8959,set_data,131072
126,9537,set_data,131072
127,23663,set_data,131072
128,9803,set_data,131072
129,11241,set_data,131072
130,8571,set_data,131072
131,8710,set_data,131072
132,9635,set_data,131072
133,9307,set_data,131072
134,9699,set_data,131072
135,9180,set_data,131072
136,8846,set_data,131072
137,9672,set_data,131072
138,10131,set_data,131072
139,9704,set_data,131072
140,9583,set_data,131072
141,10549,set_data,131072
142,20002,set_data,131072
143,12385,set_data,131072
144,11819,set_data,131072
145,11817,set_data,131072
146,12429,set_data,131072
147,24366,set_data,131072
148,12728,set_data,131072
149,10732,set_data,131072
