,data,op,size
0,14824,set_data,256000
1,34952,set_data,256000
2,19426,set_data,256000
3,42550,set_data,256000
4,12623,set_data,256000
5,15248,set_data,256000
6,14458,set_data,256000
7,42009,set_data,256000
8,73075,set_data,256000
9,16116,set_data,256000
10,21780,set_data,256000
11,40743,set_data,256000
12,12365,set_data,256000
13,35557,set_data,256000
14,11970,set_data,256000
15,17624,set_data,256000
16,10814,set_data,256000
17,46437,set_data,256000
18,11481,set_data,256000
19,36362,set_data,256000
20,9998,set_data,256000
21,35551,set_data,256000
22,10208,set_data,256000
23,35502,set_data,256000
24,10533,set_data,256000
25,17874,set_data,256000
26,11335,set_data,256000
27,51644,set_data,256000
28,17311,set_data,256000
29,47155,set_data,256000
30,11193,set_data,256000
31,55826,set_data,256000
32,11012,set_data,256000
33,24937,set_data,256000
34,14819,set_data,256000
35,44620,set_data,256000
36,96567,set_data,256000
37,48248,set_data,256000
38,11397,set_data,256000
39,42860,set_data,256000
40,32453,set_data,256000
41,13991,set_data,256000
42,9775,set_data,256000
43,10534,set_data,256000
44,48514,set_data,256000
45,10216,set_data,256000
46,36065,set_data,256000
47,9176,set_data,256000
48,37018,set_data,256000
49,10572,set_data,256000
50,42086,set_data,256000
51,11433,set_data,256000
52,36480,set_data,256000
53,9941,set_data,256000
54,38545,set_data,256000
55,10915,set_data,256000
56,32457,set_data,256000
57,11770,set_data,256000
58,34722,set_data,256000
59,10278,set_data,256000
60,44921,set_data,256000
61,9760,set_data,256000
62,41389,set_data,256000
63,10746,set_data,256000
64,40315,set_data,256000
65,10452,set_data,256000
66,49948,set_data,256000
67,10270,set_data,256000
68,59454,set_data,256000
69,11021,set_data,256000
70,40785,set_data,256000
71,10627,set_data,256000
72,38905,set_data,256000
73,11465,set_data,256000
74,46102,set_data,256000
75,33023,set_data,256000
76,34890,set_data,256000
77,10380,set_data,256000
78,49021,set_data,256000
79,13391,set_data,256000
80,44193,set_data,256000
81,10848,set_data,256000
82,44981,set_data,256000
83,15756,set_data,256000
84,110829,set_data,256000
85,10378,set_data,256000
86,9878,set_data,256000
87,41516,set_data,256000
88,9448,set_data,256000
89,12475,set_data,256000
90,10899,set_data,256000
91,44836,set_data,256000
92,11723,set_data,256000
93,15672,set_data,256000
94,11451,set_data,256000
95,39688,set_data,256000
96,16445,set_data,256000
97,48742,set_data,256000
98,10119,set_data,256000
99,43829,set_data,256000
100,10500,set_data,256000
101,36087,set_data,256000
102,11645,set_data,256000
103,40372,set_data,256000
104,10849,set_data,256000
105,47305,set_data,256000
106,10960,set_data,256000
107,38463,set_data,256000
108,14741,set_data,256000
109,53007,set_data,256000
110,11594,set_data,256000
111,40492,set_data,256000
112,10432,set_data,256000
113,34796,set_data,256000
114,11665,set_data,256000
115,44856,set_data,256000
116,10975,set_data,256000
117,41215,set_data,256000
118,11358,set_data,256000
119,14597,set_data,256000
120,10992,set_data,256000
121,37027,set_data,256000
122,10105,set_data,256000
123,40002,set_data,256000
124,12609,set_data,256000
125,44174,set_data,256000
126,230568,set_data,256000
127,18142,set_data,256000
128,53125,set_data,256000
129,43280,set_data,256000
130,12169,set_data,256000
131,11791,set_data,256000
132,13479,set_data,256000
133,12058,set_data,256000
134,46820,set_data,256000
135,12469,set_data,256000
136,43945,set_data,256000
137,12095,set_data,256000
138,47569,set_data,256000
139,10305,set_data,256000
140,50139,set_data,256000
141,10637,set_data,256000
142,36272,set_data,256000
143,10808,set_data,256000
144,9559,set_data,256000
145,36868,set_data,256000
146,36531,set_data,256000
147,10160,set_data,256000
148,31445,set_data,256000
149,10834,set_data,256000
