,data,op,size
0,3886,set_data,1024
1,3269,set_data,1024
2,4878,set_data,1024
3,3349,set_data,1024
4,3376,set_data,1024
5,3446,set_data,1024
6,5518,set_data,1024
7,3894,set_data,1024
8,3615,set_data,1024
9,3507,set_data,1024
10,5045,set_data,1024
11,3746,set_data,1024
12,3368,set_data,1024
13,5042,set_data,1024
14,3888,set_data,1024
15,3454,set_data,1024
16,3371,set_data,1024
17,4374,set_data,1024
18,3319,set_data,1024
19,8950,set_data,1024
20,5597,set_data,1024
21,5608,set_data,1024
22,4927,set_data,1024
23,4002,set_data,1024
24,6634,set_data,1024
25,5331,set_data,1024
26,4908,set_data,1024
27,3949,set_data,1024
28,6174,set_data,1024
29,4414,set_data,1024
30,4147,set_data,1024
31,4212,set_data,1024
32,5097,set_data,1024
33,3567,set_data,1024
34,7035,set_data,1024
35,3717,set_data,1024
36,4592,set_data,1024
37,3587,set_data,1024
38,3378,set_data,1024
39,4727,set_data,1024
40,7117,set_data,1024
41,3898,set_data,1024
42,3499,set_data,1024
43,4666,set_data,1024
44,3706,set_data,1024
45,3658,set_data,1024
46,3572,set_data,1024
47,4970,set_data,1024
48,3440,set_data,1024
49,3533,set_data,1024
50,4928,set_data,1024
51,3419,set_data,1024
52,3486,set_data,1024
53,3637,set_data,1024
54,4647,set_data,1024
55,6983,set_data,1024
56,3564,set_data,1024
57,3394,set_data,1024
58,4890,set_data,1024
59,3848,set_data,1024
60,3508,set_data,1024
61,3476,set_data,1024
62,4735,set_data,1024
63,3402,set_data,1024
64,4501,set_data,1024
65,4536,set_data,1024
66,3386,set_data,1024
67,3478,set_data,1024
68,3526,set_data,1024
69,4765,set_data,1024
70,3531,set_data,1024
71,3784,set_data,1024
72,3432,set_data,1024
73,4914,set_data,1024
74,3621,set_data,1024
75,3587,set_data,1024
76,5071,set_data,1024
77,3756,set_data,1024
78,8117,set_data,1024
79,4136,set_data,1024
80,5401,set_data,1024
81,3932,set_data,1024
82,3512,set_data,1024
83,3412,set_data,1024
84,4843,set_data,1024
85,3500,set_data,1024
86,3547,set_data,1024
87,3439,set_data,1024
88,5017,set_data,1024
89,4197,set_data,1024
90,3735,set_data,1024
91,4412,set_data,1024
92,3544,set_data,1024
93,3542,set_data,1024
94,3347,set_data,1024
95,4611,set_data,1024
96,3403,set_data,1024
97,3462,set_data,1024
98,3261,set_data,1024
99,5514,set_data,1024
100,3706,set_data,1024
101,3620,set_data,1024
102,5430,set_data,1024
103,3662,set_data,1024
104,3623,set_data,1024
105,3852,set_data,1024
106,4998,set_data,1024
107,3877,set_data,1024
108,3494,set_data,1024
109,3517,set_data,1024
110,7911,set_data,1024
111,4488,set_data,1024
112,3586,set_data,1024
113,3831,set_data,1024
114,5251,set_data,1024
115,3690,set_data,1024
116,3976,set_data,1024
117,4749,set_data,1024
118,3709,set_data,1024
119,3626,set_data,1024
120,3250,set_data,1024
121,4909,set_data,1024
122,3260,set_data,1024
123,4101,set_data,1024
124,3346,set_data,1024
125,4902,set_data,1024
126,3680,set_data,1024
127,3281,set_data,1024
128,4801,set_data,1024
129,3504,set_data,1024
130,3397,set_data,1024
131,3349,set_data,1024
132,5339,set_data,1024
133,3743,set_data,1024
134,3382,set_data,1024
135,3410,set_data,1024
136,4881,set_data,1024
137,3521,set_data,1024
138,3476,set_data,1024
139,3661,set_data,1024
140,5085,set_data,1024
141,4546,set_data,1024
142,3526,set_data,1024
143,5899,set_data,1024
144,3647,set_data,1024
145,3322,set_data,1024
146,6359,set_data,1024
147,5002,set_data,1024
148,3948,set_data,1024
149,3602,set_data,1024
