,data,op,storage,size
0,93323.0,write,dynamodb,4
1,92878.0,write,dynamodb,4
2,93413.0,write,dynamodb,4
3,93755.0,write,dynamodb,4
4,93512.0,write,dynamodb,4
5,93269.0,write,dynamodb,4
6,93301.0,write,dynamodb,4
7,93126.0,write,dynamodb,4
8,94398.0,write,dynamodb,4
9,93979.0,write,dynamodb,4
10,94136.0,write,dynamodb,4
11,93231.0,write,dynamodb,4
12,93073.0,write,dynamodb,4
13,92997.0,write,dynamodb,4
14,92885.0,write,dynamodb,4
15,93006.0,write,dynamodb,4
16,96359.0,write,dynamodb,4
17,93231.0,write,dynamodb,4
18,92967.0,write,dynamodb,4
19,93346.0,write,dynamodb,4
20,93381.0,write,dynamodb,4
21,92904.0,write,dynamodb,4
22,93680.0,write,dynamodb,4
23,94126.0,write,dynamodb,4
24,93450.0,write,dynamodb,4
25,93586.0,write,dynamodb,4
26,93050.0,write,dynamodb,4
27,92892.0,write,dynamodb,4
28,93127.0,write,dynamodb,4
29,93890.0,write,dynamodb,4
30,93267.0,write,dynamodb,4
31,93059.0,write,dynamodb,4
32,93418.0,write,dynamodb,4
33,93164.0,write,dynamodb,4
34,93201.0,write,dynamodb,4
35,93144.0,write,dynamodb,4
36,93003.0,write,dynamodb,4
37,93112.0,write,dynamodb,4
38,93333.0,write,dynamodb,4
39,93226.0,write,dynamodb,4
40,93440.0,write,dynamodb,4
41,94746.0,write,dynamodb,4
42,93102.0,write,dynamodb,4
43,93187.0,write,dynamodb,4
44,93530.0,write,dynamodb,4
45,93134.0,write,dynamodb,4
46,93104.0,write,dynamodb,4
47,93432.0,write,dynamodb,4
48,93172.0,write,dynamodb,4
49,93038.0,write,dynamodb,4
50,93291.0,write,dynamodb,4
51,93019.0,write,dynamodb,4
52,92987.0,write,dynamodb,4
53,93134.0,write,dynamodb,4
54,92948.0,write,dynamodb,4
55,93196.0,write,dynamodb,4
56,93747.0,write,dynamodb,4
57,93478.0,write,dynamodb,4
58,93268.0,write,dynamodb,4
59,93306.0,write,dynamodb,4
60,98965.0,write,dynamodb,4
61,93033.0,write,dynamodb,4
62,92911.0,write,dynamodb,4
63,93342.0,write,dynamodb,4
64,93358.0,write,dynamodb,4
65,92954.0,write,dynamodb,4
66,93615.0,write,dynamodb,4
67,94717.0,write,dynamodb,4
68,93279.0,write,dynamodb,4
69,93111.0,write,dynamodb,4
70,94373.0,write,dynamodb,4
71,93162.0,write,dynamodb,4
72,93339.0,write,dynamodb,4
73,92980.0,write,dynamodb,4
74,93149.0,write,dynamodb,4
75,93404.0,write,dynamodb,4
76,93261.0,write,dynamodb,4
77,92954.0,write,dynamodb,4
78,93038.0,write,dynamodb,4
79,93275.0,write,dynamodb,4
80,93188.0,write,dynamodb,4
81,92959.0,write,dynamodb,4
82,92849.0,write,dynamodb,4
83,93187.0,write,dynamodb,4
84,93367.0,write,dynamodb,4
85,93469.0,write,dynamodb,4
86,93280.0,write,dynamodb,4
87,93113.0,write,dynamodb,4
88,93027.0,write,dynamodb,4
89,92952.0,write,dynamodb,4
90,93044.0,write,dynamodb,4
91,93971.0,write,dynamodb,4
92,93007.0,write,dynamodb,4
93,93272.0,write,dynamodb,4
94,92946.0,write,dynamodb,4
95,92992.0,write,dynamodb,4
96,93330.0,write,dynamodb,4
97,93119.0,write,dynamodb,4
98,92932.0,write,dynamodb,4
99,93093.0,write,dynamodb,4
100,93449.0,write,dynamodb,4
101,92935.0,write,dynamodb,4
102,92966.0,write,dynamodb,4
103,93277.0,write,dynamodb,4
104,92981.0,write,dynamodb,4
105,93164.0,write,dynamodb,4
106,93144.0,write,dynamodb,4
107,93400.0,write,dynamodb,4
108,93086.0,write,dynamodb,4
109,93481.0,write,dynamodb,4
110,93447.0,write,dynamodb,4
111,93176.0,write,dynamodb,4
112,92959.0,write,dynamodb,4
113,93148.0,write,dynamodb,4
114,93423.0,write,dynamodb,4
115,93095.0,write,dynamodb,4
116,93542.0,write,dynamodb,4
117,93509.0,write,dynamodb,4
118,93028.0,write,dynamodb,4
119,93127.0,write,dynamodb,4
120,96306.0,write,dynamodb,4
121,93586.0,write,dynamodb,4
122,93053.0,write,dynamodb,4
123,93409.0,write,dynamodb,4
124,93029.0,write,dynamodb,4
125,93070.0,write,dynamodb,4
126,93128.0,write,dynamodb,4
127,93525.0,write,dynamodb,4
128,93246.0,write,dynamodb,4
129,93211.0,write,dynamodb,4
130,93016.0,write,dynamodb,4
131,93450.0,write,dynamodb,4
132,93430.0,write,dynamodb,4
133,93047.0,write,dynamodb,4
134,92874.0,write,dynamodb,4
