,data,op,storage,size
0,4949.0,write,dynamodb,4
1,5159.0,write,dynamodb,4
2,5236.0,write,dynamodb,4
3,5206.0,write,dynamodb,4
4,5516.0,write,dynamodb,4
5,13382.0,write,dynamodb,4
6,8029.0,write,dynamodb,4
7,6831.0,write,dynamodb,4
8,4969.0,write,dynamodb,4
9,7210.0,write,dynamodb,4
10,5319.0,write,dynamodb,4
11,5780.0,write,dynamodb,4
12,6012.0,write,dynamodb,4
13,7025.0,write,dynamodb,4
14,5656.0,write,dynamodb,4
15,5770.0,write,dynamodb,4
16,5506.0,write,dynamodb,4
17,5348.0,write,dynamodb,4
18,6366.0,write,dynamodb,4
19,5741.0,write,dynamodb,4
20,6113.0,write,dynamodb,4
21,5747.0,write,dynamodb,4
22,6762.0,write,dynamodb,4
23,5267.0,write,dynamodb,4
24,6077.0,write,dynamodb,4
25,5359.0,write,dynamodb,4
26,6319.0,write,dynamodb,4
27,5631.0,write,dynamodb,4
28,5345.0,write,dynamodb,4
29,5156.0,write,dynamodb,4
30,5210.0,write,dynamodb,4
31,5363.0,write,dynamodb,4
32,5297.0,write,dynamodb,4
33,5194.0,write,dynamodb,4
34,5117.0,write,dynamodb,4
35,4926.0,write,dynamodb,4
36,5400.0,write,dynamodb,4
37,5092.0,write,dynamodb,4
38,4870.0,write,dynamodb,4
39,5054.0,write,dynamodb,4
40,5161.0,write,dynamodb,4
41,4897.0,write,dynamodb,4
42,5054.0,write,dynamodb,4
43,5415.0,write,dynamodb,4
44,4909.0,write,dynamodb,4
45,5999.0,write,dynamodb,4
46,5312.0,write,dynamodb,4
47,5557.0,write,dynamodb,4
48,4849.0,write,dynamodb,4
49,5448.0,write,dynamodb,4
50,5111.0,write,dynamodb,4
51,6252.0,write,dynamodb,4
52,4882.0,write,dynamodb,4
53,4918.0,write,dynamodb,4
54,5164.0,write,dynamodb,4
55,8611.0,write,dynamodb,4
56,5561.0,write,dynamodb,4
57,5760.0,write,dynamodb,4
58,6061.0,write,dynamodb,4
59,5266.0,write,dynamodb,4
60,5167.0,write,dynamodb,4
61,5909.0,write,dynamodb,4
62,5548.0,write,dynamodb,4
63,5018.0,write,dynamodb,4
64,5263.0,write,dynamodb,4
65,5512.0,write,dynamodb,4
66,7458.0,write,dynamodb,4
67,5414.0,write,dynamodb,4
68,9287.0,write,dynamodb,4
69,5578.0,write,dynamodb,4
70,5603.0,write,dynamodb,4
71,5113.0,write,dynamodb,4
72,5043.0,write,dynamodb,4
73,5269.0,write,dynamodb,4
74,5191.0,write,dynamodb,4
75,5326.0,write,dynamodb,4
76,4774.0,write,dynamodb,4
77,4806.0,write,dynamodb,4
78,9592.0,write,dynamodb,4
79,6029.0,write,dynamodb,4
80,6513.0,write,dynamodb,4
81,5458.0,write,dynamodb,4
82,7065.0,write,dynamodb,4
83,5418.0,write,dynamodb,4
84,5012.0,write,dynamodb,4
85,7810.0,write,dynamodb,4
86,5104.0,write,dynamodb,4
87,5010.0,write,dynamodb,4
88,7542.0,write,dynamodb,4
89,6072.0,write,dynamodb,4
90,4868.0,write,dynamodb,4
91,6734.0,write,dynamodb,4
92,8285.0,write,dynamodb,4
93,5201.0,write,dynamodb,4
94,4991.0,write,dynamodb,4
95,5004.0,write,dynamodb,4
96,4977.0,write,dynamodb,4
97,4729.0,write,dynamodb,4
98,4830.0,write,dynamodb,4
99,4898.0,write,dynamodb,4
100,4867.0,write,dynamodb,4
101,4808.0,write,dynamodb,4
102,4934.0,write,dynamodb,4
103,4865.0,write,dynamodb,4
104,5095.0,write,dynamodb,4
105,5071.0,write,dynamodb,4
106,4793.0,write,dynamodb,4
107,4777.0,write,dynamodb,4
108,4895.0,write,dynamodb,4
109,4978.0,write,dynamodb,4
110,4812.0,write,dynamodb,4
111,4685.0,write,dynamodb,4
112,4854.0,write,dynamodb,4
113,4880.0,write,dynamodb,4
114,4871.0,write,dynamodb,4
115,5037.0,write,dynamodb,4
116,4858.0,write,dynamodb,4
117,4868.0,write,dynamodb,4
118,5058.0,write,dynamodb,4
119,5015.0,write,dynamodb,4
120,4999.0,write,dynamodb,4
121,5100.0,write,dynamodb,4
122,4798.0,write,dynamodb,4
123,5008.0,write,dynamodb,4
124,5234.0,write,dynamodb,4
125,5114.0,write,dynamodb,4
126,5213.0,write,dynamodb,4
127,4911.0,write,dynamodb,4
128,4803.0,write,dynamodb,4
129,4792.0,write,dynamodb,4
130,4910.0,write,dynamodb,4
131,4997.0,write,dynamodb,4
132,4861.0,write,dynamodb,4
133,5010.0,write,dynamodb,4
134,5003.0,write,dynamodb,4
135,4888.0,write,dynamodb,4
136,4942.0,write,dynamodb,4
137,4744.0,write,dynamodb,4
138,5049.0,write,dynamodb,4
139,4936.0,write,dynamodb,4
140,4908.0,write,dynamodb,4
141,5101.0,write,dynamodb,4
142,4978.0,write,dynamodb,4
143,5019.0,write,dynamodb,4
144,5729.0,write,dynamodb,4
145,5116.0,write,dynamodb,4
146,5785.0,write,dynamodb,4
147,5025.0,write,dynamodb,4
148,5771.0,write,dynamodb,4
149,4837.0,write,dynamodb,4
150,5572.0,write,dynamodb,4
151,4918.0,write,dynamodb,4
152,5772.0,write,dynamodb,4
153,5771.0,write,dynamodb,4
154,5090.0,write,dynamodb,4
155,5732.0,write,dynamodb,4
156,5234.0,write,dynamodb,4
157,5928.0,write,dynamodb,4
158,4719.0,write,dynamodb,4
159,4758.0,write,dynamodb,4
160,4713.0,write,dynamodb,4
161,4987.0,write,dynamodb,4
