,request,time,billed_time,memory,used_memory,read,write,function
0,7760f51f-593c-55c5-8cb5-a8fb030365a3,68.79,69,2048,85,7760f51f-593c-55c5-8cb5-a8fb030365a3,2.0,distributor
1,0be8034e-926b-53ba-8de3-5eaac854c475,96.92,97,2048,85,0be8034e-926b-53ba-8de3-5eaac854c475,2.0,distributor
2,7f4e2168-7507-5ea0-8328-7c8c2f38fc95,44.17,45,2048,85,7f4e2168-7507-5ea0-8328-7c8c2f38fc95,2.0,distributor
3,bafc0ce9-924b-5e62-a6b0-510dc874f004,113.16,114,2048,85,bafc0ce9-924b-5e62-a6b0-510dc874f004,2.0,distributor
4,116c6339-aa21-52e4-9d06-3eddf01f639e,108.70,109,2048,85,116c6339-aa21-52e4-9d06-3eddf01f639e,2.0,distributor
5,bcc0578a-a063-5fb0-86e0-0a6efa5defd6,135.29,136,2048,85,bcc0578a-a063-5fb0-86e0-0a6efa5defd6,2.0,distributor
6,d7ecaea0-d38a-55a2-ac41-f34489b4c26d,70.89,71,2048,85,d7ecaea0-d38a-55a2-ac41-f34489b4c26d,2.0,distributor
7,7e13c648-02cd-566a-8f95-9bac58f3f45f,47.48,48,2048,85,7e13c648-02cd-566a-8f95-9bac58f3f45f,2.0,distributor
8,dfc17e45-caef-5139-8b29-23a190d1ef5f,48.69,49,2048,85,dfc17e45-caef-5139-8b29-23a190d1ef5f,2.0,distributor
9,266707a1-1b18-568f-8a7e-5a454126e7f5,66.08,67,2048,85,266707a1-1b18-568f-8a7e-5a454126e7f5,2.0,distributor
10,f2ede49f-14e8-5e04-867f-b97b4ed68e62,72.79,73,2048,85,f2ede49f-14e8-5e04-867f-b97b4ed68e62,2.0,distributor
11,8b3af4bb-11ca-5560-8884-a95f4bf7b2af,48.56,49,2048,84,8b3af4bb-11ca-5560-8884-a95f4bf7b2af,2.0,distributor
12,070b0b94-6cb7-5147-8c31-5670368aa372,42.13,43,2048,84,070b0b94-6cb7-5147-8c31-5670368aa372,2.0,distributor
13,b947fd2b-1852-53f1-8cd9-a0cf426f9d97,43.74,44,2048,84,b947fd2b-1852-53f1-8cd9-a0cf426f9d97,2.0,distributor
14,3ddcf2f3-ba82-5e5e-bd84-af17e0bf9f24,65.33,66,2048,84,3ddcf2f3-ba82-5e5e-bd84-af17e0bf9f24,2.0,distributor
15,f55b30d2-c9c3-5334-8594-6d3693fea352,78.24,79,2048,84,f55b30d2-c9c3-5334-8594-6d3693fea352,2.0,distributor
16,9d9c511f-7d8c-50fe-a416-0cfb27b10731,47.91,48,2048,84,9d9c511f-7d8c-50fe-a416-0cfb27b10731,2.0,distributor
17,5ce1d7f8-a768-58e1-8905-8a1cfd550ad4,67.25,68,2048,84,5ce1d7f8-a768-58e1-8905-8a1cfd550ad4,2.0,distributor
18,f584f0e8-0a45-5d4c-acde-ad0c5078ef4f,43.74,44,2048,84,f584f0e8-0a45-5d4c-acde-ad0c5078ef4f,2.0,distributor
19,52d5d43d-6d9a-56fb-abd4-89d937a7e781,46.97,47,2048,84,52d5d43d-6d9a-56fb-abd4-89d937a7e781,2.0,distributor
20,f30a2f87-8219-510d-9a5a-7263d825af1d,41.72,42,2048,84,f30a2f87-8219-510d-9a5a-7263d825af1d,2.0,distributor
21,53963986-b931-5770-85db-6462e30d70bf,47.71,48,2048,84,53963986-b931-5770-85db-6462e30d70bf,2.0,distributor
22,86edc848-0252-5e0e-b666-95ac586eec3b,66.93,67,2048,84,86edc848-0252-5e0e-b666-95ac586eec3b,2.0,distributor
23,da50cc2a-2e11-5207-9a7a-91ce742d7004,72.82,73,2048,84,da50cc2a-2e11-5207-9a7a-91ce742d7004,2.0,distributor
24,e8472d2e-0fdd-532e-9e4c-70ca55e1a254,64.23,65,2048,84,e8472d2e-0fdd-532e-9e4c-70ca55e1a254,2.0,distributor
25,d024f1f5-f90d-5086-9f17-ac11a3315e96,72.78,73,2048,84,d024f1f5-f90d-5086-9f17-ac11a3315e96,2.0,distributor
26,0eff116a-5f53-59ef-ad06-4c8e056ffc98,55.47,56,2048,84,0eff116a-5f53-59ef-ad06-4c8e056ffc98,2.0,distributor
27,5a825e0f-068e-53bf-a40c-03eb5cb5518a,53.83,54,2048,84,5a825e0f-068e-53bf-a40c-03eb5cb5518a,2.0,distributor
28,54445203-0390-5ea8-bcbe-0fe759abbcab,96.10,97,2048,84,54445203-0390-5ea8-bcbe-0fe759abbcab,2.0,distributor
29,cd86b94b-54f4-5115-99de-e4af0ecfb06f,68.34,69,2048,84,cd86b94b-54f4-5115-99de-e4af0ecfb06f,2.0,distributor
30,f534d40a-dccd-576f-a218-89ee86f6397f,56.32,57,2048,84,f534d40a-dccd-576f-a218-89ee86f6397f,2.0,distributor
