,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644188962.5090356,1644188962.5220575,lock,64,120,0,9,600
1,1644188962.5220642,1644188962.532095,lock,64,120,0,9,600
2,1644188962.5320983,1644188962.5480409,lock,64,120,0,9,600
3,1644188962.5480444,1644188962.5590153,lock,64,120,0,9,600
4,1644188962.5590189,1644188962.5707262,lock,64,120,0,9,600
5,1644188962.5707304,1644188962.580501,lock,64,120,0,9,600
6,1644188962.5805044,1644188962.595541,lock,64,120,0,9,600
7,1644188962.5955443,1644188962.6083806,lock,64,120,0,9,600
8,1644188962.6083848,1644188962.6210985,lock,64,120,0,9,600
9,1644188962.6211023,1644188962.6387687,lock,64,120,0,9,600
10,1644188962.6387727,1644188962.6501591,lock,64,120,0,9,600
11,1644188962.6501625,1644188962.6660633,lock,64,120,0,9,600
12,1644188962.6660666,1644188962.6755073,lock,64,120,0,9,600
13,1644188962.6755106,1644188962.6860216,lock,64,120,0,9,600
14,1644188962.686025,1644188962.6971333,lock,64,120,0,9,600
15,1644188962.6971374,1644188962.7084053,lock,64,120,0,9,600
16,1644188962.7084086,1644188962.7195256,lock,64,120,0,9,600
17,1644188962.719529,1644188962.7291782,lock,64,120,0,9,600
18,1644188962.7291815,1644188962.7383254,lock,64,120,0,9,600
19,1644188962.7383282,1644188962.7512493,lock,64,120,0,9,600
20,1644188962.7512536,1644188962.764135,lock,64,120,0,9,600
21,1644188962.7641382,1644188962.775865,lock,64,120,0,9,600
22,1644188962.7758684,1644188962.7876668,lock,64,120,0,9,600
23,1644188962.78767,1644188962.8040361,lock,64,120,0,9,600
24,1644188962.8040395,1644188962.8195865,lock,64,120,0,9,600
25,1644188962.81959,1644188962.8303616,lock,64,120,0,9,600
26,1644188962.8303654,1644188962.84734,lock,64,120,0,9,600
27,1644188962.8473434,1644188962.8593144,lock,64,120,0,9,600
28,1644188962.8593185,1644188962.873489,lock,64,120,0,9,600
29,1644188962.8734922,1644188962.8888564,lock,64,120,0,9,600
30,1644188962.88886,1644188962.9047437,lock,64,120,0,9,600
31,1644188962.9047472,1644188962.9202623,lock,64,120,0,9,600
32,1644188962.9202657,1644188962.9323986,lock,64,120,0,9,600
33,1644188962.9324028,1644188962.9457355,lock,64,120,0,9,600
34,1644188962.9457388,1644188962.9567947,lock,64,120,0,9,600
35,1644188962.956799,1644188962.9675012,lock,64,120,0,9,600
36,1644188962.9675047,1644188962.9773345,lock,64,120,0,9,600
37,1644188962.9773378,1644188962.987537,lock,64,120,0,9,600
38,1644188962.9875402,1644188963.000596,lock,64,120,0,9,600
39,1644188963.0005994,1644188963.01291,lock,64,120,0,9,600
40,1644188963.0129132,1644188963.025205,lock,64,120,0,9,600
41,1644188963.0252082,1644188963.0372329,lock,64,120,0,9,600
42,1644188963.0372362,1644188963.048306,lock,64,120,0,9,600
43,1644188963.0483093,1644188963.06149,lock,64,120,0,9,600
44,1644188963.0614944,1644188963.0718896,lock,64,120,0,9,600
45,1644188963.0718932,1644188963.0823522,lock,64,120,0,9,600
46,1644188963.0823557,1644188963.1004922,lock,64,120,0,9,600
47,1644188963.1004958,1644188963.114013,lock,64,120,0,9,600
48,1644188963.1140165,1644188963.1264179,lock,64,120,0,9,600
49,1644188963.1264215,1644188963.1416135,lock,64,120,0,9,600
50,1644188963.1416168,1644188963.1582646,lock,64,120,0,9,600
51,1644188963.158268,1644188963.1739392,lock,64,120,0,9,600
52,1644188963.1739433,1644188963.1860359,lock,64,120,0,9,600
53,1644188963.1860392,1644188963.198905,lock,64,120,0,9,600
54,1644188963.1989083,1644188963.2108529,lock,64,120,0,9,600
55,1644188963.2108572,1644188963.2225344,lock,64,120,0,9,600
56,1644188963.2225375,1644188963.2346828,lock,64,120,0,9,600
57,1644188963.2346861,1644188963.245506,lock,64,120,0,9,600
58,1644188963.2455096,1644188963.2547865,lock,64,120,0,9,600
59,1644188963.2547905,1644188963.270539,lock,64,120,0,9,600
60,1644188963.2705421,1644188963.2810783,lock,64,120,0,9,600
