,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186205.2304142,1644186205.239795,dynamodb,64,40,4,5,200
1,1644186205.255555,1644186205.2645545,dynamodb,64,40,4,5,200
2,1644186205.2805493,1644186205.2909794,dynamodb,64,40,4,5,200
3,1644186205.305544,1644186205.3142955,dynamodb,64,40,4,5,200
4,1644186205.33054,1644186205.3389099,dynamodb,64,40,4,5,200
5,1644186205.3555443,1644186205.3632169,dynamodb,64,40,4,5,200
6,1644186205.3805532,1644186205.3887699,dynamodb,64,40,4,5,200
7,1644186205.4055421,1644186205.413215,dynamodb,64,40,4,5,200
8,1644186205.4305503,1644186205.4394987,dynamodb,64,40,4,5,200
9,1644186205.455561,1644186205.4762902,dynamodb,64,40,4,5,200
10,1644186205.480533,1644186205.491339,dynamodb,64,40,4,5,200
11,1644186205.505582,1644186205.5172398,dynamodb,64,40,4,5,200
12,1644186205.5305777,1644186205.5395439,dynamodb,64,40,4,5,200
13,1644186205.555583,1644186205.5635717,dynamodb,64,40,4,5,200
14,1644186205.5805423,1644186205.5882735,dynamodb,64,40,4,5,200
15,1644186205.6055493,1644186205.6146777,dynamodb,64,40,4,5,200
16,1644186205.6305645,1644186205.6377223,dynamodb,64,40,4,5,200
17,1644186205.655546,1644186205.6696134,dynamodb,64,40,4,5,200
18,1644186205.680553,1644186205.6882093,dynamodb,64,40,4,5,200
19,1644186205.7055433,1644186205.7139862,dynamodb,64,40,4,5,200
20,1644186205.7305465,1644186205.7391064,dynamodb,64,40,4,5,200
21,1644186205.7555509,1644186205.7639475,dynamodb,64,40,4,5,200
22,1644186205.7805543,1644186205.7881992,dynamodb,64,40,4,5,200
23,1644186205.8055496,1644186205.8135083,dynamodb,64,40,4,5,200
24,1644186205.830545,1644186205.8447134,dynamodb,64,40,4,5,200
25,1644186205.8555458,1644186205.8644109,dynamodb,64,40,4,5,200
26,1644186205.8805897,1644186205.8949707,dynamodb,64,40,4,5,200
27,1644186205.9055443,1644186205.9131582,dynamodb,64,40,4,5,200
28,1644186205.9305444,1644186205.938224,dynamodb,64,40,4,5,200
29,1644186205.9555457,1644186205.9640048,dynamodb,64,40,4,5,200
30,1644186205.980549,1644186205.988097,dynamodb,64,40,4,5,200
31,1644186206.0055525,1644186206.014288,dynamodb,64,40,4,5,200
32,1644186206.0305533,1644186206.0393884,dynamodb,64,40,4,5,200
33,1644186206.0555527,1644186206.0678585,dynamodb,64,40,4,5,200
34,1644186206.080544,1644186206.0889149,dynamodb,64,40,4,5,200
35,1644186206.1055455,1644186206.115695,dynamodb,64,40,4,5,200
36,1644186206.130552,1644186206.139614,dynamodb,64,40,4,5,200
37,1644186206.1555505,1644186206.1657317,dynamodb,64,40,4,5,200
38,1644186206.1805506,1644186206.1889825,dynamodb,64,40,4,5,200
39,1644186206.2055435,1644186206.2143862,dynamodb,64,40,4,5,200
40,1644186206.2305446,1644186206.2407167,dynamodb,64,40,4,5,200
41,1644186206.255545,1644186206.2635827,dynamodb,64,40,4,5,200
42,1644186206.2805448,1644186206.2889621,dynamodb,64,40,4,5,200
43,1644186206.305583,1644186206.312959,dynamodb,64,40,4,5,200
44,1644186206.330539,1644186206.4018443,dynamodb,64,40,4,5,200
45,1644186206.4018478,1644186206.4105322,dynamodb,64,40,4,5,200
46,1644186206.4105356,1644186206.4212255,dynamodb,64,40,4,5,200
47,1644186206.4212291,1644186206.4311726,dynamodb,64,40,4,5,200
48,1644186206.4311757,1644186206.4419658,dynamodb,64,40,4,5,200
49,1644186206.4555397,1644186206.4675927,dynamodb,64,40,4,5,200
50,1644186206.4805443,1644186206.4881344,dynamodb,64,40,4,5,200
51,1644186206.505554,1644186206.5155761,dynamodb,64,40,4,5,200
52,1644186206.5305805,1644186206.539145,dynamodb,64,40,4,5,200
53,1644186206.555544,1644186206.563673,dynamodb,64,40,4,5,200
54,1644186206.580549,1644186206.5895562,dynamodb,64,40,4,5,200
55,1644186206.6055834,1644186206.6127512,dynamodb,64,40,4,5,200
56,1644186206.6305907,1644186206.6394634,dynamodb,64,40,4,5,200
57,1644186206.655547,1644186206.6640205,dynamodb,64,40,4,5,200
58,1644186206.680544,1644186206.6890674,dynamodb,64,40,4,5,200
59,1644186206.7055447,1644186206.7147293,dynamodb,64,40,4,5,200
60,1644186206.7305405,1644186206.7410054,dynamodb,64,40,4,5,200
61,1644186206.7555397,1644186206.762676,dynamodb,64,40,4,5,200
62,1644186206.780575,1644186206.788704,dynamodb,64,40,4,5,200
63,1644186206.8055458,1644186206.813048,dynamodb,64,40,4,5,200
64,1644186206.830538,1644186206.8427536,dynamodb,64,40,4,5,200
65,1644186206.8555365,1644186206.8651662,dynamodb,64,40,4,5,200
66,1644186206.8805358,1644186206.8903773,dynamodb,64,40,4,5,200
67,1644186206.9055362,1644186206.9127455,dynamodb,64,40,4,5,200
68,1644186206.9305365,1644186206.9389546,dynamodb,64,40,4,5,200
69,1644186206.9555376,1644186206.9628994,dynamodb,64,40,4,5,200
70,1644186206.980557,1644186206.987519,dynamodb,64,40,4,5,200
71,1644186207.0055308,1644186207.0143452,dynamodb,64,40,4,5,200
72,1644186207.030537,1644186207.037598,dynamodb,64,40,4,5,200
73,1644186207.0555367,1644186207.0625856,dynamodb,64,40,4,5,200
74,1644186207.080565,1644186207.0883348,dynamodb,64,40,4,5,200
75,1644186207.1055403,1644186207.1137094,dynamodb,64,40,4,5,200
76,1644186207.1305382,1644186207.138734,dynamodb,64,40,4,5,200
77,1644186207.1555357,1644186207.1645315,dynamodb,64,40,4,5,200
78,1644186207.1805365,1644186207.189484,dynamodb,64,40,4,5,200
79,1644186207.205531,1644186207.2151937,dynamodb,64,40,4,5,200
