,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186570.7709668,1644186570.781052,dynamodb,64,120,5,10,600
1,1644186570.7810557,1644186570.7886379,dynamodb,64,120,5,10,600
2,1644186570.7886415,1644186570.7961495,dynamodb,64,120,5,10,600
3,1644186570.7961528,1644186570.803441,dynamodb,64,120,5,10,600
4,1644186570.8044221,1644186570.8113956,dynamodb,64,120,5,10,600
5,1644186570.8127666,1644186570.820547,dynamodb,64,120,5,10,600
6,1644186570.8210983,1644186570.8287084,dynamodb,64,120,5,10,600
7,1644186570.8294291,1644186570.8375,dynamodb,64,120,5,10,600
8,1644186570.8377616,1644186570.8457766,dynamodb,64,120,5,10,600
9,1644186570.846096,1644186570.8549204,dynamodb,64,120,5,10,600
10,1644186570.8549244,1644186570.86236,dynamodb,64,120,5,10,600
11,1644186570.8627648,1644186570.870581,dynamodb,64,120,5,10,600
12,1644186570.871096,1644186570.8788075,dynamodb,64,120,5,10,600
13,1644186570.8794308,1644186570.8873103,dynamodb,64,120,5,10,600
14,1644186570.887763,1644186570.8963761,dynamodb,64,120,5,10,600
15,1644186570.8963795,1644186570.9039717,dynamodb,64,120,5,10,600
16,1644186570.904432,1644186570.9121656,dynamodb,64,120,5,10,600
17,1644186570.912766,1644186570.920786,dynamodb,64,120,5,10,600
18,1644186570.9210982,1644186570.9305046,dynamodb,64,120,5,10,600
19,1644186570.9305086,1644186570.9386916,dynamodb,64,120,5,10,600
20,1644186570.938695,1644186570.946093,dynamodb,64,120,5,10,600
21,1644186570.9460967,1644186570.9530568,dynamodb,64,120,5,10,600
22,1644186570.954431,1644186570.9623952,dynamodb,64,120,5,10,600
23,1644186570.9627655,1644186570.9704397,dynamodb,64,120,5,10,600
24,1644186570.9710972,1644186570.9793997,dynamodb,64,120,5,10,600
25,1644186570.979404,1644186570.9883175,dynamodb,64,120,5,10,600
26,1644186570.988322,1644186570.9978983,dynamodb,64,120,5,10,600
27,1644186570.9979026,1644186571.005343,dynamodb,64,120,5,10,600
28,1644186571.0053465,1644186571.01274,dynamodb,64,120,5,10,600
29,1644186571.012744,1644186571.020267,dynamodb,64,120,5,10,600
30,1644186571.0210893,1644186571.028765,dynamodb,64,120,5,10,600
31,1644186571.0294304,1644186571.0369673,dynamodb,64,120,5,10,600
32,1644186571.037766,1644186571.0460606,dynamodb,64,120,5,10,600
33,1644186571.0460646,1644186571.0541866,dynamodb,64,120,5,10,600
34,1644186571.0545318,1644186571.0624142,dynamodb,64,120,5,10,600
35,1644186571.0627575,1644186571.0710237,dynamodb,64,120,5,10,600
36,1644186571.0710287,1644186571.0789428,dynamodb,64,120,5,10,600
37,1644186571.0794213,1644186571.0868652,dynamodb,64,120,5,10,600
38,1644186571.0877542,1644186571.0960512,dynamodb,64,120,5,10,600
39,1644186571.0960553,1644186571.103537,dynamodb,64,120,5,10,600
40,1644186571.104429,1644186571.1129525,dynamodb,64,120,5,10,600
41,1644186571.1129568,1644186571.1224446,dynamodb,64,120,5,10,600
42,1644186571.122448,1644186571.1301582,dynamodb,64,120,5,10,600
43,1644186571.1301615,1644186571.1375797,dynamodb,64,120,5,10,600
44,1644186571.137766,1644186571.1456394,dynamodb,64,120,5,10,600
45,1644186571.146088,1644186571.1532571,dynamodb,64,120,5,10,600
46,1644186571.1544216,1644186571.1617792,dynamodb,64,120,5,10,600
47,1644186571.1627529,1644186571.1708612,dynamodb,64,120,5,10,600
48,1644186571.171087,1644186571.1861496,dynamodb,64,120,5,10,600
49,1644186571.1861541,1644186571.2104,dynamodb,64,120,5,10,600
