,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186549.105096,1644186549.117021,dynamodb,64,120,0,10,600
1,1644186549.1170256,1644186549.1254013,dynamodb,64,120,0,10,600
2,1644186549.1254048,1644186549.1333716,dynamodb,64,120,0,10,600
3,1644186549.133375,1644186549.1415973,dynamodb,64,120,0,10,600
4,1644186549.1416008,1644186549.1508644,dynamodb,64,120,0,10,600
5,1644186549.150869,1644186549.1590822,dynamodb,64,120,0,10,600
6,1644186549.159087,1644186549.1678338,dynamodb,64,120,0,10,600
7,1644186549.1678371,1644186549.176866,dynamodb,64,120,0,10,600
8,1644186549.1768703,1644186549.1856048,dynamodb,64,120,0,10,600
9,1644186549.185609,1644186549.1946626,dynamodb,64,120,0,10,600
10,1644186549.194667,1644186549.2036946,dynamodb,64,120,0,10,600
11,1644186549.2036986,1644186549.2120068,dynamodb,64,120,0,10,600
12,1644186549.212011,1644186549.2201486,dynamodb,64,120,0,10,600
13,1644186549.2201529,1644186549.2314436,dynamodb,64,120,0,10,600
14,1644186549.2314477,1644186549.2393138,dynamodb,64,120,0,10,600
15,1644186549.2393184,1644186549.247757,dynamodb,64,120,0,10,600
16,1644186549.2477605,1644186549.2566893,dynamodb,64,120,0,10,600
17,1644186549.2566934,1644186549.2645674,dynamodb,64,120,0,10,600
18,1644186549.2645714,1644186549.272796,dynamodb,64,120,0,10,600
19,1644186549.2728004,1644186549.2823465,dynamodb,64,120,0,10,600
20,1644186549.2823505,1644186549.290477,dynamodb,64,120,0,10,600
21,1644186549.2905023,1644186549.2992043,dynamodb,64,120,0,10,600
22,1644186549.2992077,1644186549.309168,dynamodb,64,120,0,10,600
23,1644186549.309172,1644186549.3177464,dynamodb,64,120,0,10,600
24,1644186549.3177495,1644186549.3256128,dynamodb,64,120,0,10,600
25,1644186549.3256161,1644186549.3333473,dynamodb,64,120,0,10,600
26,1644186549.333351,1644186549.3411326,dynamodb,64,120,0,10,600
27,1644186549.341136,1644186549.3516278,dynamodb,64,120,0,10,600
28,1644186549.3516319,1644186549.360034,dynamodb,64,120,0,10,600
29,1644186549.3600373,1644186549.367732,dynamodb,64,120,0,10,600
30,1644186549.3677363,1644186549.3766894,dynamodb,64,120,0,10,600
31,1644186549.3766935,1644186549.3847494,dynamodb,64,120,0,10,600
32,1644186549.384754,1644186549.3929222,dynamodb,64,120,0,10,600
33,1644186549.392926,1644186549.4016805,dynamodb,64,120,0,10,600
34,1644186549.401685,1644186549.4108124,dynamodb,64,120,0,10,600
35,1644186549.410817,1644186549.4191427,dynamodb,64,120,0,10,600
36,1644186549.4191465,1644186549.4275572,dynamodb,64,120,0,10,600
37,1644186549.4275603,1644186549.4355547,dynamodb,64,120,0,10,600
38,1644186549.435558,1644186549.4478128,dynamodb,64,120,0,10,600
39,1644186549.4478168,1644186549.4556932,dynamodb,64,120,0,10,600
40,1644186549.4556973,1644186549.4654965,dynamodb,64,120,0,10,600
41,1644186549.4654999,1644186549.474099,dynamodb,64,120,0,10,600
42,1644186549.4741023,1644186549.4817574,dynamodb,64,120,0,10,600
43,1644186549.4817607,1644186549.4902263,dynamodb,64,120,0,10,600
44,1644186549.4902306,1644186549.4987457,dynamodb,64,120,0,10,600
45,1644186549.4987497,1644186549.5068874,dynamodb,64,120,0,10,600
46,1644186549.5068908,1644186549.51499,dynamodb,64,120,0,10,600
47,1644186549.5149937,1644186549.5228474,dynamodb,64,120,0,10,600
48,1644186549.5228515,1644186549.532628,dynamodb,64,120,0,10,600
49,1644186549.5326314,1644186549.54082,dynamodb,64,120,0,10,600
50,1644186549.5408232,1644186549.5485404,dynamodb,64,120,0,10,600
51,1644186549.5485435,1644186549.5578375,dynamodb,64,120,0,10,600
52,1644186549.5578408,1644186549.5671244,dynamodb,64,120,0,10,600
53,1644186549.5671287,1644186549.5753784,dynamodb,64,120,0,10,600
54,1644186549.5753818,1644186549.5857506,dynamodb,64,120,0,10,600
55,1644186549.585754,1644186549.5969331,dynamodb,64,120,0,10,600
