,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186248.48396,1644186248.5031335,dynamodb,64,120,4,5,600
1,1644186248.503137,1644186248.5108492,dynamodb,64,120,4,5,600
2,1644186248.5108526,1644186248.518023,dynamodb,64,120,4,5,600
3,1644186248.5180266,1644186248.530822,dynamodb,64,120,4,5,600
4,1644186248.5308256,1644186248.5388443,dynamodb,64,120,4,5,600
5,1644186248.5388477,1644186248.5465264,dynamodb,64,120,4,5,600
6,1644186248.5465295,1644186248.554347,dynamodb,64,120,4,5,600
7,1644186248.5543506,1644186248.563083,dynamodb,64,120,4,5,600
8,1644186248.5630865,1644186248.5701017,dynamodb,64,120,4,5,600
9,1644186248.5701053,1644186248.5784311,dynamodb,64,120,4,5,600
10,1644186248.5784345,1644186248.5860868,dynamodb,64,120,4,5,600
11,1644186248.5860903,1644186248.5943198,dynamodb,64,120,4,5,600
12,1644186248.5943234,1644186248.6014607,dynamodb,64,120,4,5,600
13,1644186248.6014638,1644186248.6082854,dynamodb,64,120,4,5,600
14,1644186248.6082888,1644186248.620402,dynamodb,64,120,4,5,600
15,1644186248.6204057,1644186248.6287131,dynamodb,64,120,4,5,600
16,1644186248.6287165,1644186248.636274,dynamodb,64,120,4,5,600
17,1644186248.6362777,1644186248.643223,dynamodb,64,120,4,5,600
18,1644186248.6432264,1644186248.6503146,dynamodb,64,120,4,5,600
19,1644186248.6503177,1644186248.6604116,dynamodb,64,120,4,5,600
20,1644186248.660415,1644186248.6736112,dynamodb,64,120,4,5,600
21,1644186248.6736147,1644186248.680879,dynamodb,64,120,4,5,600
22,1644186248.6808827,1644186248.692605,dynamodb,64,120,4,5,600
23,1644186248.6926084,1644186248.7000127,dynamodb,64,120,4,5,600
24,1644186248.700016,1644186248.7070875,dynamodb,64,120,4,5,600
25,1644186248.7070909,1644186248.7143893,dynamodb,64,120,4,5,600
26,1644186248.7143927,1644186248.7214646,dynamodb,64,120,4,5,600
27,1644186248.7214682,1644186248.7293417,dynamodb,64,120,4,5,600
28,1644186248.7293456,1644186248.73645,dynamodb,64,120,4,5,600
29,1644186248.7364533,1644186248.7438107,dynamodb,64,120,4,5,600
30,1644186248.743815,1644186248.7524238,dynamodb,64,120,4,5,600
31,1644186248.7524269,1644186248.7596934,dynamodb,64,120,4,5,600
32,1644186248.7596967,1644186248.766661,dynamodb,64,120,4,5,600
33,1644186248.7666643,1644186248.7746944,dynamodb,64,120,4,5,600
34,1644186248.774698,1644186248.7818778,dynamodb,64,120,4,5,600
35,1644186248.781881,1644186248.789463,dynamodb,64,120,4,5,600
36,1644186248.7894669,1644186248.8036418,dynamodb,64,120,4,5,600
37,1644186248.8036451,1644186248.8119226,dynamodb,64,120,4,5,600
38,1644186248.8119256,1644186248.8193018,dynamodb,64,120,4,5,600
39,1644186248.819305,1644186248.8271987,dynamodb,64,120,4,5,600
40,1644186248.8272023,1644186248.836335,dynamodb,64,120,4,5,600
41,1644186248.8363385,1644186248.8481667,dynamodb,64,120,4,5,600
42,1644186248.8481703,1644186248.8570507,dynamodb,64,120,4,5,600
43,1644186248.857054,1644186248.8668778,dynamodb,64,120,4,5,600
44,1644186248.8668811,1644186248.8740368,dynamodb,64,120,4,5,600
45,1644186248.8740401,1644186248.8817837,dynamodb,64,120,4,5,600
46,1644186248.8817868,1644186248.889795,dynamodb,64,120,4,5,600
47,1644186248.8897989,1644186248.900376,dynamodb,64,120,4,5,600
48,1644186248.9003794,1644186248.9081275,dynamodb,64,120,4,5,600
49,1644186248.908131,1644186248.9163952,dynamodb,64,120,4,5,600
50,1644186248.9163988,1644186248.924425,dynamodb,64,120,4,5,600
51,1644186248.9244285,1644186248.9333172,dynamodb,64,120,4,5,600
52,1644186248.9333205,1644186248.9417133,dynamodb,64,120,4,5,600
53,1644186248.9417167,1644186248.9491873,dynamodb,64,120,4,5,600
54,1644186248.9491906,1644186248.9567323,dynamodb,64,120,4,5,600
55,1644186248.9567354,1644186248.9644575,dynamodb,64,120,4,5,600
56,1644186248.9644608,1644186248.9725893,dynamodb,64,120,4,5,600
57,1644186248.9725928,1644186248.9931164,dynamodb,64,120,4,5,600
58,1644186248.9931197,1644186249.001359,dynamodb,64,120,4,5,600
59,1644186249.001363,1644186249.008421,dynamodb,64,120,4,5,600
60,1644186249.0084245,1644186249.0162997,dynamodb,64,120,4,5,600
61,1644186249.0163028,1644186249.02912,dynamodb,64,120,4,5,600
62,1644186249.0291233,1644186249.036763,dynamodb,64,120,4,5,600
63,1644186249.0367665,1644186249.0492787,dynamodb,64,120,4,5,600
64,1644186249.049282,1644186249.0570912,dynamodb,64,120,4,5,600
65,1644186249.0570948,1644186249.0647573,dynamodb,64,120,4,5,600
66,1644186249.0647607,1644186249.0722053,dynamodb,64,120,4,5,600
67,1644186249.0722086,1644186249.0802999,dynamodb,64,120,4,5,600
68,1644186249.0803034,1644186249.0882893,dynamodb,64,120,4,5,600
69,1644186249.0882926,1644186249.0954223,dynamodb,64,120,4,5,600
70,1644186249.0954258,1644186249.1025453,dynamodb,64,120,4,5,600
71,1644186249.1025484,1644186249.1099513,dynamodb,64,120,4,5,600
72,1644186249.1099546,1644186249.1170616,dynamodb,64,120,4,5,600
73,1644186249.1170661,1644186249.1247125,dynamodb,64,120,4,5,600
74,1644186249.1247158,1644186249.1320632,dynamodb,64,120,4,5,600
75,1644186249.1320665,1644186249.1402895,dynamodb,64,120,4,5,600
