,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186499.5043757,1644186499.5192616,dynamodb,64,110,8,9,550
1,1644186499.519265,1644186499.526086,dynamodb,64,110,8,9,550
2,1644186499.5260894,1644186499.5327106,dynamodb,64,110,8,9,550
3,1644186499.532714,1644186499.5392928,dynamodb,64,110,8,9,550
4,1644186499.5408833,1644186499.5480955,dynamodb,64,110,8,9,550
5,1644186499.5499732,1644186499.5576158,dynamodb,64,110,8,9,550
6,1644186499.559046,1644186499.5664425,dynamodb,64,110,8,9,550
7,1644186499.5681422,1644186499.5762,dynamodb,64,110,8,9,550
8,1644186499.5772376,1644186499.5859952,dynamodb,64,110,8,9,550
9,1644186499.5863287,1644186499.594173,dynamodb,64,110,8,9,550
10,1644186499.5954106,1644186499.6029544,dynamodb,64,110,8,9,550
11,1644186499.6045027,1644186499.6117811,dynamodb,64,110,8,9,550
12,1644186499.613601,1644186499.6208324,dynamodb,64,110,8,9,550
13,1644186499.6226866,1644186499.6304243,dynamodb,64,110,8,9,550
14,1644186499.6317725,1644186499.638471,dynamodb,64,110,8,9,550
15,1644186499.6408648,1644186499.6478493,dynamodb,64,110,8,9,550
16,1644186499.6499639,1644186499.6568885,dynamodb,64,110,8,9,550
17,1644186499.6590438,1644186499.665618,dynamodb,64,110,8,9,550
18,1644186499.6690285,1644186499.6759362,dynamodb,64,110,8,9,550
19,1644186499.6772337,1644186499.6843417,dynamodb,64,110,8,9,550
20,1644186499.686332,1644186499.6935573,dynamodb,64,110,8,9,550
21,1644186499.695405,1644186499.7027376,dynamodb,64,110,8,9,550
22,1644186499.7044954,1644186499.7125406,dynamodb,64,110,8,9,550
23,1644186499.7135882,1644186499.7202787,dynamodb,64,110,8,9,550
24,1644186499.722678,1644186499.7296472,dynamodb,64,110,8,9,550
25,1644186499.731782,1644186499.7393835,dynamodb,64,110,8,9,550
26,1644186499.7408636,1644186499.7476685,dynamodb,64,110,8,9,550
27,1644186499.7499642,1644186499.7572532,dynamodb,64,110,8,9,550
28,1644186499.7590473,1644186499.7672117,dynamodb,64,110,8,9,550
29,1644186499.7681348,1644186499.775465,dynamodb,64,110,8,9,550
30,1644186499.7772267,1644186499.7842855,dynamodb,64,110,8,9,550
31,1644186499.786317,1644186499.7932043,dynamodb,64,110,8,9,550
32,1644186499.7954166,1644186499.8024578,dynamodb,64,110,8,9,550
33,1644186499.8045328,1644186499.8122776,dynamodb,64,110,8,9,550
34,1644186499.8136005,1644186499.8216112,dynamodb,64,110,8,9,550
