,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186356.081713,1644186356.0912592,dynamodb,64,120,0,7,600
1,1644186356.0912626,1644186356.099334,dynamodb,64,120,0,7,600
2,1644186356.0993376,1644186356.1069324,dynamodb,64,120,0,7,600
3,1644186356.1069357,1644186356.1147768,dynamodb,64,120,0,7,600
4,1644186356.1151724,1644186356.1260226,dynamodb,64,120,0,7,600
5,1644186356.126026,1644186356.1337955,dynamodb,64,120,0,7,600
6,1644186356.1337988,1644186356.141305,dynamodb,64,120,0,7,600
7,1644186356.1413083,1644186356.148734,dynamodb,64,120,0,7,600
8,1644186356.1487384,1644186356.1569967,dynamodb,64,120,0,7,600
9,1644186356.1569998,1644186356.1655416,dynamodb,64,120,0,7,600
10,1644186356.1655457,1644186356.1732404,dynamodb,64,120,0,7,600
11,1644186356.1735117,1644186356.1817641,dynamodb,64,120,0,7,600
12,1644186356.1817672,1644186356.1896648,dynamodb,64,120,0,7,600
13,1644186356.1901705,1644186356.2007124,dynamodb,64,120,0,7,600
14,1644186356.2007158,1644186356.208061,dynamodb,64,120,0,7,600
15,1644186356.2080643,1644186356.2154047,dynamodb,64,120,0,7,600
16,1644186356.2154086,1644186356.2236233,dynamodb,64,120,0,7,600
17,1644186356.2236266,1644186356.232171,dynamodb,64,120,0,7,600
18,1644186356.2321749,1644186356.2413402,dynamodb,64,120,0,7,600
19,1644186356.2413435,1644186356.2489858,dynamodb,64,120,0,7,600
20,1644186356.2489896,1644186356.2569978,dynamodb,64,120,0,7,600
21,1644186356.2570012,1644186356.26499,dynamodb,64,120,0,7,600
22,1644186356.26517,1644186356.2732713,dynamodb,64,120,0,7,600
23,1644186356.273503,1644186356.2812798,dynamodb,64,120,0,7,600
24,1644186356.2818642,1644186356.2901871,dynamodb,64,120,0,7,600
25,1644186356.2901912,1644186356.2995105,dynamodb,64,120,0,7,600
26,1644186356.2995148,1644186356.3073993,dynamodb,64,120,0,7,600
27,1644186356.3074033,1644186356.3151722,dynamodb,64,120,0,7,600
28,1644186356.3151755,1644186356.325298,dynamodb,64,120,0,7,600
29,1644186356.3253012,1644186356.3330297,dynamodb,64,120,0,7,600
30,1644186356.3330328,1644186356.340943,dynamodb,64,120,0,7,600
31,1644186356.3409472,1644186356.3490863,dynamodb,64,120,0,7,600
32,1644186356.3490896,1644186356.359758,dynamodb,64,120,0,7,600
33,1644186356.3597612,1644186356.3675172,dynamodb,64,120,0,7,600
34,1644186356.3675208,1644186356.3762085,dynamodb,64,120,0,7,600
35,1644186356.3762116,1644186356.3841145,dynamodb,64,120,0,7,600
36,1644186356.3841183,1644186356.391984,dynamodb,64,120,0,7,600
37,1644186356.391987,1644186356.3996806,dynamodb,64,120,0,7,600
38,1644186356.3996842,1644186356.4073958,dynamodb,64,120,0,7,600
39,1644186356.4074,1644186356.4154265,dynamodb,64,120,0,7,600
40,1644186356.4154303,1644186356.4236586,dynamodb,64,120,0,7,600
41,1644186356.4236617,1644186356.4315774,dynamodb,64,120,0,7,600
42,1644186356.4318402,1644186356.439929,dynamodb,64,120,0,7,600
