,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186483.702895,1644186483.7118123,dynamodb,64,120,4,9,600
1,1644186483.7118168,1644186483.718542,dynamodb,64,120,4,9,600
2,1644186483.7196934,1644186483.7264376,dynamodb,64,120,4,9,600
3,1644186483.7280245,1644186483.735069,dynamodb,64,120,4,9,600
4,1644186483.7363904,1644186483.743509,dynamodb,64,120,4,9,600
5,1644186483.7446926,1644186483.7514288,dynamodb,64,120,4,9,600
6,1644186483.7530577,1644186483.7598708,dynamodb,64,120,4,9,600
7,1644186483.7613587,1644186483.7761521,dynamodb,64,120,4,9,600
8,1644186483.7761557,1644186483.782149,dynamodb,64,120,4,9,600
9,1644186483.7821524,1644186483.7880409,dynamodb,64,120,4,9,600
10,1644186483.7880442,1644186483.7940881,dynamodb,64,120,4,9,600
11,1644186483.7946887,1644186483.8013253,dynamodb,64,120,4,9,600
12,1644186483.8030152,1644186483.8095467,dynamodb,64,120,4,9,600
13,1644186483.8113484,1644186483.818,dynamodb,64,120,4,9,600
14,1644186483.8196852,1644186483.8262463,dynamodb,64,120,4,9,600
15,1644186483.8280177,1644186483.8348336,dynamodb,64,120,4,9,600
16,1644186483.8363502,1644186483.8427885,dynamodb,64,120,4,9,600
17,1644186483.8446944,1644186483.851467,dynamodb,64,120,4,9,600
18,1644186483.8530269,1644186483.8593678,dynamodb,64,120,4,9,600
19,1644186483.86136,1644186483.8682134,dynamodb,64,120,4,9,600
20,1644186483.8696933,1644186483.8763623,dynamodb,64,120,4,9,600
21,1644186483.8780265,1644186483.8851817,dynamodb,64,120,4,9,600
22,1644186483.8863611,1644186483.8931038,dynamodb,64,120,4,9,600
23,1644186483.8946915,1644186483.9013429,dynamodb,64,120,4,9,600
24,1644186483.9030252,1644186483.9094436,dynamodb,64,120,4,9,600
25,1644186483.9113588,1644186483.9177816,dynamodb,64,120,4,9,600
26,1644186483.9196928,1644186483.9261813,dynamodb,64,120,4,9,600
27,1644186483.9280264,1644186483.9348087,dynamodb,64,120,4,9,600
28,1644186483.9363616,1644186483.9432213,dynamodb,64,120,4,9,600
29,1644186483.944694,1644186483.950895,dynamodb,64,120,4,9,600
