,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186147.9993606,1644186148.0091896,dynamodb,64,120,2,4,600
1,1644186148.0091937,1644186148.016096,dynamodb,64,120,2,4,600
2,1644186148.0161002,1644186148.0220509,dynamodb,64,120,2,4,600
3,1644186148.024486,1644186148.0312605,dynamodb,64,120,2,4,600
4,1644186148.0328183,1644186148.039319,dynamodb,64,120,2,4,600
5,1644186148.0411909,1644186148.0486665,dynamodb,64,120,2,4,600
6,1644186148.0495117,1644186148.0560212,dynamodb,64,120,2,4,600
7,1644186148.0578182,1644186148.0647871,dynamodb,64,120,2,4,600
8,1644186148.0661514,1644186148.0734048,dynamodb,64,120,2,4,600
9,1644186148.074534,1644186148.0814211,dynamodb,64,120,2,4,600
10,1644186148.082864,1644186148.0900884,dynamodb,64,120,2,4,600
11,1644186148.0911736,1644186148.0972552,dynamodb,64,120,2,4,600
12,1644186148.0994782,1644186148.105302,dynamodb,64,120,2,4,600
13,1644186148.1078382,1644186148.1140726,dynamodb,64,120,2,4,600
14,1644186148.1161716,1644186148.1224144,dynamodb,64,120,2,4,600
15,1644186148.1244793,1644186148.1308954,dynamodb,64,120,2,4,600
16,1644186148.1328454,1644186148.1391103,dynamodb,64,120,2,4,600
17,1644186148.1411784,1644186148.1470914,dynamodb,64,120,2,4,600
18,1644186148.1494834,1644186148.1557028,dynamodb,64,120,2,4,600
19,1644186148.1578465,1644186148.1639771,dynamodb,64,120,2,4,600
20,1644186148.16618,1644186148.172395,dynamodb,64,120,2,4,600
21,1644186148.1744874,1644186148.1806924,dynamodb,64,120,2,4,600
22,1644186148.1828125,1644186148.1885383,dynamodb,64,120,2,4,600
23,1644186148.1911452,1644186148.1969066,dynamodb,64,120,2,4,600
24,1644186148.1994793,1644186148.2052243,dynamodb,64,120,2,4,600
25,1644186148.2078383,1644186148.2140985,dynamodb,64,120,2,4,600
26,1644186148.2161672,1644186148.2216735,dynamodb,64,120,2,4,600
27,1644186148.2245038,1644186148.2340813,dynamodb,64,120,2,4,600
28,1644186148.2340846,1644186148.2400706,dynamodb,64,120,2,4,600
29,1644186148.241149,1644186148.247246,dynamodb,64,120,2,4,600
30,1644186148.2495127,1644186148.2558768,dynamodb,64,120,2,4,600
31,1644186148.257817,1644186148.2639775,dynamodb,64,120,2,4,600
32,1644186148.2661502,1644186148.271945,dynamodb,64,120,2,4,600
33,1644186148.2744892,1644186148.280434,dynamodb,64,120,2,4,600
34,1644186148.282812,1644186148.2895496,dynamodb,64,120,2,4,600
35,1644186148.2911456,1644186148.2965517,dynamodb,64,120,2,4,600
36,1644186148.29948,1644186148.3050883,dynamodb,64,120,2,4,600
37,1644186148.3078136,1644186148.313427,dynamodb,64,120,2,4,600
38,1644186148.3161464,1644186148.3217638,dynamodb,64,120,2,4,600
39,1644186148.3244803,1644186148.3310747,dynamodb,64,120,2,4,600
40,1644186148.3328364,1644186148.3386967,dynamodb,64,120,2,4,600
41,1644186148.3411489,1644186148.34646,dynamodb,64,120,2,4,600
42,1644186148.3494794,1644186148.3551211,dynamodb,64,120,2,4,600
43,1644186148.3578484,1644186148.364191,dynamodb,64,120,2,4,600
44,1644186148.36615,1644186148.3726976,dynamodb,64,120,2,4,600
45,1644186148.3745298,1644186148.3804076,dynamodb,64,120,2,4,600
46,1644186148.3828125,1644186148.388541,dynamodb,64,120,2,4,600
47,1644186148.391166,1644186148.3969138,dynamodb,64,120,2,4,600
48,1644186148.3994792,1644186148.405514,dynamodb,64,120,2,4,600
49,1644186148.4078124,1644186148.4136424,dynamodb,64,120,2,4,600
50,1644186148.4161456,1644186148.422863,dynamodb,64,120,2,4,600
51,1644186148.4244993,1644186148.4322474,dynamodb,64,120,2,4,600
52,1644186148.4328446,1644186148.4398146,dynamodb,64,120,2,4,600
53,1644186148.4411793,1644186148.4472013,dynamodb,64,120,2,4,600
54,1644186148.449486,1644186148.4557726,dynamodb,64,120,2,4,600
55,1644186148.4578469,1644186148.464338,dynamodb,64,120,2,4,600
56,1644186148.466179,1644186148.472678,dynamodb,64,120,2,4,600
57,1644186148.4745162,1644186148.4808981,dynamodb,64,120,2,4,600
58,1644186148.4828131,1644186148.488493,dynamodb,64,120,2,4,600
59,1644186148.4911697,1644186148.4979274,dynamodb,64,120,2,4,600
60,1644186148.4994798,1644186148.505413,dynamodb,64,120,2,4,600
61,1644186148.5078404,1644186148.5142047,dynamodb,64,120,2,4,600
62,1644186148.5161462,1644186148.522194,dynamodb,64,120,2,4,600
63,1644186148.524479,1644186148.5316756,dynamodb,64,120,2,4,600
64,1644186148.5328455,1644186148.5398183,dynamodb,64,120,2,4,600
65,1644186148.5411794,1644186148.5474353,dynamodb,64,120,2,4,600
66,1644186148.5495124,1644186148.5556374,dynamodb,64,120,2,4,600
67,1644186148.557846,1644186148.5642955,dynamodb,64,120,2,4,600
68,1644186148.5661707,1644186148.5721755,dynamodb,64,120,2,4,600
69,1644186148.5745227,1644186148.5803032,dynamodb,64,120,2,4,600
70,1644186148.5828135,1644186148.5885384,dynamodb,64,120,2,4,600
71,1644186148.5911462,1644186148.5969126,dynamodb,64,120,2,4,600
72,1644186148.5995033,1644186148.6057322,dynamodb,64,120,2,4,600
73,1644186148.607832,1644186148.6134522,dynamodb,64,120,2,4,600
74,1644186148.6161458,1644186148.6223042,dynamodb,64,120,2,4,600
75,1644186148.6244805,1644186148.630531,dynamodb,64,120,2,4,600
76,1644186148.6328156,1644186148.6383114,dynamodb,64,120,2,4,600
77,1644186148.6411667,1644186148.6470032,dynamodb,64,120,2,4,600
78,1644186148.649483,1644186148.6554754,dynamodb,64,120,2,4,600
79,1644186148.6578164,1644186148.663311,dynamodb,64,120,2,4,600
80,1644186148.66618,1644186148.6721652,dynamodb,64,120,2,4,600
81,1644186148.6744893,1644186148.680321,dynamodb,64,120,2,4,600
82,1644186148.6828122,1644186148.6889088,dynamodb,64,120,2,4,600
83,1644186148.6911702,1644186148.6976123,dynamodb,64,120,2,4,600
84,1644186148.6994789,1644186148.7069323,dynamodb,64,120,2,4,600
85,1644186148.7078445,1644186148.7291133,dynamodb,64,120,2,4,600
86,1644186148.729117,1644186148.7348897,dynamodb,64,120,2,4,600
87,1644186148.7348933,1644186148.7404306,dynamodb,64,120,2,4,600
88,1644186148.7404342,1644186148.7460134,dynamodb,64,120,2,4,600
89,1644186148.7460175,1644186148.7515287,dynamodb,64,120,2,4,600
90,1644186148.751532,1644186148.7584326,dynamodb,64,120,2,4,600
91,1644186148.7584362,1644186148.7644145,dynamodb,64,120,2,4,600
92,1644186148.7661793,1644186148.7727792,dynamodb,64,120,2,4,600
93,1644186148.7744892,1644186148.7799933,dynamodb,64,120,2,4,600
94,1644186148.782812,1644186148.7883933,dynamodb,64,120,2,4,600
95,1644186148.7911463,1644186148.7976573,dynamodb,64,120,2,4,600
96,1644186148.7994795,1644186148.8055756,dynamodb,64,120,2,4,600
97,1644186148.8078141,1644186148.8132827,dynamodb,64,120,2,4,600
98,1644186148.8161461,1644186148.822086,dynamodb,64,120,2,4,600
99,1644186148.824505,1644186148.8300295,dynamodb,64,120,2,4,600
100,1644186148.8328373,1644186148.8391097,dynamodb,64,120,2,4,600
101,1644186148.8411794,1644186148.8467681,dynamodb,64,120,2,4,600
102,1644186148.8495135,1644186148.855766,dynamodb,64,120,2,4,600
103,1644186148.8578172,1644186148.8639138,dynamodb,64,120,2,4,600
104,1644186148.8661494,1644186148.8719218,dynamodb,64,120,2,4,600
105,1644186148.8744862,1644186148.8802695,dynamodb,64,120,2,4,600
106,1644186148.8828123,1644186148.888568,dynamodb,64,120,2,4,600
107,1644186148.89117,1644186148.8971303,dynamodb,64,120,2,4,600
108,1644186148.8994792,1644186148.9049375,dynamodb,64,120,2,4,600
