,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644188970.4346764,1644188970.4572442,lock,64,120,7,9,600
1,1644188970.4572475,1644188970.4690409,lock,64,120,7,9,600
2,1644188970.4690442,1644188970.479931,lock,64,120,7,9,600
3,1644188970.4799342,1644188970.4898813,lock,64,120,7,9,600
4,1644188970.4898849,1644188970.5002654,lock,64,120,7,9,600
5,1644188970.5002687,1644188970.510605,lock,64,120,7,9,600
6,1644188970.5106084,1644188970.5220227,lock,64,120,7,9,600
7,1644188970.522026,1644188970.532775,lock,64,120,7,9,600
8,1644188970.532778,1644188970.583255,lock,64,120,7,9,600
9,1644188970.5832598,1644188970.594528,lock,64,120,7,9,600
10,1644188970.5945313,1644188970.6050327,lock,64,120,7,9,600
11,1644188970.605037,1644188970.6190412,lock,64,120,7,9,600
12,1644188970.6190445,1644188970.6314688,lock,64,120,7,9,600
13,1644188970.6314723,1644188970.6492844,lock,64,120,7,9,600
14,1644188970.6492875,1644188970.6609387,lock,64,120,7,9,600
15,1644188970.660942,1644188970.673073,lock,64,120,7,9,600
16,1644188970.6730766,1644188970.6880336,lock,64,120,7,9,600
17,1644188970.6880372,1644188970.7033877,lock,64,120,7,9,600
18,1644188970.7033918,1644188970.7165968,lock,64,120,7,9,600
19,1644188970.7166002,1644188970.7279654,lock,64,120,7,9,600
20,1644188970.7279687,1644188970.7383163,lock,64,120,7,9,600
21,1644188970.7383199,1644188970.750333,lock,64,120,7,9,600
22,1644188970.7503374,1644188970.7625558,lock,64,120,7,9,600
23,1644188970.762559,1644188970.7737036,lock,64,120,7,9,600
24,1644188970.7737072,1644188970.788402,lock,64,120,7,9,600
25,1644188970.7884054,1644188970.8015232,lock,64,120,7,9,600
26,1644188970.8015268,1644188970.8197258,lock,64,120,7,9,600
27,1644188970.8197305,1644188970.8318403,lock,64,120,7,9,600
28,1644188970.8318436,1644188970.8445873,lock,64,120,7,9,600
29,1644188970.8445907,1644188970.8556197,lock,64,120,7,9,600
30,1644188970.855623,1644188970.8672428,lock,64,120,7,9,600
31,1644188970.8672462,1644188970.8795378,lock,64,120,7,9,600
32,1644188970.8795412,1644188970.8911855,lock,64,120,7,9,600
33,1644188970.8911886,1644188970.9036975,lock,64,120,7,9,600
34,1644188970.9037013,1644188970.919901,lock,64,120,7,9,600
35,1644188970.9199045,1644188970.932145,lock,64,120,7,9,600
36,1644188970.9321492,1644188970.951213,lock,64,120,7,9,600
37,1644188970.9512165,1644188970.9615328,lock,64,120,7,9,600
38,1644188970.9615362,1644188970.9718914,lock,64,120,7,9,600
39,1644188970.9718947,1644188970.9830248,lock,64,120,7,9,600
40,1644188970.9830284,1644188970.9984207,lock,64,120,7,9,600
41,1644188970.9984238,1644188971.011162,lock,64,120,7,9,600
42,1644188971.0111656,1644188971.0230489,lock,64,120,7,9,600
43,1644188971.0230522,1644188971.034248,lock,64,120,7,9,600
44,1644188971.0342515,1644188971.0452871,lock,64,120,7,9,600
45,1644188971.0452902,1644188971.0583737,lock,64,120,7,9,600
46,1644188971.0583777,1644188971.071385,lock,64,120,7,9,600
47,1644188971.0713885,1644188971.083109,lock,64,120,7,9,600
48,1644188971.0831122,1644188971.0951684,lock,64,120,7,9,600
49,1644188971.0951717,1644188971.1174374,lock,64,120,7,9,600
50,1644188971.1174407,1644188971.1292422,lock,64,120,7,9,600
51,1644188971.1292455,1644188971.1392338,lock,64,120,7,9,600
52,1644188971.1392374,1644188971.149363,lock,64,120,7,9,600
53,1644188971.1493666,1644188971.159831,lock,64,120,7,9,600
54,1644188971.1598344,1644188971.1706393,lock,64,120,7,9,600
55,1644188971.1706429,1644188971.1812572,lock,64,120,7,9,600
56,1644188971.1812606,1644188971.1917665,lock,64,120,7,9,600
57,1644188971.1917698,1644188971.2111442,lock,64,120,7,9,600
58,1644188971.2111475,1644188971.2231042,lock,64,120,7,9,600
