,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644189073.2562666,1644189073.269852,lock,64,120,2,10,600
1,1644189073.2698555,1644189073.2859921,lock,64,120,2,10,600
2,1644189073.2859952,1644189073.2988765,lock,64,120,2,10,600
3,1644189073.2988799,1644189073.3108327,lock,64,120,2,10,600
4,1644189073.3108356,1644189073.3229823,lock,64,120,2,10,600
5,1644189073.322986,1644189073.339603,lock,64,120,2,10,600
6,1644189073.3396063,1644189073.3522618,lock,64,120,2,10,600
7,1644189073.3522651,1644189073.3662057,lock,64,120,2,10,600
8,1644189073.3662093,1644189073.3786316,lock,64,120,2,10,600
9,1644189073.3786352,1644189073.391118,lock,64,120,2,10,600
10,1644189073.3911214,1644189073.4036787,lock,64,120,2,10,600
11,1644189073.4036832,1644189073.416647,lock,64,120,2,10,600
12,1644189073.4166503,1644189073.4288127,lock,64,120,2,10,600
13,1644189073.4288158,1644189073.4406886,lock,64,120,2,10,600
14,1644189073.4406927,1644189073.453067,lock,64,120,2,10,600
15,1644189073.4530702,1644189073.4655766,lock,64,120,2,10,600
16,1644189073.46558,1644189073.478518,lock,64,120,2,10,600
17,1644189073.4785216,1644189073.4917188,lock,64,120,2,10,600
18,1644189073.4917219,1644189073.5051095,lock,64,120,2,10,600
19,1644189073.505113,1644189073.517712,lock,64,120,2,10,600
20,1644189073.5177166,1644189073.53064,lock,64,120,2,10,600
21,1644189073.5306442,1644189073.5579042,lock,64,120,2,10,600
22,1644189073.5579073,1644189073.5729241,lock,64,120,2,10,600
23,1644189073.5729275,1644189073.586058,lock,64,120,2,10,600
24,1644189073.5860612,1644189073.599287,lock,64,120,2,10,600
25,1644189073.5992916,1644189073.613899,lock,64,120,2,10,600
26,1644189073.6139026,1644189073.6293705,lock,64,120,2,10,600
27,1644189073.6293747,1644189073.64242,lock,64,120,2,10,600
28,1644189073.6424234,1644189073.6541855,lock,64,120,2,10,600
29,1644189073.6541886,1644189073.6677895,lock,64,120,2,10,600
30,1644189073.667794,1644189073.6810157,lock,64,120,2,10,600
31,1644189073.681019,1644189073.6991916,lock,64,120,2,10,600
32,1644189073.699195,1644189073.7110023,lock,64,120,2,10,600
33,1644189073.7110057,1644189073.7239816,lock,64,120,2,10,600
34,1644189073.723985,1644189073.7370954,lock,64,120,2,10,600
35,1644189073.7370987,1644189073.749939,lock,64,120,2,10,600
36,1644189073.7499435,1644189073.7633557,lock,64,120,2,10,600
37,1644189073.7633603,1644189073.7766702,lock,64,120,2,10,600
38,1644189073.7766736,1644189073.789872,lock,64,120,2,10,600
39,1644189073.7898762,1644189073.803533,lock,64,120,2,10,600
40,1644189073.8035364,1644189073.815854,lock,64,120,2,10,600
41,1644189073.8158581,1644189073.8282948,lock,64,120,2,10,600
42,1644189073.8282983,1644189073.8414292,lock,64,120,2,10,600
43,1644189073.8414326,1644189073.858003,lock,64,120,2,10,600
