,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186384.0746443,1644186384.0849044,dynamodb,64,120,5,8,600
1,1644186384.084908,1644186384.0928493,dynamodb,64,120,5,8,600
2,1644186384.0928526,1644186384.1104014,dynamodb,64,120,5,8,600
3,1644186384.110405,1644186384.1176374,dynamodb,64,120,5,8,600
4,1644186384.117641,1644186384.1250706,dynamodb,64,120,5,8,600
5,1644186384.1250744,1644186384.1324842,dynamodb,64,120,5,8,600
6,1644186384.1324883,1644186384.1401186,dynamodb,64,120,5,8,600
7,1644186384.1401231,1644186384.1471024,dynamodb,64,120,5,8,600
8,1644186384.147106,1644186384.154017,dynamodb,64,120,5,8,600
9,1644186384.1540205,1644186384.1782749,dynamodb,64,120,5,8,600
10,1644186384.1782792,1644186384.1862397,dynamodb,64,120,5,8,600
11,1644186384.1862442,1644186384.1936414,dynamodb,64,120,5,8,600
12,1644186384.1936457,1644186384.2020476,dynamodb,64,120,5,8,600
13,1644186384.2020514,1644186384.209078,dynamodb,64,120,5,8,600
14,1644186384.2090814,1644186384.2158394,dynamodb,64,120,5,8,600
15,1644186384.215844,1644186384.223614,dynamodb,64,120,5,8,600
16,1644186384.223618,1644186384.2337008,dynamodb,64,120,5,8,600
17,1644186384.2337046,1644186384.2413821,dynamodb,64,120,5,8,600
18,1644186384.2413862,1644186384.2488947,dynamodb,64,120,5,8,600
19,1644186384.2488985,1644186384.256825,dynamodb,64,120,5,8,600
20,1644186384.256829,1644186384.2637744,dynamodb,64,120,5,8,600
21,1644186384.263779,1644186384.2712471,dynamodb,64,120,5,8,600
22,1644186384.2712514,1644186384.2814996,dynamodb,64,120,5,8,600
23,1644186384.2815032,1644186384.289051,dynamodb,64,120,5,8,600
24,1644186384.2890546,1644186384.2963083,dynamodb,64,120,5,8,600
25,1644186384.2963119,1644186384.3036368,dynamodb,64,120,5,8,600
26,1644186384.3036416,1644186384.310937,dynamodb,64,120,5,8,600
27,1644186384.3109415,1644186384.3208888,dynamodb,64,120,5,8,600
28,1644186384.3208933,1644186384.3292844,dynamodb,64,120,5,8,600
29,1644186384.329288,1644186384.337145,dynamodb,64,120,5,8,600
30,1644186384.3371487,1644186384.3453565,dynamodb,64,120,5,8,600
31,1644186384.3453612,1644186384.3527558,dynamodb,64,120,5,8,600
32,1644186384.35276,1644186384.3612144,dynamodb,64,120,5,8,600
33,1644186384.361219,1644186384.3709834,dynamodb,64,120,5,8,600
34,1644186384.370987,1644186384.3798275,dynamodb,64,120,5,8,600
