,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186131.7343552,1644186131.74353,dynamodb,64,120,2,4,600
1,1644186131.7435336,1644186131.7508698,dynamodb,64,120,2,4,600
2,1644186131.751143,1644186131.7619581,dynamodb,64,120,2,4,600
3,1644186131.7619615,1644186131.769291,dynamodb,64,120,2,4,600
4,1644186131.7692943,1644186131.7763178,dynamodb,64,120,2,4,600
5,1644186131.7763216,1644186131.786198,dynamodb,64,120,2,4,600
6,1644186131.7862012,1644186131.7935565,dynamodb,64,120,2,4,600
7,1644186131.79356,1644186131.8015707,dynamodb,64,120,2,4,600
8,1644186131.801574,1644186131.8092234,dynamodb,64,120,2,4,600
9,1644186131.8094761,1644186131.8172145,dynamodb,64,120,2,4,600
10,1644186131.8178096,1644186131.8274345,dynamodb,64,120,2,4,600
11,1644186131.827438,1644186131.835032,dynamodb,64,120,2,4,600
12,1644186131.8350353,1644186131.8438256,dynamodb,64,120,2,4,600
13,1644186131.8438292,1644186131.8509605,dynamodb,64,120,2,4,600
14,1644186131.8511438,1644186131.858537,dynamodb,64,120,2,4,600
15,1644186131.8594754,1644186131.8670852,dynamodb,64,120,2,4,600
16,1644186131.8678412,1644186131.8757658,dynamodb,64,120,2,4,600
17,1644186131.8761432,1644186131.88378,dynamodb,64,120,2,4,600
18,1644186131.8845062,1644186131.892672,dynamodb,64,120,2,4,600
19,1644186131.8928502,1644186131.900592,dynamodb,64,120,2,4,600
20,1644186131.9011722,1644186131.9083164,dynamodb,64,120,2,4,600
21,1644186131.9095051,1644186131.917422,dynamodb,64,120,2,4,600
22,1644186131.9178102,1644186131.9257238,dynamodb,64,120,2,4,600
23,1644186131.9261434,1644186131.9342506,dynamodb,64,120,2,4,600
24,1644186131.9344797,1644186131.9422102,dynamodb,64,120,2,4,600
25,1644186131.9428065,1644186131.9499378,dynamodb,64,120,2,4,600
26,1644186131.9511397,1644186131.9600677,dynamodb,64,120,2,4,600
27,1644186131.960071,1644186131.9673939,dynamodb,64,120,2,4,600
28,1644186131.9678097,1644186131.9749408,dynamodb,64,120,2,4,600
29,1644186131.9761734,1644186131.9837463,dynamodb,64,120,2,4,600
30,1644186131.9844756,1644186131.991758,dynamodb,64,120,2,4,600
31,1644186131.9928105,1644186132.0003324,dynamodb,64,120,2,4,600
32,1644186132.0011427,1644186132.0105517,dynamodb,64,120,2,4,600
33,1644186132.010555,1644186132.0181184,dynamodb,64,120,2,4,600
34,1644186132.0181217,1644186132.0257564,dynamodb,64,120,2,4,600
35,1644186132.0261438,1644186132.0340896,dynamodb,64,120,2,4,600
36,1644186132.03448,1644186132.0426772,dynamodb,64,120,2,4,600
37,1644186132.0428555,1644186132.0510921,dynamodb,64,120,2,4,600
38,1644186132.0510955,1644186132.0599756,dynamodb,64,120,2,4,600
39,1644186132.0599787,1644186132.0680094,dynamodb,64,120,2,4,600
40,1644186132.0680127,1644186132.0750046,dynamodb,64,120,2,4,600
41,1644186132.0761743,1644186132.0842235,dynamodb,64,120,2,4,600
42,1644186132.0844762,1644186132.092295,dynamodb,64,120,2,4,600
43,1644186132.09281,1644186132.1007025,dynamodb,64,120,2,4,600
44,1644186132.1011717,1644186132.1100323,dynamodb,64,120,2,4,600
45,1644186132.1100357,1644186132.1172793,dynamodb,64,120,2,4,600
46,1644186132.1178098,1644186132.1257806,dynamodb,64,120,2,4,600
47,1644186132.1261432,1644186132.1338499,dynamodb,64,120,2,4,600
48,1644186132.1344862,1644186132.1435838,dynamodb,64,120,2,4,600
49,1644186132.143587,1644186132.15363,dynamodb,64,120,2,4,600
50,1644186132.1536334,1644186132.1621363,dynamodb,64,120,2,4,600
51,1644186132.16214,1644186132.1710064,dynamodb,64,120,2,4,600
52,1644186132.17101,1644186132.197451,dynamodb,64,120,2,4,600
53,1644186132.1974547,1644186132.2054236,dynamodb,64,120,2,4,600
54,1644186132.205427,1644186132.2163198,dynamodb,64,120,2,4,600
55,1644186132.2163231,1644186132.2245512,dynamodb,64,120,2,4,600
56,1644186132.2245548,1644186132.2324388,dynamodb,64,120,2,4,600
57,1644186132.2324421,1644186132.24097,dynamodb,64,120,2,4,600
58,1644186132.2409732,1644186132.2489436,dynamodb,64,120,2,4,600
59,1644186132.2489474,1644186132.2576463,dynamodb,64,120,2,4,600
60,1644186132.2576494,1644186132.2658591,dynamodb,64,120,2,4,600
61,1644186132.2658625,1644186132.2730286,dynamodb,64,120,2,4,600
62,1644186132.273032,1644186132.2812054,dynamodb,64,120,2,4,600
63,1644186132.2812088,1644186132.2889993,dynamodb,64,120,2,4,600
64,1644186132.2890027,1644186132.296578,dynamodb,64,120,2,4,600
65,1644186132.2965817,1644186132.3039522,dynamodb,64,120,2,4,600
66,1644186132.3039556,1644186132.3112059,dynamodb,64,120,2,4,600
67,1644186132.3112094,1644186132.3193593,dynamodb,64,120,2,4,600
68,1644186132.3193626,1644186132.3274755,dynamodb,64,120,2,4,600
69,1644186132.327479,1644186132.3350446,dynamodb,64,120,2,4,600
70,1644186132.335048,1644186132.343285,dynamodb,64,120,2,4,600
71,1644186132.3432884,1644186132.3529315,dynamodb,64,120,2,4,600
72,1644186132.3529348,1644186132.3602777,dynamodb,64,120,2,4,600
73,1644186132.3602822,1644186132.3729205,dynamodb,64,120,2,4,600
