,begin,end,benchmatk,size,rps,worker,workers,repetitions
0,1644186366.9066849,1644186366.9189308,dynamodb,64,120,0,7,600
1,1644186366.918934,1644186366.9274466,dynamodb,64,120,0,7,600
2,1644186366.92745,1644186366.935233,dynamodb,64,120,0,7,600
3,1644186366.9352365,1644186366.9432583,dynamodb,64,120,0,7,600
4,1644186366.9432616,1644186366.9511037,dynamodb,64,120,0,7,600
5,1644186366.951107,1644186366.9598489,dynamodb,64,120,0,7,600
6,1644186366.9598534,1644186366.96825,dynamodb,64,120,0,7,600
7,1644186366.9682546,1644186366.9770663,dynamodb,64,120,0,7,600
8,1644186366.9770696,1644186366.984773,dynamodb,64,120,0,7,600
9,1644186366.9847763,1644186366.9930503,dynamodb,64,120,0,7,600
10,1644186366.9930537,1644186367.0022898,dynamodb,64,120,0,7,600
11,1644186367.0022926,1644186367.0106378,dynamodb,64,120,0,7,600
12,1644186367.0106413,1644186367.0188797,dynamodb,64,120,0,7,600
13,1644186367.0188844,1644186367.0269852,dynamodb,64,120,0,7,600
14,1644186367.0269885,1644186367.0461698,dynamodb,64,120,0,7,600
15,1644186367.0461733,1644186367.0581794,dynamodb,64,120,0,7,600
16,1644186367.0581834,1644186367.0683787,dynamodb,64,120,0,7,600
17,1644186367.068382,1644186367.078464,dynamodb,64,120,0,7,600
18,1644186367.0784671,1644186367.0875733,dynamodb,64,120,0,7,600
19,1644186367.0875769,1644186367.096466,dynamodb,64,120,0,7,600
20,1644186367.0964694,1644186367.1056082,dynamodb,64,120,0,7,600
21,1644186367.1056116,1644186367.1153216,dynamodb,64,120,0,7,600
22,1644186367.1153257,1644186367.1238768,dynamodb,64,120,0,7,600
23,1644186367.1238804,1644186367.1317465,dynamodb,64,120,0,7,600
24,1644186367.1317499,1644186367.1395478,dynamodb,64,120,0,7,600
25,1644186367.139551,1644186367.1487722,dynamodb,64,120,0,7,600
26,1644186367.1487768,1644186367.1573932,dynamodb,64,120,0,7,600
27,1644186367.1573963,1644186367.1664748,dynamodb,64,120,0,7,600
28,1644186367.1664999,1644186367.1818087,dynamodb,64,120,0,7,600
29,1644186367.1818128,1644186367.1905694,dynamodb,64,120,0,7,600
30,1644186367.1905727,1644186367.1988432,dynamodb,64,120,0,7,600
31,1644186367.1988473,1644186367.209686,dynamodb,64,120,0,7,600
32,1644186367.2096894,1644186367.217433,dynamodb,64,120,0,7,600
33,1644186367.2174363,1644186367.2259536,dynamodb,64,120,0,7,600
34,1644186367.2259579,1644186367.2353349,dynamodb,64,120,0,7,600
35,1644186367.2353382,1644186367.24407,dynamodb,64,120,0,7,600
36,1644186367.2440748,1644186367.2540498,dynamodb,64,120,0,7,600
37,1644186367.2540538,1644186367.2621622,dynamodb,64,120,0,7,600
38,1644186367.2621655,1644186367.2717786,dynamodb,64,120,0,7,600
39,1644186367.271782,1644186367.2798564,dynamodb,64,120,0,7,600
40,1644186367.2798598,1644186367.289728,dynamodb,64,120,0,7,600
41,1644186367.2897325,1644186367.2977662,dynamodb,64,120,0,7,600
42,1644186367.2977693,1644186367.3109703,dynamodb,64,120,0,7,600
43,1644186367.3109736,1644186367.3199232,dynamodb,64,120,0,7,600
44,1644186367.3199267,1644186367.3289776,dynamodb,64,120,0,7,600
45,1644186367.3289819,1644186367.3376365,dynamodb,64,120,0,7,600
46,1644186367.3376396,1644186367.3463714,dynamodb,64,120,0,7,600
47,1644186367.346376,1644186367.3549123,dynamodb,64,120,0,7,600
48,1644186367.3549156,1644186367.3635669,dynamodb,64,120,0,7,600
49,1644186367.363571,1644186367.3719497,dynamodb,64,120,0,7,600
50,1644186367.3719532,1644186367.3795233,dynamodb,64,120,0,7,600
51,1644186367.3795269,1644186367.3873293,dynamodb,64,120,0,7,600
52,1644186367.3873327,1644186367.3966131,dynamodb,64,120,0,7,600
53,1644186367.3966165,1644186367.404841,dynamodb,64,120,0,7,600
54,1644186367.4048443,1644186367.4131927,dynamodb,64,120,0,7,600
55,1644186367.413196,1644186367.421064,dynamodb,64,120,0,7,600
56,1644186367.421067,1644186367.4298537,dynamodb,64,120,0,7,600
57,1644186367.4298577,1644186367.438767,dynamodb,64,120,0,7,600
58,1644186367.4387712,1644186367.4480543,dynamodb,64,120,0,7,600
59,1644186367.4480584,1644186367.457871,dynamodb,64,120,0,7,600
60,1644186367.457874,1644186367.4656308,dynamodb,64,120,0,7,600
61,1644186367.465634,1644186367.473281,dynamodb,64,120,0,7,600
62,1644186367.4732854,1644186367.4819968,dynamodb,64,120,0,7,600
63,1644186367.482,1644186367.4906845,dynamodb,64,120,0,7,600
64,1644186367.4906878,1644186367.4984994,dynamodb,64,120,0,7,600
65,1644186367.4985027,1644186367.5063245,dynamodb,64,120,0,7,600
66,1644186367.5063288,1644186367.5153544,dynamodb,64,120,0,7,600
67,1644186367.5153577,1644186367.5238173,dynamodb,64,120,0,7,600
68,1644186367.5238206,1644186367.5325274,dynamodb,64,120,0,7,600
69,1644186367.532531,1644186367.5411477,dynamodb,64,120,0,7,600
70,1644186367.541151,1644186367.5628603,dynamodb,64,120,0,7,600
71,1644186367.5628636,1644186367.5715637,dynamodb,64,120,0,7,600
72,1644186367.571567,1644186367.5807178,dynamodb,64,120,0,7,600
73,1644186367.580722,1644186367.5888197,dynamodb,64,120,0,7,600
74,1644186367.588823,1644186367.5979266,dynamodb,64,120,0,7,600
75,1644186367.5979311,1644186367.606825,dynamodb,64,120,0,7,600
76,1644186367.6068296,1644186367.615747,dynamodb,64,120,0,7,600
77,1644186367.6157513,1644186367.6237485,dynamodb,64,120,0,7,600
78,1644186367.6237526,1644186367.632319,dynamodb,64,120,0,7,600
79,1644186367.6323223,1644186367.6435251,dynamodb,64,120,0,7,600
80,1644186367.6435294,1644186367.6529965,dynamodb,64,120,0,7,600
81,1644186367.6529999,1644186367.6606705,dynamodb,64,120,0,7,600
82,1644186367.6606739,1644186367.6684887,dynamodb,64,120,0,7,600
83,1644186367.6684918,1644186367.6773696,dynamodb,64,120,0,7,600
84,1644186367.677373,1644186367.685084,dynamodb,64,120,0,7,600
85,1644186367.6850872,1644186367.693321,dynamodb,64,120,0,7,600
86,1644186367.6933243,1644186367.7021496,dynamodb,64,120,0,7,600
87,1644186367.7021527,1644186367.7100224,dynamodb,64,120,0,7,600
88,1644186367.7100258,1644186367.7189026,dynamodb,64,120,0,7,600
89,1644186367.7189074,1644186367.7279851,dynamodb,64,120,0,7,600
90,1644186367.72799,1644186367.7370281,dynamodb,64,120,0,7,600
91,1644186367.7370315,1644186367.7448044,dynamodb,64,120,0,7,600
92,1644186367.7448077,1644186367.7544115,dynamodb,64,120,0,7,600
93,1644186367.7544155,1644186367.763991,dynamodb,64,120,0,7,600
94,1644186367.7639945,1644186367.7730668,dynamodb,64,120,0,7,600
95,1644186367.7730703,1644186367.780864,dynamodb,64,120,0,7,600
96,1644186367.7808673,1644186367.7892227,dynamodb,64,120,0,7,600
97,1644186367.7892263,1644186367.797444,dynamodb,64,120,0,7,600
98,1644186367.7974484,1644186367.8061812,dynamodb,64,120,0,7,600
99,1644186367.8061845,1644186367.8182752,dynamodb,64,120,0,7,600
100,1644186367.8182786,1644186367.8271165,dynamodb,64,120,0,7,600
101,1644186367.8271198,1644186367.83496,dynamodb,64,120,0,7,600
102,1644186367.834963,1644186367.8445966,dynamodb,64,120,0,7,600
103,1644186367.8446,1644186367.853292,dynamodb,64,120,0,7,600
104,1644186367.8532953,1644186367.8623226,dynamodb,64,120,0,7,600
105,1644186367.8623269,1644186367.871802,dynamodb,64,120,0,7,600
106,1644186367.8718054,1644186367.88053,dynamodb,64,120,0,7,600
107,1644186367.8805344,1644186367.8883555,dynamodb,64,120,0,7,600
108,1644186367.8883588,1644186367.9034276,dynamodb,64,120,0,7,600
109,1644186367.903431,1644186367.9130044,dynamodb,64,120,0,7,600
110,1644186367.9130075,1644186367.9254053,dynamodb,64,120,0,7,600
111,1644186367.9254096,1644186367.9358563,dynamodb,64,120,0,7,600
112,1644186367.9358597,1644186367.9491632,dynamodb,64,120,0,7,600
113,1644186367.9491665,1644186367.9583895,dynamodb,64,120,0,7,600
114,1644186367.9583929,1644186367.966315,dynamodb,64,120,0,7,600
115,1644186367.9663184,1644186367.9753985,dynamodb,64,120,0,7,600
116,1644186367.9754019,1644186367.983878,dynamodb,64,120,0,7,600
117,1644186367.9838812,1644186367.9916215,dynamodb,64,120,0,7,600
118,1644186367.9916246,1644186367.999563,dynamodb,64,120,0,7,600
119,1644186367.9995666,1644186368.0093665,dynamodb,64,120,0,7,600
120,1644186368.0093706,1644186368.0199225,dynamodb,64,120,0,7,600
121,1644186368.0199258,1644186368.0338054,dynamodb,64,120,0,7,600
122,1644186368.0338085,1644186368.047794,dynamodb,64,120,0,7,600
123,1644186368.0477974,1644186368.059366,dynamodb,64,120,0,7,600
124,1644186368.0593693,1644186368.068071,dynamodb,64,120,0,7,600
125,1644186368.0680752,1644186368.0779703,dynamodb,64,120,0,7,600
126,1644186368.0779736,1644186368.0863075,dynamodb,64,120,0,7,600
127,1644186368.0863116,1644186368.0947654,dynamodb,64,120,0,7,600
128,1644186368.0947685,1644186368.1047032,dynamodb,64,120,0,7,600
129,1644186368.1047063,1644186368.1141407,dynamodb,64,120,0,7,600
130,1644186368.1141438,1644186368.1226704,dynamodb,64,120,0,7,600
131,1644186368.122674,1644186368.1305563,dynamodb,64,120,0,7,600
132,1644186368.1305597,1644186368.1390202,dynamodb,64,120,0,7,600
133,1644186368.1390245,1644186368.1477919,dynamodb,64,120,0,7,600
134,1644186368.1477952,1644186368.1641097,dynamodb,64,120,0,7,600
135,1644186368.164113,1644186368.173446,dynamodb,64,120,0,7,600
136,1644186368.17345,1644186368.182824,dynamodb,64,120,0,7,600
137,1644186368.1828272,1644186368.1912234,dynamodb,64,120,0,7,600
138,1644186368.1912267,1644186368.1995049,dynamodb,64,120,0,7,600
139,1644186368.1995082,1644186368.208566,dynamodb,64,120,0,7,600
140,1644186368.2085693,1644186368.2172341,dynamodb,64,120,0,7,600
141,1644186368.217238,1644186368.2257504,dynamodb,64,120,0,7,600
142,1644186368.225755,1644186368.2347941,dynamodb,64,120,0,7,600
143,1644186368.2347972,1644186368.2429438,dynamodb,64,120,0,7,600
144,1644186368.2429469,1644186368.2570267,dynamodb,64,120,0,7,600
145,1644186368.2570298,1644186368.2649143,dynamodb,64,120,0,7,600
146,1644186368.2649188,1644186368.2784393,dynamodb,64,120,0,7,600
147,1644186368.2784429,1644186368.2868583,dynamodb,64,120,0,7,600
148,1644186368.2868617,1644186368.296696,dynamodb,64,120,0,7,600
149,1644186368.2967,1644186368.3068635,dynamodb,64,120,0,7,600
150,1644186368.306867,1644186368.3174152,dynamodb,64,120,0,7,600
151,1644186368.3174186,1644186368.3259966,dynamodb,64,120,0,7,600
152,1644186368.326,1644186368.3352933,dynamodb,64,120,0,7,600
153,1644186368.335297,1644186368.3435864,dynamodb,64,120,0,7,600
154,1644186368.3435903,1644186368.3525743,dynamodb,64,120,0,7,600
155,1644186368.3525777,1644186368.3607512,dynamodb,64,120,0,7,600
156,1644186368.3607545,1644186368.373718,dynamodb,64,120,0,7,600
157,1644186368.3737223,1644186368.3827786,dynamodb,64,120,0,7,600
158,1644186368.382782,1644186368.3910494,dynamodb,64,120,0,7,600
159,1644186368.3910532,1644186368.3996372,dynamodb,64,120,0,7,600
160,1644186368.3996413,1644186368.4088676,dynamodb,64,120,0,7,600
161,1644186368.408871,1644186368.431251,dynamodb,64,120,0,7,600
162,1644186368.4312544,1644186368.4392753,dynamodb,64,120,0,7,600
163,1644186368.4392786,1644186368.4524221,dynamodb,64,120,0,7,600
164,1644186368.4524255,1644186368.4615269,dynamodb,64,120,0,7,600
165,1644186368.4615312,1644186368.4714952,dynamodb,64,120,0,7,600
166,1644186368.4714983,1644186368.480214,dynamodb,64,120,0,7,600
167,1644186368.4802175,1644186368.4955194,dynamodb,64,120,0,7,600
168,1644186368.4955237,1644186368.503484,dynamodb,64,120,0,7,600
169,1644186368.5034873,1644186368.5123854,dynamodb,64,120,0,7,600
170,1644186368.5123885,1644186368.5217497,dynamodb,64,120,0,7,600
171,1644186368.521754,1644186368.5300007,dynamodb,64,120,0,7,600
172,1644186368.530004,1644186368.5427394,dynamodb,64,120,0,7,600
173,1644186368.542743,1644186368.5523477,dynamodb,64,120,0,7,600
