,data,op,storage,size
0,7317,timelock_acquire,dynamodb,64
1,6113,timelock_acquire,dynamodb,64
2,5902,timelock_acquire,dynamodb,64
3,5866,timelock_acquire,dynamodb,64
4,7316,timelock_acquire,dynamodb,64
5,8453,timelock_acquire,dynamodb,64
6,7135,timelock_acquire,dynamodb,64
7,9262,timelock_acquire,dynamodb,64
8,8312,timelock_acquire,dynamodb,64
9,6719,timelock_acquire,dynamodb,64
10,5895,timelock_acquire,dynamodb,64
11,5599,timelock_acquire,dynamodb,64
12,6371,timelock_acquire,dynamodb,64
13,5574,timelock_acquire,dynamodb,64
14,7307,timelock_acquire,dynamodb,64
15,5678,timelock_acquire,dynamodb,64
16,6096,timelock_acquire,dynamodb,64
17,8652,timelock_acquire,dynamodb,64
18,7107,timelock_acquire,dynamodb,64
19,6736,timelock_acquire,dynamodb,64
20,6802,timelock_acquire,dynamodb,64
21,6715,timelock_acquire,dynamodb,64
22,6556,timelock_acquire,dynamodb,64
23,6718,timelock_acquire,dynamodb,64
24,7145,timelock_acquire,dynamodb,64
25,7281,timelock_acquire,dynamodb,64
26,6919,timelock_acquire,dynamodb,64
27,6660,timelock_acquire,dynamodb,64
28,6729,timelock_acquire,dynamodb,64
29,5672,timelock_acquire,dynamodb,64
30,6520,timelock_acquire,dynamodb,64
31,5608,timelock_acquire,dynamodb,64
32,6182,timelock_acquire,dynamodb,64
33,6739,timelock_acquire,dynamodb,64
34,6925,timelock_acquire,dynamodb,64
35,7979,timelock_acquire,dynamodb,64
36,7080,timelock_acquire,dynamodb,64
37,7332,timelock_acquire,dynamodb,64
38,7535,timelock_acquire,dynamodb,64
39,6716,timelock_acquire,dynamodb,64
40,8827,timelock_acquire,dynamodb,64
41,7694,timelock_acquire,dynamodb,64
42,7469,timelock_acquire,dynamodb,64
43,7226,timelock_acquire,dynamodb,64
44,8684,timelock_acquire,dynamodb,64
45,6338,timelock_acquire,dynamodb,64
46,6188,timelock_acquire,dynamodb,64
47,6049,timelock_acquire,dynamodb,64
48,6077,timelock_acquire,dynamodb,64
49,6295,timelock_acquire,dynamodb,64
50,7096,timelock_acquire,dynamodb,64
51,6764,timelock_acquire,dynamodb,64
52,5872,timelock_acquire,dynamodb,64
53,6302,timelock_acquire,dynamodb,64
54,7090,timelock_acquire,dynamodb,64
55,6748,timelock_acquire,dynamodb,64
56,7616,timelock_acquire,dynamodb,64
57,8367,timelock_acquire,dynamodb,64
58,8021,timelock_acquire,dynamodb,64
59,7454,timelock_acquire,dynamodb,64
60,7201,timelock_acquire,dynamodb,64
61,5891,timelock_acquire,dynamodb,64
62,6984,timelock_acquire,dynamodb,64
63,6655,timelock_acquire,dynamodb,64
64,7400,timelock_acquire,dynamodb,64
65,5617,timelock_acquire,dynamodb,64
66,6680,timelock_acquire,dynamodb,64
67,5841,timelock_acquire,dynamodb,64
68,6288,timelock_acquire,dynamodb,64
69,6206,timelock_acquire,dynamodb,64
70,9757,timelock_acquire,dynamodb,64
71,6003,timelock_acquire,dynamodb,64
72,7774,timelock_acquire,dynamodb,64
73,6779,timelock_acquire,dynamodb,64
74,6082,timelock_acquire,dynamodb,64
75,6297,timelock_acquire,dynamodb,64
76,19531,timelock_acquire,dynamodb,64
77,8022,timelock_acquire,dynamodb,64
78,9723,timelock_acquire,dynamodb,64
79,6101,timelock_acquire,dynamodb,64
80,7627,timelock_acquire,dynamodb,64
81,6671,timelock_acquire,dynamodb,64
82,5719,timelock_acquire,dynamodb,64
83,6249,timelock_acquire,dynamodb,64
84,6008,timelock_acquire,dynamodb,64
85,7749,timelock_acquire,dynamodb,64
86,5886,timelock_acquire,dynamodb,64
87,6540,timelock_acquire,dynamodb,64
88,6383,timelock_acquire,dynamodb,64
89,6897,timelock_acquire,dynamodb,64
90,10373,timelock_acquire,dynamodb,64
91,5804,timelock_acquire,dynamodb,64
92,6172,timelock_acquire,dynamodb,64
93,7182,timelock_acquire,dynamodb,64
94,6948,timelock_acquire,dynamodb,64
95,7248,timelock_acquire,dynamodb,64
96,5992,timelock_acquire,dynamodb,64
97,6344,timelock_acquire,dynamodb,64
98,5921,timelock_acquire,dynamodb,64
99,8014,timelock_acquire,dynamodb,64
100,7487,timelock_acquire,dynamodb,64
101,11191,timelock_acquire,dynamodb,64
102,6856,timelock_acquire,dynamodb,64
103,6722,timelock_acquire,dynamodb,64
104,6919,timelock_acquire,dynamodb,64
105,8408,timelock_acquire,dynamodb,64
106,7148,timelock_acquire,dynamodb,64
107,6259,timelock_acquire,dynamodb,64
108,6078,timelock_acquire,dynamodb,64
109,6774,timelock_acquire,dynamodb,64
110,6612,timelock_acquire,dynamodb,64
111,7317,timelock_acquire,dynamodb,64
112,7308,timelock_acquire,dynamodb,64
113,7255,timelock_acquire,dynamodb,64
114,6458,timelock_acquire,dynamodb,64
115,6812,timelock_acquire,dynamodb,64
116,5750,timelock_acquire,dynamodb,64
117,6388,timelock_acquire,dynamodb,64
118,6363,timelock_acquire,dynamodb,64
119,5816,timelock_acquire,dynamodb,64
120,7977,timelock_acquire,dynamodb,64
121,7821,timelock_acquire,dynamodb,64
122,6223,timelock_acquire,dynamodb,64
123,8404,timelock_acquire,dynamodb,64
124,6393,timelock_acquire,dynamodb,64
125,6847,timelock_acquire,dynamodb,64
126,6954,timelock_acquire,dynamodb,64
127,6044,timelock_acquire,dynamodb,64
128,6654,timelock_acquire,dynamodb,64
129,6965,timelock_acquire,dynamodb,64
130,7193,timelock_acquire,dynamodb,64
131,6470,timelock_acquire,dynamodb,64
132,6106,timelock_acquire,dynamodb,64
133,6171,timelock_acquire,dynamodb,64
134,6673,timelock_acquire,dynamodb,64
135,6419,timelock_acquire,dynamodb,64
136,6653,timelock_acquire,dynamodb,64
137,6679,timelock_acquire,dynamodb,64
