Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "19150"}'
b'{"is_cold": false, "events": 3, "idx": "19151"}'
b'{"is_cold": false, "events": -1, "idx": "19152"}'
b'{"is_cold": false, "events": -1, "idx": "19153"}'
b'{"is_cold": false, "events": 4, "idx": "19154"}'
b'{"is_cold": false, "events": -1, "idx": "19155"}'
b'{"is_cold": false, "events": -1, "idx": "19156"}'
b'{"is_cold": false, "events": -1, "idx": "19157"}'
b'{"is_cold": false, "events": 3, "idx": "19158"}'
b'{"is_cold": false, "events": -1, "idx": "19159"}'
b'{"is_cold": false, "events": -1, "idx": "19160"}'
b'{"is_cold": false, "events": 5, "idx": "19161"}'
b'{"is_cold": false, "events": -1, "idx": "19162"}'
b'{"is_cold": false, "events": -1, "idx": "19163"}'
b'{"is_cold": false, "events": -1, "idx": "19164"}'
b'{"is_cold": false, "events": -1, "idx": "19165"}'
b'{"is_cold": false, "events": 3, "idx": "19166"}'
b'{"is_cold": false, "events": -1, "idx": "19167"}'
b'{"is_cold": false, "events": -1, "idx": "19168"}'
b'{"is_cold": false, "events": 3, "idx": "19169"}'
b'{"is_cold": false, "events": -1, "idx": "19170"}'
b'{"is_cold": false, "events": -1, "idx": "19171"}'
b'{"is_cold": false, "events": 4, "idx": "19172"}'
b'{"is_cold": false, "events": -1, "idx": "19173"}'
b'{"is_cold": false, "events": -1, "idx": "19174"}'
b'{"is_cold": false, "events": -1, "idx": "19175"}'
b'{"is_cold": false, "events": 2, "idx": "19176"}'
b'{"is_cold": false, "events": -1, "idx": "19177"}'
b'{"is_cold": false, "events": 3, "idx": "19178"}'
b'{"is_cold": false, "events": -1, "idx": "19179"}'
b'{"is_cold": false, "events": -1, "idx": "19180"}'
b'{"is_cold": false, "events": 3, "idx": "19181"}'
b'{"is_cold": false, "events": -1, "idx": "19182"}'
b'{"is_cold": false, "events": -1, "idx": "19183"}'
b'{"is_cold": false, "events": 3, "idx": "19184"}'
b'{"is_cold": false, "events": -1, "idx": "19185"}'
b'{"is_cold": false, "events": -1, "idx": "19186"}'
b'{"is_cold": false, "events": 10, "idx": "19187"}'
b'{"is_cold": false, "events": -1, "idx": "19188"}'
b'{"is_cold": false, "events": -1, "idx": "19189"}'
b'{"is_cold": false, "events": -1, "idx": "19190"}'
b'{"is_cold": false, "events": -1, "idx": "19191"}'
b'{"is_cold": false, "events": -1, "idx": "19192"}'
b'{"is_cold": false, "events": -1, "idx": "19193"}'
b'{"is_cold": false, "events": -1, "idx": "19194"}'
b'{"is_cold": false, "events": -1, "idx": "19195"}'
b'{"is_cold": false, "events": -1, "idx": "19196"}'
b'{"is_cold": false, "events": 8, "idx": "19197"}'
b'{"is_cold": false, "events": -1, "idx": "19198"}'
b'{"is_cold": false, "events": -1, "idx": "19199"}'
b'{"is_cold": false, "events": -1, "idx": "19200"}'
b'{"is_cold": false, "events": -1, "idx": "19201"}'
b'{"is_cold": false, "events": -1, "idx": "19202"}'
b'{"is_cold": false, "events": -1, "idx": "19203"}'
b'{"is_cold": false, "events": -1, "idx": "19204"}'
b'{"is_cold": false, "events": 4, "idx": "19205"}'
