Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "7500"}'
b'{"is_cold": false, "events": 1, "idx": "7501"}'
b'{"is_cold": false, "events": 3, "idx": "7502"}'
b'{"is_cold": false, "events": -1, "idx": "7503"}'
b'{"is_cold": false, "events": -1, "idx": "7504"}'
b'{"is_cold": false, "events": 4, "idx": "7505"}'
b'{"is_cold": false, "events": -1, "idx": "7506"}'
b'{"is_cold": false, "events": -1, "idx": "7507"}'
b'{"is_cold": false, "events": -1, "idx": "7508"}'
b'{"is_cold": false, "events": 3, "idx": "7509"}'
b'{"is_cold": false, "events": -1, "idx": "7510"}'
b'{"is_cold": false, "events": -1, "idx": "7511"}'
b'{"is_cold": false, "events": 3, "idx": "7512"}'
b'{"is_cold": false, "events": -1, "idx": "7514"}'
b'{"is_cold": false, "events": -1, "idx": "7513"}'
b'{"is_cold": false, "events": 4, "idx": "7515"}'
b'{"is_cold": false, "events": -1, "idx": "7516"}'
b'{"is_cold": false, "events": -1, "idx": "7517"}'
b'{"is_cold": false, "events": -1, "idx": "7518"}'
b'{"is_cold": false, "events": 4, "idx": "7519"}'
b'{"is_cold": false, "events": -1, "idx": "7520"}'
b'{"is_cold": false, "events": -1, "idx": "7521"}'
b'{"is_cold": false, "events": -1, "idx": "7522"}'
b'{"is_cold": false, "events": 3, "idx": "7523"}'
b'{"is_cold": false, "events": -1, "idx": "7524"}'
b'{"is_cold": false, "events": -1, "idx": "7525"}'
b'{"is_cold": false, "events": 3, "idx": "7526"}'
b'{"is_cold": false, "events": -1, "idx": "7527"}'
b'{"is_cold": false, "events": -1, "idx": "7528"}'
b'{"is_cold": false, "events": 3, "idx": "7529"}'
b'{"is_cold": false, "events": -1, "idx": "7530"}'
b'{"is_cold": false, "events": -1, "idx": "7531"}'
b'{"is_cold": false, "events": 3, "idx": "7532"}'
b'{"is_cold": false, "events": -1, "idx": "7533"}'
b'{"is_cold": false, "events": -1, "idx": "7534"}'
b'{"is_cold": false, "events": 4, "idx": "7535"}'
b'{"is_cold": false, "events": -1, "idx": "7536"}'
b'{"is_cold": false, "events": -1, "idx": "7537"}'
b'{"is_cold": false, "events": -1, "idx": "7538"}'
b'{"is_cold": false, "events": 5, "idx": "7539"}'
b'{"is_cold": false, "events": -1, "idx": "7540"}'
b'{"is_cold": false, "events": -1, "idx": "7541"}'
b'{"is_cold": false, "events": -1, "idx": "7542"}'
b'{"is_cold": false, "events": -1, "idx": "7543"}'
b'{"is_cold": false, "events": 5, "idx": "7544"}'
b'{"is_cold": false, "events": -1, "idx": "7545"}'
b'{"is_cold": false, "events": -1, "idx": "7546"}'
b'{"is_cold": false, "events": -1, "idx": "7547"}'
b'{"is_cold": false, "events": -1, "idx": "7548"}'
b'{"is_cold": false, "events": 2, "idx": "7549"}'
b'{"is_cold": false, "events": -1, "idx": "7550"}'
b'{"is_cold": false, "events": 1, "idx": "7551"}'
b'{"is_cold": false, "events": 3, "idx": "7552"}'
b'{"is_cold": false, "events": -1, "idx": "7553"}'
b'{"is_cold": false, "events": -1, "idx": "7554"}'
b'{"is_cold": false, "events": 4, "idx": "7555"}'
b'{"is_cold": false, "events": -1, "idx": "7556"}'
b'{"is_cold": false, "events": -1, "idx": "7557"}'
b'{"is_cold": false, "events": -1, "idx": "7558"}'
b'{"is_cold": false, "events": 3, "idx": "7559"}'
b'{"is_cold": false, "events": -1, "idx": "7560"}'
b'{"is_cold": false, "events": -1, "idx": "7561"}'
b'{"is_cold": false, "events": 4, "idx": "7562"}'
b'{"is_cold": false, "events": -1, "idx": "7563"}'
b'{"is_cold": false, "events": -1, "idx": "7564"}'
b'{"is_cold": false, "events": -1, "idx": "7565"}'
b'{"is_cold": false, "events": -1, "idx": "7567"}'
b'{"is_cold": false, "events": 3, "idx": "7566"}'
b'{"is_cold": false, "events": -1, "idx": "7568"}'
b'{"is_cold": false, "events": 3, "idx": "7569"}'
b'{"is_cold": false, "events": -1, "idx": "7570"}'
b'{"is_cold": false, "events": -1, "idx": "7571"}'
b'{"is_cold": false, "events": 3, "idx": "7572"}'
b'{"is_cold": false, "events": -1, "idx": "7573"}'
b'{"is_cold": false, "events": -1, "idx": "7574"}'
b'{"is_cold": false, "events": 3, "idx": "7575"}'
b'{"is_cold": false, "events": -1, "idx": "7576"}'
b'{"is_cold": false, "events": -1, "idx": "7577"}'
b'{"is_cold": false, "events": 1, "idx": "7578"}'
b'{"is_cold": false, "events": 1, "idx": "7579"}'
b'{"is_cold": false, "events": 2, "idx": "7580"}'
b'{"is_cold": false, "events": -1, "idx": "7581"}'
b'{"is_cold": false, "events": 4, "idx": "7582"}'
b'{"is_cold": false, "events": -1, "idx": "7583"}'
b'{"is_cold": false, "events": -1, "idx": "7584"}'
b'{"is_cold": false, "events": -1, "idx": "7585"}'
b'{"is_cold": false, "events": 4, "idx": "7586"}'
b'{"is_cold": false, "events": -1, "idx": "7587"}'
b'{"is_cold": false, "events": -1, "idx": "7588"}'
b'{"is_cold": false, "events": -1, "idx": "7589"}'
b'{"is_cold": false, "events": 5, "idx": "7590"}'
b'{"is_cold": false, "events": -1, "idx": "7591"}'
b'{"is_cold": false, "events": -1, "idx": "7592"}'
b'{"is_cold": false, "events": -1, "idx": "7593"}'
b'{"is_cold": false, "events": -1, "idx": "7594"}'
b'{"is_cold": false, "events": 5, "idx": "7595"}'
b'{"is_cold": false, "events": -1, "idx": "7596"}'
b'{"is_cold": false, "events": -1, "idx": "7598"}'
b'{"is_cold": false, "events": -1, "idx": "7597"}'
b'{"is_cold": false, "events": -1, "idx": "7599"}'
b'{"is_cold": false, "events": 4, "idx": "7600"}'
b'{"is_cold": false, "events": -1, "idx": "7601"}'
b'{"is_cold": false, "events": -1, "idx": "7602"}'
b'{"is_cold": false, "events": -1, "idx": "7603"}'
b'{"is_cold": false, "events": 4, "idx": "7604"}'
b'{"is_cold": false, "events": -1, "idx": "7605"}'
b'{"is_cold": false, "events": -1, "idx": "7606"}'
b'{"is_cold": false, "events": -1, "idx": "7607"}'
b'{"is_cold": false, "events": 3, "idx": "7608"}'
b'{"is_cold": false, "events": -1, "idx": "7609"}'
b'{"is_cold": false, "events": -1, "idx": "7610"}'
b'{"is_cold": false, "events": 4, "idx": "7611"}'
b'{"is_cold": false, "events": -1, "idx": "7612"}'
b'{"is_cold": false, "events": -1, "idx": "7613"}'
b'{"is_cold": false, "events": -1, "idx": "7614"}'
b'{"is_cold": false, "events": 5, "idx": "7615"}'
b'{"is_cold": false, "events": -1, "idx": "7616"}'
b'{"is_cold": false, "events": -1, "idx": "7617"}'
b'{"is_cold": false, "events": -1, "idx": "7618"}'
b'{"is_cold": false, "events": -1, "idx": "7619"}'
b'{"is_cold": false, "events": 5, "idx": "7620"}'
b'{"is_cold": false, "events": -1, "idx": "7621"}'
b'{"is_cold": false, "events": -1, "idx": "7622"}'
b'{"is_cold": false, "events": -1, "idx": "7623"}'
b'{"is_cold": false, "events": -1, "idx": "7624"}'
b'{"is_cold": false, "events": 3, "idx": "7625"}'
b'{"is_cold": false, "events": -1, "idx": "7626"}'
b'{"is_cold": false, "events": -1, "idx": "7627"}'
b'{"is_cold": false, "events": 3, "idx": "7628"}'
b'{"is_cold": false, "events": -1, "idx": "7629"}'
b'{"is_cold": false, "events": -1, "idx": "7630"}'
b'{"is_cold": false, "events": 4, "idx": "7631"}'
b'{"is_cold": false, "events": -1, "idx": "7632"}'
b'{"is_cold": false, "events": -1, "idx": "7633"}'
b'{"is_cold": false, "events": -1, "idx": "7634"}'
b'{"is_cold": false, "events": 4, "idx": "7635"}'
b'{"is_cold": false, "events": -1, "idx": "7636"}'
b'{"is_cold": false, "events": -1, "idx": "7637"}'
b'{"is_cold": false, "events": -1, "idx": "7638"}'
b'{"is_cold": false, "events": 3, "idx": "7639"}'
b'{"is_cold": false, "events": -1, "idx": "7640"}'
b'{"is_cold": false, "events": -1, "idx": "7641"}'
b'{"is_cold": false, "events": 4, "idx": "7642"}'
b'{"is_cold": false, "events": -1, "idx": "7643"}'
b'{"is_cold": false, "events": -1, "idx": "7644"}'
b'{"is_cold": false, "events": -1, "idx": "7645"}'
b'{"is_cold": false, "events": 5, "idx": "7646"}'
b'{"is_cold": false, "events": -1, "idx": "7647"}'
b'{"is_cold": false, "events": -1, "idx": "7648"}'
b'{"is_cold": false, "events": -1, "idx": "7649"}'
b'{"is_cold": false, "events": -1, "idx": "7650"}'
b'{"is_cold": false, "events": 1, "idx": "7651"}'
b'{"is_cold": false, "events": 3, "idx": "7652"}'
b'{"is_cold": false, "events": -1, "idx": "7653"}'
b'{"is_cold": false, "events": -1, "idx": "7654"}'
b'{"is_cold": false, "events": 4, "idx": "7655"}'
b'{"is_cold": false, "events": -1, "idx": "7656"}'
b'{"is_cold": false, "events": -1, "idx": "7657"}'
b'{"is_cold": false, "events": -1, "idx": "7658"}'
b'{"is_cold": false, "events": 2, "idx": "7659"}'
b'{"is_cold": false, "events": -1, "idx": "7660"}'
b'{"is_cold": false, "events": 3, "idx": "7661"}'
b'{"is_cold": false, "events": -1, "idx": "7662"}'
b'{"is_cold": false, "events": -1, "idx": "7663"}'
b'{"is_cold": false, "events": 1, "idx": "7664"}'
b'{"is_cold": false, "events": 3, "idx": "7665"}'
b'{"is_cold": false, "events": -1, "idx": "7666"}'
b'{"is_cold": false, "events": -1, "idx": "7667"}'
b'{"is_cold": false, "events": 2, "idx": "7668"}'
b'{"is_cold": false, "events": -1, "idx": "7669"}'
b'{"is_cold": false, "events": 2, "idx": "7670"}'
b'{"is_cold": false, "events": -1, "idx": "7671"}'
b'{"is_cold": false, "events": 1, "idx": "7672"}'
b'{"is_cold": false, "events": 2, "idx": "7673"}'
b'{"is_cold": false, "events": -1, "idx": "7674"}'
b'{"is_cold": false, "events": 3, "idx": "7675"}'
b'{"is_cold": false, "events": -1, "idx": "7676"}'
b'{"is_cold": false, "events": -1, "idx": "7677"}'
b'{"is_cold": false, "events": 2, "idx": "7678"}'
b'{"is_cold": false, "events": -1, "idx": "7679"}'
