Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "3750"}'
b'{"is_cold": false, "events": 2, "idx": "3751"}'
b'{"is_cold": false, "events": -1, "idx": "3752"}'
b'{"is_cold": false, "events": 3, "idx": "3753"}'
b'{"is_cold": false, "events": -1, "idx": "3754"}'
b'{"is_cold": false, "events": -1, "idx": "3755"}'
b'{"is_cold": false, "events": 3, "idx": "3756"}'
b'{"is_cold": false, "events": -1, "idx": "3757"}'
b'{"is_cold": false, "events": -1, "idx": "3758"}'
b'{"is_cold": false, "events": 3, "idx": "3759"}'
b'{"is_cold": false, "events": -1, "idx": "3760"}'
b'{"is_cold": false, "events": -1, "idx": "3761"}'
b'{"is_cold": false, "events": 10, "idx": "3762"}'
b'{"is_cold": false, "events": -1, "idx": "3763"}'
b'{"is_cold": false, "events": -1, "idx": "3764"}'
b'{"is_cold": false, "events": -1, "idx": "3765"}'
b'{"is_cold": false, "events": -1, "idx": "3766"}'
b'{"is_cold": false, "events": -1, "idx": "3767"}'
b'{"is_cold": false, "events": -1, "idx": "3768"}'
b'{"is_cold": false, "events": -1, "idx": "3769"}'
b'{"is_cold": false, "events": -1, "idx": "3770"}'
b'{"is_cold": false, "events": -1, "idx": "3771"}'
b'{"is_cold": false, "events": 7, "idx": "3772"}'
b'{"is_cold": false, "events": -1, "idx": "3773"}'
b'{"is_cold": false, "events": -1, "idx": "3774"}'
b'{"is_cold": false, "events": -1, "idx": "3775"}'
b'{"is_cold": false, "events": -1, "idx": "3776"}'
b'{"is_cold": false, "events": -1, "idx": "3777"}'
b'{"is_cold": false, "events": -1, "idx": "3778"}'
b'{"is_cold": false, "events": 3, "idx": "3779"}'
b'{"is_cold": false, "events": -1, "idx": "3780"}'
b'{"is_cold": false, "events": -1, "idx": "3781"}'
b'{"is_cold": false, "events": 3, "idx": "3782"}'
b'{"is_cold": false, "events": -1, "idx": "3783"}'
b'{"is_cold": false, "events": -1, "idx": "3784"}'
b'{"is_cold": false, "events": 10, "idx": "3785"}'
b'{"is_cold": false, "events": -1, "idx": "3786"}'
b'{"is_cold": false, "events": -1, "idx": "3787"}'
b'{"is_cold": false, "events": -1, "idx": "3788"}'
b'{"is_cold": false, "events": -1, "idx": "3789"}'
b'{"is_cold": false, "events": -1, "idx": "3790"}'
b'{"is_cold": false, "events": -1, "idx": "3791"}'
b'{"is_cold": false, "events": -1, "idx": "3792"}'
b'{"is_cold": false, "events": -1, "idx": "3793"}'
b'{"is_cold": false, "events": -1, "idx": "3794"}'
b'{"is_cold": false, "events": 6, "idx": "3795"}'
b'{"is_cold": false, "events": -1, "idx": "3796"}'
b'{"is_cold": false, "events": -1, "idx": "3797"}'
b'{"is_cold": false, "events": -1, "idx": "3798"}'
b'{"is_cold": false, "events": -1, "idx": "3799"}'
b'{"is_cold": false, "events": -1, "idx": "3800"}'
b'{"is_cold": false, "events": 5, "idx": "3801"}'
b'{"is_cold": false, "events": -1, "idx": "3802"}'
b'{"is_cold": false, "events": -1, "idx": "3803"}'
b'{"is_cold": false, "events": -1, "idx": "3804"}'
b'{"is_cold": false, "events": -1, "idx": "3805"}'
b'{"is_cold": false, "events": 4, "idx": "3806"}'
b'{"is_cold": false, "events": -1, "idx": "3807"}'
b'{"is_cold": false, "events": -1, "idx": "3808"}'
b'{"is_cold": false, "events": -1, "idx": "3809"}'
b'{"is_cold": false, "events": 2, "idx": "3810"}'
b'{"is_cold": false, "events": -1, "idx": "3811"}'
b'{"is_cold": false, "events": 3, "idx": "3812"}'
b'{"is_cold": false, "events": -1, "idx": "3813"}'
b'{"is_cold": false, "events": -1, "idx": "3814"}'
b'{"is_cold": false, "events": 2, "idx": "3815"}'
b'{"is_cold": false, "events": -1, "idx": "3816"}'
b'{"is_cold": false, "events": 2, "idx": "3817"}'
b'{"is_cold": false, "events": -1, "idx": "3818"}'
b'{"is_cold": false, "events": 3, "idx": "3819"}'
b'{"is_cold": false, "events": -1, "idx": "3820"}'
b'{"is_cold": false, "events": -1, "idx": "3821"}'
b'{"is_cold": false, "events": 2, "idx": "3822"}'
b'{"is_cold": false, "events": -1, "idx": "3823"}'
b'{"is_cold": false, "events": 5, "idx": "3824"}'
b'{"is_cold": false, "events": -1, "idx": "3825"}'
b'{"is_cold": false, "events": -1, "idx": "3826"}'
b'{"is_cold": false, "events": -1, "idx": "3827"}'
b'{"is_cold": false, "events": -1, "idx": "3828"}'
b'{"is_cold": false, "events": 1, "idx": "3829"}'
b'{"is_cold": false, "events": 5, "idx": "3830"}'
b'{"is_cold": false, "events": -1, "idx": "3831"}'
b'{"is_cold": false, "events": -1, "idx": "3832"}'
b'{"is_cold": false, "events": -1, "idx": "3833"}'
b'{"is_cold": false, "events": -1, "idx": "3834"}'
b'{"is_cold": false, "events": 3, "idx": "3835"}'
b'{"is_cold": false, "events": -1, "idx": "3836"}'
b'{"is_cold": false, "events": -1, "idx": "3837"}'
b'{"is_cold": false, "events": 2, "idx": "3838"}'
b'{"is_cold": false, "events": -1, "idx": "3839"}'
b'{"is_cold": false, "events": 2, "idx": "3840"}'
b'{"is_cold": false, "events": -1, "idx": "3841"}'
b'{"is_cold": false, "events": 3, "idx": "3842"}'
b'{"is_cold": false, "events": -1, "idx": "3843"}'
b'{"is_cold": false, "events": -1, "idx": "3844"}'
b'{"is_cold": false, "events": 4, "idx": "3845"}'
b'{"is_cold": false, "events": -1, "idx": "3846"}'
b'{"is_cold": false, "events": -1, "idx": "3847"}'
b'{"is_cold": false, "events": -1, "idx": "3848"}'
b'{"is_cold": false, "events": 3, "idx": "3849"}'
b'{"is_cold": false, "events": -1, "idx": "3850"}'
b'{"is_cold": false, "events": -1, "idx": "3851"}'
b'{"is_cold": false, "events": 3, "idx": "3852"}'
b'{"is_cold": false, "events": -1, "idx": "3853"}'
b'{"is_cold": false, "events": -1, "idx": "3854"}'
b'{"is_cold": false, "events": 5, "idx": "3855"}'
b'{"is_cold": false, "events": -1, "idx": "3856"}'
b'{"is_cold": false, "events": -1, "idx": "3857"}'
b'{"is_cold": false, "events": -1, "idx": "3858"}'
b'{"is_cold": false, "events": -1, "idx": "3859"}'
b'{"is_cold": false, "events": 5, "idx": "3860"}'
b'{"is_cold": false, "events": -1, "idx": "3861"}'
b'{"is_cold": false, "events": -1, "idx": "3862"}'
b'{"is_cold": false, "events": -1, "idx": "3863"}'
b'{"is_cold": false, "events": -1, "idx": "3864"}'
b'{"is_cold": false, "events": 2, "idx": "3865"}'
b'{"is_cold": false, "events": -1, "idx": "3866"}'
b'{"is_cold": false, "events": 1, "idx": "3867"}'
b'{"is_cold": false, "events": 3, "idx": "3868"}'
b'{"is_cold": false, "events": -1, "idx": "3869"}'
b'{"is_cold": false, "events": -1, "idx": "3870"}'
b'{"is_cold": false, "events": 1, "idx": "3871"}'
b'{"is_cold": false, "events": 7, "idx": "3872"}'
b'{"is_cold": false, "events": -1, "idx": "3873"}'
b'{"is_cold": false, "events": -1, "idx": "3874"}'
b'{"is_cold": false, "events": -1, "idx": "3875"}'
b'{"is_cold": false, "events": -1, "idx": "3876"}'
b'{"is_cold": false, "events": -1, "idx": "3877"}'
b'{"is_cold": false, "events": -1, "idx": "3878"}'
b'{"is_cold": false, "events": 3, "idx": "3879"}'
b'{"is_cold": false, "events": -1, "idx": "3880"}'
b'{"is_cold": false, "events": -1, "idx": "3881"}'
b'{"is_cold": false, "events": 3, "idx": "3882"}'
b'{"is_cold": false, "events": -1, "idx": "3883"}'
b'{"is_cold": false, "events": -1, "idx": "3884"}'
b'{"is_cold": false, "events": 3, "idx": "3885"}'
b'{"is_cold": false, "events": -1, "idx": "3886"}'
b'{"is_cold": false, "events": -1, "idx": "3887"}'
b'{"is_cold": false, "events": 5, "idx": "3888"}'
b'{"is_cold": false, "events": -1, "idx": "3889"}'
b'{"is_cold": false, "events": -1, "idx": "3890"}'
b'{"is_cold": false, "events": -1, "idx": "3891"}'
b'{"is_cold": false, "events": -1, "idx": "3892"}'
b'{"is_cold": false, "events": 6, "idx": "3893"}'
b'{"is_cold": false, "events": -1, "idx": "3894"}'
b'{"is_cold": false, "events": -1, "idx": "3895"}'
b'{"is_cold": false, "events": -1, "idx": "3896"}'
b'{"is_cold": false, "events": -1, "idx": "3897"}'
b'{"is_cold": false, "events": -1, "idx": "3898"}'
b'{"is_cold": false, "events": 6, "idx": "3899"}'
b'{"is_cold": false, "events": -1, "idx": "3900"}'
b'{"is_cold": false, "events": -1, "idx": "3901"}'
b'{"is_cold": false, "events": -1, "idx": "3902"}'
b'{"is_cold": false, "events": -1, "idx": "3903"}'
b'{"is_cold": false, "events": -1, "idx": "3904"}'
b'{"is_cold": false, "events": 4, "idx": "3905"}'
b'{"is_cold": false, "events": -1, "idx": "3906"}'
b'{"is_cold": false, "events": -1, "idx": "3907"}'
b'{"is_cold": false, "events": -1, "idx": "3908"}'
b'{"is_cold": false, "events": 2, "idx": "3909"}'
b'{"is_cold": false, "events": -1, "idx": "3910"}'
b'{"is_cold": false, "events": 5, "idx": "3911"}'
b'{"is_cold": false, "events": -1, "idx": "3912"}'
b'{"is_cold": false, "events": -1, "idx": "3913"}'
b'{"is_cold": false, "events": -1, "idx": "3914"}'
b'{"is_cold": false, "events": -1, "idx": "3915"}'
b'{"is_cold": false, "events": 5, "idx": "3916"}'
b'{"is_cold": false, "events": -1, "idx": "3917"}'
b'{"is_cold": false, "events": -1, "idx": "3918"}'
b'{"is_cold": false, "events": -1, "idx": "3919"}'
b'{"is_cold": false, "events": -1, "idx": "3920"}'
b'{"is_cold": false, "events": 6, "idx": "3921"}'
b'{"is_cold": false, "events": -1, "idx": "3922"}'
b'{"is_cold": false, "events": -1, "idx": "3923"}'
b'{"is_cold": false, "events": -1, "idx": "3924"}'
b'{"is_cold": false, "events": -1, "idx": "3925"}'
b'{"is_cold": false, "events": -1, "idx": "3926"}'
b'{"is_cold": false, "events": 10, "idx": "3927"}'
b'{"is_cold": false, "events": -1, "idx": "3928"}'
b'{"is_cold": false, "events": -1, "idx": "3929"}'
b'{"is_cold": false, "events": -1, "idx": "3930"}'
b'{"is_cold": false, "events": -1, "idx": "3931"}'
b'{"is_cold": false, "events": -1, "idx": "3932"}'
b'{"is_cold": false, "events": -1, "idx": "3933"}'
b'{"is_cold": false, "events": -1, "idx": "3934"}'
b'{"is_cold": false, "events": -1, "idx": "3935"}'
b'{"is_cold": false, "events": -1, "idx": "3936"}'
b'{"is_cold": false, "events": 9, "idx": "3937"}'
b'{"is_cold": false, "events": -1, "idx": "3938"}'
b'{"is_cold": false, "events": -1, "idx": "3939"}'
b'{"is_cold": false, "events": -1, "idx": "3940"}'
b'{"is_cold": false, "events": -1, "idx": "3941"}'
b'{"is_cold": false, "events": -1, "idx": "3942"}'
b'{"is_cold": false, "events": -1, "idx": "3943"}'
b'{"is_cold": false, "events": -1, "idx": "3944"}'
b'{"is_cold": false, "events": -1, "idx": "3945"}'
b'{"is_cold": false, "events": 10, "idx": "3946"}'
b'{"is_cold": false, "events": -1, "idx": "3947"}'
b'{"is_cold": false, "events": -1, "idx": "3948"}'
b'{"is_cold": false, "events": -1, "idx": "3949"}'
b'{"is_cold": false, "events": -1, "idx": "3950"}'
b'{"is_cold": false, "events": -1, "idx": "3951"}'
b'{"is_cold": false, "events": -1, "idx": "3952"}'
b'{"is_cold": false, "events": -1, "idx": "3953"}'
b'{"is_cold": false, "events": -1, "idx": "3954"}'
b'{"is_cold": false, "events": -1, "idx": "3955"}'
b'{"is_cold": false, "events": 3, "idx": "3956"}'
b'{"is_cold": false, "events": -1, "idx": "3957"}'
b'{"is_cold": false, "events": -1, "idx": "3958"}'
b'{"is_cold": false, "events": 1, "idx": "3959"}'
b'{"is_cold": false, "events": 3, "idx": "3960"}'
b'{"is_cold": false, "events": -1, "idx": "3961"}'
b'{"is_cold": false, "events": -1, "idx": "3962"}'
b'{"is_cold": false, "events": 2, "idx": "3963"}'
b'{"is_cold": false, "events": -1, "idx": "3964"}'
b'{"is_cold": false, "events": 4, "idx": "3965"}'
b'{"is_cold": false, "events": -1, "idx": "3966"}'
b'{"is_cold": false, "events": -1, "idx": "3967"}'
b'{"is_cold": false, "events": -1, "idx": "3968"}'
b'{"is_cold": false, "events": 5, "idx": "3969"}'
b'{"is_cold": false, "events": -1, "idx": "3970"}'
b'{"is_cold": false, "events": -1, "idx": "3971"}'
b'{"is_cold": false, "events": -1, "idx": "3972"}'
b'{"is_cold": false, "events": -1, "idx": "3973"}'
b'{"is_cold": false, "events": 4, "idx": "3974"}'
b'{"is_cold": false, "events": -1, "idx": "3975"}'
b'{"is_cold": false, "events": -1, "idx": "3976"}'
b'{"is_cold": false, "events": -1, "idx": "3977"}'
b'{"is_cold": false, "events": 3, "idx": "3978"}'
b'{"is_cold": false, "events": -1, "idx": "3979"}'
b'{"is_cold": false, "events": -1, "idx": "3980"}'
b'{"is_cold": false, "events": 3, "idx": "3981"}'
b'{"is_cold": false, "events": -1, "idx": "3982"}'
b'{"is_cold": false, "events": -1, "idx": "3983"}'
b'{"is_cold": false, "events": 4, "idx": "3984"}'
b'{"is_cold": false, "events": -1, "idx": "3985"}'
b'{"is_cold": false, "events": -1, "idx": "3986"}'
b'{"is_cold": false, "events": -1, "idx": "3987"}'
b'{"is_cold": false, "events": 3, "idx": "3988"}'
b'{"is_cold": false, "events": -1, "idx": "3989"}'
b'{"is_cold": false, "events": -1, "idx": "3990"}'
b'{"is_cold": false, "events": 4, "idx": "3991"}'
b'{"is_cold": false, "events": -1, "idx": "3992"}'
b'{"is_cold": false, "events": -1, "idx": "3993"}'
b'{"is_cold": false, "events": -1, "idx": "3994"}'
b'{"is_cold": false, "events": 4, "idx": "3995"}'
b'{"is_cold": false, "events": -1, "idx": "3996"}'
b'{"is_cold": false, "events": -1, "idx": "3997"}'
b'{"is_cold": false, "events": -1, "idx": "3998"}'
b'{"is_cold": false, "events": 3, "idx": "3999"}'
b'{"is_cold": false, "events": -1, "idx": "4000"}'
b'{"is_cold": false, "events": -1, "idx": "4001"}'
b'{"is_cold": false, "events": 3, "idx": "4002"}'
b'{"is_cold": false, "events": -1, "idx": "4003"}'
b'{"is_cold": false, "events": -1, "idx": "4004"}'
b'{"is_cold": false, "events": 3, "idx": "4005"}'
b'{"is_cold": false, "events": -1, "idx": "4006"}'
b'{"is_cold": false, "events": -1, "idx": "4007"}'
b'{"is_cold": false, "events": 3, "idx": "4008"}'
b'{"is_cold": false, "events": -1, "idx": "4009"}'
b'{"is_cold": false, "events": -1, "idx": "4010"}'
b'{"is_cold": false, "events": 1, "idx": "4011"}'
b'{"is_cold": false, "events": 5, "idx": "4012"}'
b'{"is_cold": false, "events": -1, "idx": "4013"}'
b'{"is_cold": false, "events": -1, "idx": "4014"}'
b'{"is_cold": false, "events": -1, "idx": "4015"}'
b'{"is_cold": false, "events": -1, "idx": "4016"}'
b'{"is_cold": false, "events": 2, "idx": "4017"}'
b'{"is_cold": false, "events": -1, "idx": "4018"}'
b'{"is_cold": false, "events": 3, "idx": "4019"}'
b'{"is_cold": false, "events": -1, "idx": "4020"}'
b'{"is_cold": false, "events": -1, "idx": "4021"}'
b'{"is_cold": false, "events": 4, "idx": "4022"}'
b'{"is_cold": false, "events": -1, "idx": "4023"}'
b'{"is_cold": false, "events": -1, "idx": "4024"}'
b'{"is_cold": false, "events": -1, "idx": "4025"}'
b'{"is_cold": false, "events": 5, "idx": "4026"}'
b'{"is_cold": false, "events": -1, "idx": "4027"}'
b'{"is_cold": false, "events": -1, "idx": "4028"}'
b'{"is_cold": false, "events": -1, "idx": "4029"}'
b'{"is_cold": false, "events": -1, "idx": "4030"}'
b'{"is_cold": false, "events": 5, "idx": "4031"}'
b'{"is_cold": false, "events": -1, "idx": "4032"}'
b'{"is_cold": false, "events": -1, "idx": "4033"}'
b'{"is_cold": false, "events": -1, "idx": "4034"}'
b'{"is_cold": false, "events": -1, "idx": "4035"}'
b'{"is_cold": false, "events": 3, "idx": "4036"}'
b'{"is_cold": false, "events": -1, "idx": "4037"}'
b'{"is_cold": false, "events": -1, "idx": "4038"}'
b'{"is_cold": false, "events": 4, "idx": "4039"}'
b'{"is_cold": false, "events": -1, "idx": "4040"}'
b'{"is_cold": false, "events": -1, "idx": "4041"}'
b'{"is_cold": false, "events": -1, "idx": "4042"}'
b'{"is_cold": false, "events": 6, "idx": "4043"}'
b'{"is_cold": false, "events": -1, "idx": "4044"}'
b'{"is_cold": false, "events": -1, "idx": "4045"}'
b'{"is_cold": false, "events": -1, "idx": "4046"}'
b'{"is_cold": false, "events": -1, "idx": "4048"}'
b'{"is_cold": false, "events": -1, "idx": "4047"}'
b'{"is_cold": false, "events": 7, "idx": "4049"}'
b'{"is_cold": false, "events": -1, "idx": "4050"}'
b'{"is_cold": false, "events": -1, "idx": "4051"}'
b'{"is_cold": false, "events": -1, "idx": "4052"}'
b'{"is_cold": false, "events": -1, "idx": "4053"}'
b'{"is_cold": false, "events": -1, "idx": "4054"}'
b'{"is_cold": false, "events": -1, "idx": "4055"}'
b'{"is_cold": false, "events": 3, "idx": "4056"}'
b'{"is_cold": false, "events": -1, "idx": "4057"}'
b'{"is_cold": false, "events": -1, "idx": "4058"}'
b'{"is_cold": false, "events": 2, "idx": "4059"}'
b'{"is_cold": false, "events": -1, "idx": "4060"}'
b'{"is_cold": false, "events": 3, "idx": "4061"}'
b'{"is_cold": false, "events": -1, "idx": "4062"}'
b'{"is_cold": false, "events": -1, "idx": "4063"}'
b'{"is_cold": false, "events": 3, "idx": "4064"}'
b'{"is_cold": false, "events": -1, "idx": "4065"}'
b'{"is_cold": false, "events": -1, "idx": "4066"}'
b'{"is_cold": false, "events": 2, "idx": "4067"}'
b'{"is_cold": false, "events": -1, "idx": "4068"}'
b'{"is_cold": false, "events": 2, "idx": "4069"}'
b'{"is_cold": false, "events": -1, "idx": "4070"}'
b'{"is_cold": false, "events": 1, "idx": "4071"}'
b'{"is_cold": false, "events": 1, "idx": "4072"}'
b'{"is_cold": false, "events": 4, "idx": "4073"}'
b'{"is_cold": false, "events": -1, "idx": "4074"}'
b'{"is_cold": false, "events": -1, "idx": "4075"}'
b'{"is_cold": false, "events": -1, "idx": "4076"}'
b'{"is_cold": false, "events": 4, "idx": "4077"}'
b'{"is_cold": false, "events": -1, "idx": "4078"}'
b'{"is_cold": false, "events": -1, "idx": "4079"}'
b'{"is_cold": false, "events": -1, "idx": "4080"}'
b'{"is_cold": false, "events": 2, "idx": "4081"}'
b'{"is_cold": false, "events": -1, "idx": "4082"}'
b'{"is_cold": false, "events": 4, "idx": "4083"}'
b'{"is_cold": false, "events": -1, "idx": "4084"}'
b'{"is_cold": false, "events": -1, "idx": "4085"}'
b'{"is_cold": false, "events": -1, "idx": "4086"}'
b'{"is_cold": false, "events": 4, "idx": "4087"}'
