Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "39850"}'
b'{"is_cold": false, "events": 4, "idx": "39851"}'
b'{"is_cold": false, "events": -1, "idx": "39852"}'
b'{"is_cold": false, "events": -1, "idx": "39853"}'
b'{"is_cold": false, "events": -1, "idx": "39854"}'
b'{"is_cold": false, "events": 5, "idx": "39855"}'
b'{"is_cold": false, "events": -1, "idx": "39856"}'
b'{"is_cold": false, "events": -1, "idx": "39857"}'
b'{"is_cold": false, "events": -1, "idx": "39858"}'
b'{"is_cold": false, "events": -1, "idx": "39859"}'
b'{"is_cold": false, "events": 4, "idx": "39860"}'
b'{"is_cold": false, "events": -1, "idx": "39861"}'
b'{"is_cold": false, "events": -1, "idx": "39862"}'
b'{"is_cold": false, "events": -1, "idx": "39863"}'
b'{"is_cold": false, "events": 6, "idx": "39864"}'
b'{"is_cold": false, "events": -1, "idx": "39865"}'
b'{"is_cold": false, "events": -1, "idx": "39866"}'
b'{"is_cold": false, "events": -1, "idx": "39867"}'
b'{"is_cold": false, "events": -1, "idx": "39868"}'
b'{"is_cold": false, "events": -1, "idx": "39869"}'
b'{"is_cold": false, "events": 3, "idx": "39870"}'
b'{"is_cold": false, "events": -1, "idx": "39871"}'
b'{"is_cold": false, "events": -1, "idx": "39872"}'
b'{"is_cold": false, "events": 4, "idx": "39873"}'
b'{"is_cold": false, "events": -1, "idx": "39874"}'
b'{"is_cold": false, "events": -1, "idx": "39875"}'
b'{"is_cold": false, "events": -1, "idx": "39876"}'
b'{"is_cold": false, "events": 8, "idx": "39877"}'
b'{"is_cold": false, "events": -1, "idx": "39878"}'
b'{"is_cold": false, "events": -1, "idx": "39879"}'
b'{"is_cold": false, "events": -1, "idx": "39880"}'
b'{"is_cold": false, "events": -1, "idx": "39881"}'
b'{"is_cold": false, "events": -1, "idx": "39882"}'
b'{"is_cold": false, "events": -1, "idx": "39883"}'
b'{"is_cold": false, "events": -1, "idx": "39884"}'
b'{"is_cold": false, "events": 5, "idx": "39885"}'
b'{"is_cold": false, "events": -1, "idx": "39886"}'
b'{"is_cold": false, "events": -1, "idx": "39887"}'
b'{"is_cold": false, "events": -1, "idx": "39888"}'
b'{"is_cold": false, "events": -1, "idx": "39889"}'
b'{"is_cold": false, "events": 5, "idx": "39890"}'
b'{"is_cold": false, "events": -1, "idx": "39891"}'
b'{"is_cold": false, "events": -1, "idx": "39892"}'
b'{"is_cold": false, "events": -1, "idx": "39893"}'
b'{"is_cold": false, "events": -1, "idx": "39894"}'
b'{"is_cold": false, "events": 5, "idx": "39895"}'
b'{"is_cold": false, "events": -1, "idx": "39896"}'
b'{"is_cold": false, "events": -1, "idx": "39897"}'
b'{"is_cold": false, "events": -1, "idx": "39898"}'
b'{"is_cold": false, "events": -1, "idx": "39899"}'
b'{"is_cold": false, "events": 4, "idx": "39900"}'
b'{"is_cold": false, "events": -1, "idx": "39901"}'
