Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "35900"}'
b'{"is_cold": false, "events": 3, "idx": "35901"}'
b'{"is_cold": false, "events": -1, "idx": "35902"}'
b'{"is_cold": false, "events": -1, "idx": "35903"}'
b'{"is_cold": false, "events": 4, "idx": "35904"}'
b'{"is_cold": false, "events": -1, "idx": "35905"}'
b'{"is_cold": false, "events": -1, "idx": "35906"}'
b'{"is_cold": false, "events": -1, "idx": "35907"}'
b'{"is_cold": false, "events": 2, "idx": "35908"}'
b'{"is_cold": false, "events": -1, "idx": "35909"}'
b'{"is_cold": false, "events": 4, "idx": "35910"}'
b'{"is_cold": false, "events": -1, "idx": "35911"}'
b'{"is_cold": false, "events": -1, "idx": "35912"}'
b'{"is_cold": false, "events": -1, "idx": "35913"}'
b'{"is_cold": false, "events": 4, "idx": "35914"}'
b'{"is_cold": false, "events": -1, "idx": "35915"}'
b'{"is_cold": false, "events": -1, "idx": "35916"}'
b'{"is_cold": false, "events": -1, "idx": "35917"}'
b'{"is_cold": false, "events": 3, "idx": "35918"}'
b'{"is_cold": false, "events": -1, "idx": "35919"}'
b'{"is_cold": false, "events": -1, "idx": "35920"}'
b'{"is_cold": false, "events": 4, "idx": "35921"}'
b'{"is_cold": false, "events": -1, "idx": "35922"}'
b'{"is_cold": false, "events": -1, "idx": "35923"}'
b'{"is_cold": false, "events": -1, "idx": "35924"}'
b'{"is_cold": false, "events": 4, "idx": "35925"}'
b'{"is_cold": false, "events": -1, "idx": "35926"}'
b'{"is_cold": false, "events": -1, "idx": "35927"}'
b'{"is_cold": false, "events": -1, "idx": "35928"}'
b'{"is_cold": false, "events": 7, "idx": "35929"}'
b'{"is_cold": false, "events": -1, "idx": "35930"}'
b'{"is_cold": false, "events": -1, "idx": "35931"}'
b'{"is_cold": false, "events": -1, "idx": "35932"}'
b'{"is_cold": false, "events": -1, "idx": "35933"}'
b'{"is_cold": false, "events": -1, "idx": "35934"}'
