Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "600"}'
b'{"is_cold": false, "events": 1, "idx": "601"}'
b'{"is_cold": false, "events": 1, "idx": "602"}'
b'{"is_cold": false, "events": 2, "idx": "603"}'
b'{"is_cold": false, "events": -1, "idx": "604"}'
b'{"is_cold": false, "events": 1, "idx": "605"}'
b'{"is_cold": false, "events": 1, "idx": "606"}'
b'{"is_cold": false, "events": 1, "idx": "607"}'
b'{"is_cold": false, "events": 3, "idx": "608"}'
b'{"is_cold": false, "events": -1, "idx": "609"}'
b'{"is_cold": false, "events": -1, "idx": "610"}'
b'{"is_cold": false, "events": 1, "idx": "611"}'
b'{"is_cold": false, "events": 1, "idx": "612"}'
b'{"is_cold": false, "events": 2, "idx": "613"}'
b'{"is_cold": false, "events": -1, "idx": "614"}'
b'{"is_cold": false, "events": 3, "idx": "615"}'
b'{"is_cold": false, "events": -1, "idx": "616"}'
b'{"is_cold": false, "events": -1, "idx": "617"}'
b'{"is_cold": false, "events": 10, "idx": "618"}'
b'{"is_cold": false, "events": -1, "idx": "619"}'
b'{"is_cold": false, "events": -1, "idx": "620"}'
b'{"is_cold": false, "events": -1, "idx": "621"}'
b'{"is_cold": false, "events": -1, "idx": "622"}'
b'{"is_cold": false, "events": -1, "idx": "623"}'
b'{"is_cold": false, "events": -1, "idx": "624"}'
b'{"is_cold": false, "events": -1, "idx": "625"}'
b'{"is_cold": false, "events": -1, "idx": "626"}'
b'{"is_cold": false, "events": -1, "idx": "627"}'
b'{"is_cold": false, "events": 10, "idx": "628"}'
b'{"is_cold": false, "events": -1, "idx": "629"}'
b'{"is_cold": false, "events": -1, "idx": "630"}'
b'{"is_cold": false, "events": -1, "idx": "631"}'
b'{"is_cold": false, "events": -1, "idx": "632"}'
b'{"is_cold": false, "events": -1, "idx": "633"}'
b'{"is_cold": false, "events": -1, "idx": "634"}'
b'{"is_cold": false, "events": -1, "idx": "635"}'
b'{"is_cold": false, "events": -1, "idx": "636"}'
b'{"is_cold": false, "events": -1, "idx": "637"}'
b'{"is_cold": false, "events": 10, "idx": "638"}'
b'{"is_cold": false, "events": -1, "idx": "639"}'
b'{"is_cold": false, "events": -1, "idx": "640"}'
b'{"is_cold": false, "events": -1, "idx": "641"}'
b'{"is_cold": false, "events": -1, "idx": "642"}'
b'{"is_cold": false, "events": -1, "idx": "643"}'
b'{"is_cold": false, "events": -1, "idx": "644"}'
b'{"is_cold": false, "events": -1, "idx": "645"}'
b'{"is_cold": false, "events": -1, "idx": "646"}'
b'{"is_cold": false, "events": -1, "idx": "647"}'
b'{"is_cold": false, "events": 3, "idx": "648"}'
b'{"is_cold": false, "events": -1, "idx": "649"}'
b'{"is_cold": false, "events": -1, "idx": "650"}'
b'{"is_cold": false, "events": 1, "idx": "651"}'
b'{"is_cold": false, "events": 2, "idx": "652"}'
b'{"is_cold": false, "events": -1, "idx": "653"}'
b'{"is_cold": false, "events": 1, "idx": "654"}'
b'{"is_cold": false, "events": 1, "idx": "655"}'
b'{"is_cold": false, "events": 2, "idx": "656"}'
b'{"is_cold": false, "events": -1, "idx": "657"}'
b'{"is_cold": false, "events": 2, "idx": "658"}'
b'{"is_cold": false, "events": -1, "idx": "659"}'
b'{"is_cold": false, "events": 1, "idx": "660"}'
b'{"is_cold": false, "events": 1, "idx": "661"}'
b'{"is_cold": false, "events": 2, "idx": "662"}'
b'{"is_cold": false, "events": -1, "idx": "663"}'
b'{"is_cold": false, "events": 1, "idx": "664"}'
b'{"is_cold": false, "events": 1, "idx": "665"}'
b'{"is_cold": false, "events": 1, "idx": "666"}'
b'{"is_cold": false, "events": 1, "idx": "667"}'
b'{"is_cold": false, "events": 1, "idx": "668"}'
b'{"is_cold": false, "events": 1, "idx": "669"}'
b'{"is_cold": false, "events": 1, "idx": "670"}'
b'{"is_cold": false, "events": 1, "idx": "671"}'
b'{"is_cold": false, "events": 1, "idx": "672"}'
b'{"is_cold": false, "events": 1, "idx": "673"}'
b'{"is_cold": false, "events": 1, "idx": "674"}'
b'{"is_cold": false, "events": 1, "idx": "675"}'
b'{"is_cold": false, "events": 1, "idx": "676"}'
b'{"is_cold": false, "events": 1, "idx": "677"}'
b'{"is_cold": false, "events": 1, "idx": "678"}'
b'{"is_cold": false, "events": 1, "idx": "679"}'
b'{"is_cold": false, "events": 1, "idx": "680"}'
b'{"is_cold": false, "events": 1, "idx": "681"}'
b'{"is_cold": false, "events": 1, "idx": "682"}'
b'{"is_cold": false, "events": 1, "idx": "683"}'
b'{"is_cold": false, "events": 1, "idx": "684"}'
b'{"is_cold": false, "events": 1, "idx": "685"}'
b'{"is_cold": false, "events": 2, "idx": "686"}'
b'{"is_cold": false, "events": -1, "idx": "687"}'
b'{"is_cold": false, "events": 2, "idx": "688"}'
