Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": -1, "idx": "11613"}'
b'{"is_cold": false, "events": -1, "idx": "11614"}'
b'{"is_cold": false, "events": -1, "idx": "11615"}'
b'{"is_cold": false, "events": -1, "idx": "11616"}'
b'{"is_cold": false, "events": 5, "idx": "11617"}'
b'{"is_cold": false, "events": -1, "idx": "11618"}'
b'{"is_cold": false, "events": -1, "idx": "11619"}'
b'{"is_cold": false, "events": -1, "idx": "11620"}'
b'{"is_cold": false, "events": -1, "idx": "11621"}'
b'{"is_cold": false, "events": 10, "idx": "11622"}'
b'{"is_cold": false, "events": -1, "idx": "11623"}'
b'{"is_cold": false, "events": -1, "idx": "11624"}'
b'{"is_cold": false, "events": -1, "idx": "11625"}'
b'{"is_cold": false, "events": -1, "idx": "11626"}'
b'{"is_cold": false, "events": -1, "idx": "11627"}'
b'{"is_cold": false, "events": -1, "idx": "11628"}'
b'{"is_cold": false, "events": -1, "idx": "11629"}'
b'{"is_cold": false, "events": -1, "idx": "11630"}'
b'{"is_cold": false, "events": -1, "idx": "11631"}'
b'{"is_cold": false, "events": 10, "idx": "11632"}'
b'{"is_cold": false, "events": -1, "idx": "11633"}'
b'{"is_cold": false, "events": -1, "idx": "11634"}'
b'{"is_cold": false, "events": -1, "idx": "11635"}'
b'{"is_cold": false, "events": -1, "idx": "11636"}'
b'{"is_cold": false, "events": -1, "idx": "11638"}'
b'{"is_cold": false, "events": -1, "idx": "11637"}'
b'{"is_cold": false, "events": -1, "idx": "11639"}'
b'{"is_cold": false, "events": -1, "idx": "11640"}'
b'{"is_cold": false, "events": -1, "idx": "11641"}'
b'{"is_cold": false, "events": 10, "idx": "11642"}'
b'{"is_cold": false, "events": -1, "idx": "11643"}'
b'{"is_cold": false, "events": -1, "idx": "11644"}'
b'{"is_cold": false, "events": -1, "idx": "11645"}'
b'{"is_cold": false, "events": -1, "idx": "11646"}'
b'{"is_cold": false, "events": -1, "idx": "11647"}'
b'{"is_cold": false, "events": -1, "idx": "11648"}'
b'{"is_cold": false, "events": -1, "idx": "11649"}'
b'{"is_cold": false, "events": -1, "idx": "11650"}'
b'{"is_cold": false, "events": -1, "idx": "11651"}'
b'{"is_cold": false, "events": 10, "idx": "11652"}'
b'{"is_cold": false, "events": -1, "idx": "11653"}'
b'{"is_cold": false, "events": -1, "idx": "11654"}'
b'{"is_cold": false, "events": -1, "idx": "11655"}'
b'{"is_cold": false, "events": -1, "idx": "11656"}'
b'{"is_cold": false, "events": -1, "idx": "11657"}'
b'{"is_cold": false, "events": -1, "idx": "11658"}'
b'{"is_cold": false, "events": -1, "idx": "11659"}'
b'{"is_cold": false, "events": -1, "idx": "11660"}'
b'{"is_cold": false, "events": -1, "idx": "11661"}'
b'{"is_cold": false, "events": 10, "idx": "11662"}'
b'{"is_cold": false, "events": -1, "idx": "11663"}'
b'{"is_cold": false, "events": -1, "idx": "11664"}'
b'{"is_cold": false, "events": -1, "idx": "11665"}'
b'{"is_cold": false, "events": -1, "idx": "11666"}'
