Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "34000"}'
b'{"is_cold": false, "events": 2, "idx": "34001"}'
b'{"is_cold": false, "events": -1, "idx": "34002"}'
b'{"is_cold": false, "events": 4, "idx": "34003"}'
b'{"is_cold": false, "events": -1, "idx": "34004"}'
b'{"is_cold": false, "events": -1, "idx": "34005"}'
b'{"is_cold": false, "events": -1, "idx": "34006"}'
b'{"is_cold": false, "events": 3, "idx": "34007"}'
b'{"is_cold": false, "events": -1, "idx": "34008"}'
b'{"is_cold": false, "events": -1, "idx": "34009"}'
b'{"is_cold": false, "events": 3, "idx": "34010"}'
b'{"is_cold": false, "events": -1, "idx": "34011"}'
b'{"is_cold": false, "events": -1, "idx": "34012"}'
b'{"is_cold": false, "events": 3, "idx": "34013"}'
b'{"is_cold": false, "events": -1, "idx": "34014"}'
b'{"is_cold": false, "events": -1, "idx": "34015"}'
b'{"is_cold": false, "events": 3, "idx": "34016"}'
b'{"is_cold": false, "events": -1, "idx": "34017"}'
b'{"is_cold": false, "events": -1, "idx": "34018"}'
b'{"is_cold": false, "events": 3, "idx": "34019"}'
b'{"is_cold": false, "events": -1, "idx": "34020"}'
b'{"is_cold": false, "events": -1, "idx": "34021"}'
b'{"is_cold": false, "events": 3, "idx": "34022"}'
b'{"is_cold": false, "events": -1, "idx": "34023"}'
b'{"is_cold": false, "events": -1, "idx": "34024"}'
b'{"is_cold": false, "events": 4, "idx": "34025"}'
b'{"is_cold": false, "events": -1, "idx": "34026"}'
b'{"is_cold": false, "events": -1, "idx": "34027"}'
b'{"is_cold": false, "events": -1, "idx": "34028"}'
b'{"is_cold": false, "events": 4, "idx": "34029"}'
b'{"is_cold": false, "events": -1, "idx": "34030"}'
b'{"is_cold": false, "events": -1, "idx": "34031"}'
b'{"is_cold": false, "events": -1, "idx": "34032"}'
b'{"is_cold": false, "events": 3, "idx": "34033"}'
b'{"is_cold": false, "events": -1, "idx": "34034"}'
b'{"is_cold": false, "events": -1, "idx": "34035"}'
b'{"is_cold": false, "events": 3, "idx": "34036"}'
b'{"is_cold": false, "events": -1, "idx": "34037"}'
