,time,idx,queue,memory,size,type
118,1643402858.8005466,118,sqs_fifo,128,64,send
119,1643402858.8115199,119,sqs_fifo,128,64,send
120,1643402858.8306684,120,sqs_fifo,128,64,send
121,1643402858.8426251,121,sqs_fifo,128,64,send
122,1643402858.858613,122,sqs_fifo,128,64,send
123,1643402858.871415,123,sqs_fifo,128,64,send
124,1643402858.8819582,124,sqs_fifo,128,64,send
125,1643402858.895449,125,sqs_fifo,128,64,send
126,1643402858.9141743,126,sqs_fifo,128,64,send
127,1643402858.9284165,127,sqs_fifo,128,64,send
128,1643402858.940075,128,sqs_fifo,128,64,send
129,1643402858.9526224,129,sqs_fifo,128,64,send
130,1643402858.9665327,130,sqs_fifo,128,64,send
131,1643402858.98179,131,sqs_fifo,128,64,send
132,1643402858.9978478,132,sqs_fifo,128,64,send
133,1643402859.0141609,133,sqs_fifo,128,64,send
134,1643402859.0416777,134,sqs_fifo,128,64,send
135,1643402859.05717,135,sqs_fifo,128,64,send
136,1643402859.0725837,136,sqs_fifo,128,64,send
137,1643402859.0895255,137,sqs_fifo,128,64,send
138,1643402859.1032212,138,sqs_fifo,128,64,send
139,1643402859.1154594,139,sqs_fifo,128,64,send
140,1643402859.1304953,140,sqs_fifo,128,64,send
141,1643402859.1451857,141,sqs_fifo,128,64,send
142,1643402859.15918,142,sqs_fifo,128,64,send
143,1643402859.1732984,143,sqs_fifo,128,64,send
144,1643402859.1845376,144,sqs_fifo,128,64,send
145,1643402859.1983213,145,sqs_fifo,128,64,send
146,1643402859.2098746,146,sqs_fifo,128,64,send
147,1643402859.2276735,147,sqs_fifo,128,64,send
148,1643402859.243455,148,sqs_fifo,128,64,send
149,1643402859.26366,149,sqs_fifo,128,64,send
150,1643402859.2764063,150,sqs_fifo,128,64,send
151,1643402859.2872427,151,sqs_fifo,128,64,send
152,1643402859.298054,152,sqs_fifo,128,64,send
153,1643402859.3196478,153,sqs_fifo,128,64,send
154,1643402859.3336244,154,sqs_fifo,128,64,send
155,1643402859.347966,155,sqs_fifo,128,64,send
156,1643402859.3656657,156,sqs_fifo,128,64,send
157,1643402859.3788693,157,sqs_fifo,128,64,send
158,1643402859.3972878,158,sqs_fifo,128,64,send
159,1643402859.4428575,159,sqs_fifo,128,64,send
160,1643402859.455832,160,sqs_fifo,128,64,send
161,1643402859.4725392,161,sqs_fifo,128,64,send
162,1643402859.4860775,162,sqs_fifo,128,64,send
163,1643402859.4994414,163,sqs_fifo,128,64,send
164,1643402859.513649,164,sqs_fifo,128,64,send
