Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "22100"}'
b'{"is_cold": false, "events": 2, "idx": "22101"}'
b'{"is_cold": false, "events": -1, "idx": "22102"}'
b'{"is_cold": false, "events": 4, "idx": "22103"}'
b'{"is_cold": false, "events": -1, "idx": "22104"}'
b'{"is_cold": false, "events": -1, "idx": "22105"}'
b'{"is_cold": false, "events": -1, "idx": "22106"}'
b'{"is_cold": false, "events": 5, "idx": "22107"}'
b'{"is_cold": false, "events": -1, "idx": "22108"}'
b'{"is_cold": false, "events": -1, "idx": "22109"}'
b'{"is_cold": false, "events": -1, "idx": "22110"}'
b'{"is_cold": false, "events": -1, "idx": "22111"}'
b'{"is_cold": false, "events": 3, "idx": "22112"}'
b'{"is_cold": false, "events": -1, "idx": "22113"}'
b'{"is_cold": false, "events": -1, "idx": "22114"}'
b'{"is_cold": false, "events": 4, "idx": "22115"}'
b'{"is_cold": false, "events": -1, "idx": "22116"}'
b'{"is_cold": false, "events": -1, "idx": "22117"}'
b'{"is_cold": false, "events": -1, "idx": "22118"}'
b'{"is_cold": false, "events": 4, "idx": "22119"}'
b'{"is_cold": false, "events": -1, "idx": "22120"}'
b'{"is_cold": false, "events": -1, "idx": "22121"}'
b'{"is_cold": false, "events": -1, "idx": "22122"}'
b'{"is_cold": false, "events": 1, "idx": "22123"}'
b'{"is_cold": false, "events": 1, "idx": "22124"}'
b'{"is_cold": false, "events": 5, "idx": "22125"}'
b'{"is_cold": false, "events": -1, "idx": "22126"}'
b'{"is_cold": false, "events": -1, "idx": "22127"}'
b'{"is_cold": false, "events": -1, "idx": "22128"}'
b'{"is_cold": false, "events": -1, "idx": "22129"}'
b'{"is_cold": false, "events": 3, "idx": "22130"}'
b'{"is_cold": false, "events": -1, "idx": "22131"}'
b'{"is_cold": false, "events": -1, "idx": "22132"}'
b'{"is_cold": false, "events": 3, "idx": "22133"}'
b'{"is_cold": false, "events": -1, "idx": "22134"}'
b'{"is_cold": false, "events": -1, "idx": "22135"}'
b'{"is_cold": false, "events": 3, "idx": "22136"}'
b'{"is_cold": false, "events": -1, "idx": "22137"}'
b'{"is_cold": false, "events": -1, "idx": "22138"}'
b'{"is_cold": false, "events": 3, "idx": "22139"}'
b'{"is_cold": false, "events": -1, "idx": "22140"}'
b'{"is_cold": false, "events": -1, "idx": "22141"}'
b'{"is_cold": false, "events": 3, "idx": "22142"}'
b'{"is_cold": false, "events": -1, "idx": "22143"}'
b'{"is_cold": false, "events": -1, "idx": "22144"}'
b'{"is_cold": false, "events": 4, "idx": "22145"}'
b'{"is_cold": false, "events": -1, "idx": "22146"}'
b'{"is_cold": false, "events": -1, "idx": "22147"}'
b'{"is_cold": false, "events": -1, "idx": "22148"}'
b'{"is_cold": false, "events": 4, "idx": "22149"}'
b'{"is_cold": false, "events": -1, "idx": "22150"}'
b'{"is_cold": false, "events": -1, "idx": "22151"}'
b'{"is_cold": false, "events": -1, "idx": "22152"}'
b'{"is_cold": false, "events": 3, "idx": "22153"}'
b'{"is_cold": false, "events": -1, "idx": "22154"}'
b'{"is_cold": false, "events": -1, "idx": "22155"}'
b'{"is_cold": false, "events": 4, "idx": "22156"}'
b'{"is_cold": false, "events": -1, "idx": "22157"}'
