type,value,memory,function,repetitions
total,16.681586503982544,2048,writer,200
lock,1.4380629062652588,2048,writer,200
atomic,1.442274808883667,2048,writer,200
commit,1.2394840717315674,2048,writer,200
push, 12.396275997161865 ,2048,writer,200
total, 18.29207730293274,1024,writer,200
lock,1.382153034210205,1024,writer,200
atomic,1.3570935726165771 ,1024,writer,200
commit,1.1559762954711914 ,1024,writer,200
push,14.2693612575531,1024,writer,200
total,31.312641620635986,512,writer,200
lock,2.4031949043273926,512,writer,200
atomic,1.6529669761657715,512,writer,200
commit,1.2656049728393555 ,512,writer,200
push,25.82343339920044,512,writer,200
total,25.738051176071167 ,512,distributor,200
notify,0.42620325088500977 ,512,distributor,200
write,16.824393272399902,512,distributor,200
watch_write,0.014641761779785156 ,512,distributor,200
watch_wait,8.270755767822266 ,512,distributor,200
total,24.40730595588684,1024,distributor,200
notify, 0.4898416996002197,1024,distributor,200
write, 17.411227226257324 ,1024,distributor,200
watch_write,0.014949321746826172 ,1024,distributor,200
watch_wait,6.346414566040039,1024,distributor,200
total,23.343555688858032 ,2048,distributor,200
notify, 0.47530484199523926 ,2048,distributor,200
write,16.70048427581787,2048,distributor,200
watch_write,0.014617919921875,2048,distributor,200
watch_wait, 6.01921534538269 ,2048,distributor,200
