,type,value,memory,function,repetitions
total,21.786945343017578,2048,writer,200
lock,1.291447401046753,2048,writer,200
atomic,1.326695442199707,2048,writer,200
commit,1.1280813217163086,2048,writer,200
push, 17.832305431365967,2048,writer,200
total, 31.811330556869507,1024,writer,200
lock,1.5629920959472656,1024,writer,200
atomic,1.543259859085083 ,1024,writer,200
commit,1.29032564163208 ,1024,writer,200
push,27.15039348602295,1024,writer,200
total,55.46125102043152,512,writer,200
lock,2.1388628482818604,512,writer,200
atomic,2.242457389831543,512,writer,200
commit,1.301762342453003 ,512,writer,200
push,49.46308398246765 ,512,writer,200
total,32.66378688812256 ,512,distributor,200
notify,0.47277092933654785 ,512,distributor,200
write,23.636037588119507,512,distributor,200
watch_write,0.014435291290283203 ,512,distributor,200
watch_wait,8.070868968963623  ,512,distributor,200
total,29.840190887451172,1024,distributor,200
notify, 0.42146992683410645,1024,distributor,200
write, 23.341052055358887 ,1024,distributor,200
watch_write,0.01123046875 ,1024,distributor,200
watch_wait,5.82392144203186,1024,distributor,200
total, 27.192074060440063  ,2048,distributor,200
notify, 0.479278564453125 ,2048,distributor,200
write,20.22100305557251,2048,distributor,200
watch_write,0.014502763748168945,2048,distributor,200
watch_wait, 6.228280305862427 ,2048,distributor,200
