,type,value,memory,function,repetitions
total,7.311149835586548,2048,writer,200
lock,1.61616849899292,2048,writer,200
atomic,1.440371036529541,2048,writer,200
commit,1.4998927116394043,2048,writer,200
push,2.741544723510742,2048,writer,200
total,7.10342264175415,1024,writer,200
lock,1.487260341644287,1024,writer,200
atomic,1.337477207183838,1024,writer,200
commit,1.4168853759765625,1024,writer,200
push,2.8484854698181152,1024,writer,200
total,7.39916205406189,512,writer,200
lock,1.688053846359253,512,writer,200
atomic,1.4588384628295898,512,writer,200
commit,1.5256178379058838,512,writer,200
push,2.714209794998169512,512,writer,200
total,19.827661275863647,512,distributor,200
notify,0.47081542015075684,512,distributor,200
write,10.990741491317749,512,distributor,200
watch_write,0.01460886001586914,512,distributor,200
watch_wait,8.326107263565063,512,distributor,200
total,20.021122455596924,1024,distributor,200
notify, 0.5288980007171631,1024,distributor,200
write,12.739953756332397,1024,distributor,200
watch_write,0.018954753875732422,1024,distributor,200
watch_wait,6.708029508590698 ,1024,distributor,200
total,16.889899969100952,1024,distributor,200
notify,0.4493720531463623,1024,distributor,200
write,10.05621600151062,1024,distributor,200
watch_write,0.014409303665161133,1024,distributor,200
watch_wait,6.344715356826782 ,1024,distributor,200
