,data,native_data,op,size
0,59257,59018,read,4
1,63263,63029,read,4
2,63966,63717,read,4
3,56629,56383,read,4
4,63959,63698,read,4
5,54877,54625,read,4
6,56412,56097,read,4
7,55762,55493,read,4
8,56852,56608,read,4
9,70205,69959,read,4
10,56123,55840,read,4
11,55640,55386,read,4
12,62790,62534,read,4
13,53179,52933,read,4
14,56069,55820,read,4
15,50150,49907,read,4
16,55887,55590,read,4
17,70160,69834,read,4
18,64740,64393,read,4
19,51505,51157,read,4
20,77830,77519,read,4
21,54463,54147,read,4
22,60744,60428,read,4
23,57379,57042,read,4
24,65376,65052,read,4
25,55298,54986,read,4
26,57725,57410,read,4
27,53792,53455,read,4
28,58420,58102,read,4
29,55715,55396,read,4
30,59611,59300,read,4
31,51443,51060,read,4
32,63367,63034,read,4
33,53248,52884,read,4
34,61415,61043,read,4
35,59741,59384,read,4
36,50751,50430,read,4
37,60018,59604,read,4
38,51778,51402,read,4
39,45760,45443,read,4
40,53228,52883,read,4
41,61070,60742,read,4
42,53667,53358,read,4
43,57292,56784,read,4
44,54285,53852,read,4
45,61371,60955,read,4
46,62634,62187,read,4
47,64884,64425,read,4
48,56512,56058,read,4
49,51801,51377,read,4
50,53097,52689,read,4
51,72295,71866,read,4
52,57077,56493,read,4
53,49005,48571,read,4
54,60229,59779,read,4
55,58406,57991,read,4
56,51169,50758,read,4
57,57076,56640,read,4
58,51990,51462,read,4
59,50683,50276,read,4
60,65371,64978,read,4
61,55138,54651,read,4
62,58276,57869,read,4
63,58365,57927,read,4
64,55715,55291,read,4
65,56032,55610,read,4
66,59008,58574,read,4
67,56895,56485,read,4
68,50769,50261,read,4
69,51787,51352,read,4
70,55792,55334,read,4
71,55174,54572,read,4
72,56764,56322,read,4
73,56862,56451,read,4
74,54149,53720,read,4
75,59729,59270,read,4
76,60215,59749,read,4
77,55204,54763,read,4
78,49538,49135,read,4
79,55431,54999,read,4
80,46704,46270,read,4
81,49957,49503,read,4
82,54145,53674,read,4
83,61104,60688,read,4
84,48528,48003,read,4
85,59173,58763,read,4
86,57438,57030,read,4
87,51727,51294,read,4
88,47188,46771,read,4
89,56592,56183,read,4
90,62690,62223,read,4
91,48972,48551,read,4
92,53621,53182,read,4
93,50649,50185,read,4
94,50992,50575,read,4
95,48503,48083,read,4
96,59795,59357,read,4
97,61389,60963,read,4
98,73793,73375,read,4
99,48807,48358,read,4
100,51740,51325,read,4
101,46174,45744,read,4
102,48894,48474,read,4
103,55168,54726,read,4
104,51817,51324,read,4
105,54700,54272,read,4
106,53412,53016,read,4
107,52622,52212,read,4
108,50843,50433,read,4
109,52319,51895,read,4
110,48742,48368,read,4
111,50390,49964,read,4
112,62092,61683,read,4
113,50582,50177,read,4
114,52655,52272,read,4
115,50755,50334,read,4
116,49607,49209,read,4
117,57789,57376,read,4
118,46543,46121,read,4
119,60379,59935,read,4
120,51803,51400,read,4
121,48407,47977,read,4
122,65162,64744,read,4
123,55896,55460,read,4
124,50421,50000,read,4
125,55398,55008,read,4
126,51858,51445,read,4
127,49943,49508,read,4
128,51771,51258,read,4
129,139154,138720,read,4
130,69900,69478,read,4
131,56421,55967,read,4
132,52404,51979,read,4
133,62924,62517,read,4
134,65021,64559,read,4
135,49722,49266,read,4
136,45253,44814,read,4
137,44643,44213,read,4
138,55011,54589,read,4
139,50839,50236,read,4
140,51281,50807,read,4
141,65671,65208,read,4
142,61978,61532,read,4
143,53183,52744,read,4
144,52708,52329,read,4
145,49241,48891,read,4
146,58972,58617,read,4
147,63836,63461,read,4
148,52705,52286,read,4
149,48580,48221,read,4
150,58226,57840,read,4
151,54940,54497,read,4
152,49592,49225,read,4
153,51824,51379,read,4
154,56717,56357,read,4
155,47884,47516,read,4
156,53381,53048,read,4
157,47984,47636,read,4
158,51150,50796,read,4
159,47835,47475,read,4
160,43161,42798,read,4
161,55219,54860,read,4
162,50165,49797,read,4
163,40083,39709,read,4
164,62440,62087,read,4
165,73478,73124,read,4
166,51991,51620,read,4
167,55804,55450,read,4
168,52972,52605,read,4
169,46179,45824,read,4
170,74679,74339,read,4
171,50333,49940,read,4
172,49959,49611,read,4
173,43638,43296,read,4
174,68492,68152,read,4
175,62777,62463,read,4
176,49734,49401,read,4
177,53516,53192,read,4
178,51161,50798,read,4
179,53954,53617,read,4
180,52924,52572,read,4
181,48315,47985,read,4
182,48733,48326,read,4
183,56129,55699,read,4
184,44588,44138,read,4
185,57258,56833,read,4
186,50496,50070,read,4
187,55128,54724,read,4
188,50205,49818,read,4
189,55048,54593,read,4
190,60552,60161,read,4
191,53134,52597,read,4
192,137469,136901,read,4
193,61208,60599,read,4
194,59338,58856,read,4
195,48874,48455,read,4
196,52313,51905,read,4
197,49205,48785,read,4
198,50130,49719,read,4
199,49340,48847,read,4
200,54720,54374,read,4
201,47381,47006,read,4
202,45729,45386,read,4
203,51124,50792,read,4
204,49088,48751,read,4
205,45513,45170,read,4
206,44424,44034,read,4
207,48651,48338,read,4
208,42072,41732,read,4
209,62583,62250,read,4
210,45269,44942,read,4
211,54037,53720,read,4
212,44485,44105,read,4
213,61418,61061,read,4
214,41230,40869,read,4
215,40785,40456,read,4
216,47608,47270,read,4
217,49760,49424,read,4
218,63139,62783,read,4
219,60637,60289,read,4
220,48828,48429,read,4
221,61034,60506,read,4
222,56791,56370,read,4
223,54753,54299,read,4
224,59433,59025,read,4
225,50473,50066,read,4
226,52663,52239,read,4
227,118968,118501,read,4
228,50273,49825,read,4
229,50298,49874,read,4
230,47150,46746,read,4
231,56948,56520,read,4
232,52733,52284,read,4
233,53455,52963,read,4
234,66845,66413,read,4
235,52057,51617,read,4
236,44372,43978,read,4
237,47442,47006,read,4
238,49627,49187,read,4
239,51553,51107,read,4
240,55374,54933,read,4
241,58781,58350,read,4
242,50849,50419,read,4
243,52311,51894,read,4
244,41325,40886,read,4
245,47315,46848,read,4
246,49058,48617,read,4
247,50267,49747,read,4
248,57330,56886,read,4
249,57724,57221,read,4
250,47707,47092,read,4
251,47956,47473,read,4
252,74421,73956,read,4
253,51445,50837,read,4
254,59757,59287,read,4
255,53319,52848,read,4
256,74250,73797,read,4
257,52831,52408,read,4
258,45730,45294,read,4
259,52826,52445,read,4
260,43218,42736,read,4
261,51920,51458,read,4
262,53566,53122,read,4
263,57459,57022,read,4
264,43176,42734,read,4
265,45915,45489,read,4
266,51624,51188,read,4
267,50468,50026,read,4
268,100216,99730,read,4
269,45423,44974,read,4
270,61158,60718,read,4
271,55913,55481,read,4
272,70678,70246,read,4
273,52288,51834,read,4
274,45895,45441,read,4
275,54176,53725,read,4
276,48283,47868,read,4
277,62334,61930,read,4
278,49440,48883,read,4
279,54959,54519,read,4
280,64047,63605,read,4
281,52455,52025,read,4
282,63456,63016,read,4
283,68352,67870,read,4
284,52640,52109,read,4
285,52225,51721,read,4
286,64470,64042,read,4
287,48636,48196,read,4
288,41513,41065,read,4
289,54829,54377,read,4
290,49840,49393,read,4
291,51768,51234,read,4
292,76566,76078,read,4
293,53988,53541,read,4
294,51726,51293,read,4
295,48324,47937,read,4
296,42108,41749,read,4
297,52411,52039,read,4
298,44259,43913,read,4
299,50464,50075,read,4
300,58443,58074,read,4
301,86184,85825,read,4
302,54037,53681,read,4
303,37965,37605,read,4
304,50877,50535,read,4
305,54904,54549,read,4
306,50120,49754,read,4
307,49553,49171,read,4
308,44554,44192,read,4
309,48746,48386,read,4
310,51856,51487,read,4
311,51319,50964,read,4
312,44189,43804,read,4
313,49601,49247,read,4
314,45976,45605,read,4
315,55924,55576,read,4
316,48600,48277,read,4
317,52610,52253,read,4
318,51179,50800,read,4
319,52039,51670,read,4
320,44424,44068,read,4
321,50940,50584,read,4
322,47706,47320,read,4
323,54445,54086,read,4
324,56500,56113,read,4
325,51285,50929,read,4
326,52979,52578,read,4
327,52611,52238,read,4
328,49529,49167,read,4
329,55239,54874,read,4
330,52685,52315,read,4
331,53591,53135,read,4
332,75455,75094,read,4
333,50291,49840,read,4
334,52303,51848,read,4
335,50314,49914,read,4
336,45926,45512,read,4
337,43173,42739,read,4
338,56555,56119,read,4
339,56510,56054,read,4
340,49383,48935,read,4
341,52622,52184,read,4
342,44246,43762,read,4
343,52623,52186,read,4
344,55043,54607,read,4
345,49184,48553,read,4
346,69280,68842,read,4
347,46239,45805,read,4
348,50672,50195,read,4
349,49845,49332,read,4
350,54155,53710,read,4
351,43780,43302,read,4
352,48662,48225,read,4
353,35734,35281,read,4
354,56278,55849,read,4
355,62474,62029,read,4
356,54529,54090,read,4
357,55303,54848,read,4
358,85477,85040,read,4
359,46303,45878,read,4
360,54295,53851,read,4
361,60718,60276,read,4
362,53201,52765,read,4
363,44426,43980,read,4
364,59593,59163,read,4
365,34555,34149,read,4
366,47080,46719,read,4
367,47561,47244,read,4
368,53443,53119,read,4
369,55161,54830,read,4
370,45713,45412,read,4
371,54251,53835,read,4
372,63378,63067,read,4
373,51846,51531,read,4
374,46735,46403,read,4
375,45907,45510,read,4
376,75086,74761,read,4
377,49268,48955,read,4
378,46537,46217,read,4
379,55029,54723,read,4
380,48287,47963,read,4
381,48963,48639,read,4
382,50246,49878,read,4
383,40959,40649,read,4
384,56128,55814,read,4
385,48482,48132,read,4
386,49240,48867,read,4
387,44767,44454,read,4
388,48480,48165,read,4
389,40495,40182,read,4
390,52390,52063,read,4
391,53204,52884,read,4
392,68896,68579,read,4
393,53571,53198,read,4
394,43220,42834,read,4
395,43248,42797,read,4
396,50200,49724,read,4
397,61968,61512,read,4
398,49320,48911,read,4
399,47790,47335,read,4
400,105677,105239,read,4
401,57389,56935,read,4
402,62240,61492,read,4
403,52320,51874,read,4
404,54183,53750,read,4
405,45845,45396,read,4
406,53262,52806,read,4
407,58246,57793,read,4
408,51954,51496,read,4
409,42108,41618,read,4
410,44999,44567,read,4
411,52865,52354,read,4
412,62457,62097,read,4
413,77855,77485,read,4
414,46707,46295,read,4
415,45037,44641,read,4
416,56595,56218,read,4
417,55838,55452,read,4
418,40739,40376,read,4
419,58360,57996,read,4
420,49009,48643,read,4
421,42415,42045,read,4
422,48630,48261,read,4
423,57294,56905,read,4
424,64299,63874,read,4
425,51483,51103,read,4
426,77272,76908,read,4
427,42181,41828,read,4
428,55287,54910,read,4
429,45187,44851,read,4
430,57572,57136,read,4
431,60850,60392,read,4
432,62739,62279,read,4
433,45970,45455,read,4
434,48751,48422,read,4
435,62061,61703,read,4
436,53116,52765,read,4
437,47691,47317,read,4
438,60082,59626,read,4
439,49246,48837,read,4
440,58501,58167,read,4
441,47213,46889,read,4
442,49867,49540,read,4
443,50171,49822,read,4
444,53717,53384,read,4
445,45076,44757,read,4
446,52467,52079,read,4
447,46404,45947,read,4
448,52578,52258,read,4
449,52934,52602,read,4
450,49078,48755,read,4
451,48195,47863,read,4
452,63460,63104,read,4
453,53805,53431,read,4
454,52228,51874,read,4
455,49976,49659,read,4
456,44375,44067,read,4
457,48371,48054,read,4
458,49759,49447,read,4
459,50780,50463,read,4
460,51377,51063,read,4
461,47766,47432,read,4
462,62977,62573,read,4
463,39906,39461,read,4
464,49032,48585,read,4
465,53778,53253,read,4
466,54595,54200,read,4
467,47839,47445,read,4
468,50415,49970,read,4
469,52085,51613,read,4
470,53728,53341,read,4
471,37893,37472,read,4
472,55765,55295,read,4
473,54273,53861,read,4
474,50529,50049,read,4
475,52485,52098,read,4
476,45700,45260,read,4
477,54941,54532,read,4
478,47490,46887,read,4
479,54243,53752,read,4
480,50785,50423,read,4
481,52921,52504,read,4
482,48989,48559,read,4
483,40856,40445,read,4
484,48084,47655,read,4
485,52556,52129,read,4
486,51302,50906,read,4
487,38422,38001,read,4
488,65450,65028,read,4
489,46770,46362,read,4
490,55734,55324,read,4
491,50671,50239,read,4
492,51119,50699,read,4
493,58008,57567,read,4
494,46584,46141,read,4
495,47991,47483,read,4
496,72317,71868,read,4
497,48345,47901,read,4
498,41327,40899,read,4
499,66638,66207,read,4
500,44937,44489,read,4
501,34455,34033,read,4
502,48910,48486,read,4
503,49029,48608,read,4
504,57454,57017,read,4
505,56101,55616,read,4
506,46390,45980,read,4
507,54123,53706,read,4
508,57607,57163,read,4
509,47376,46944,read,4
510,56445,56047,read,4
511,54424,54072,read,4
512,51970,51602,read,4
513,53779,53433,read,4
514,38666,38161,read,4
515,45124,44723,read,4
516,54071,53718,read,4
517,47252,46899,read,4
518,57116,56726,read,4
519,49211,48863,read,4
520,49708,49344,read,4
521,54174,53836,read,4
522,55908,55555,read,4
523,87528,87157,read,4
524,44017,43616,read,4
525,56810,56461,read,4
526,46463,46091,read,4
527,57536,57169,read,4
528,53471,53128,read,4
529,57690,57265,read,4
530,58763,58311,read,4
531,47386,46899,read,4
532,46080,45645,read,4
533,52872,52409,read,4
534,47082,46633,read,4
535,53491,53044,read,4
536,46531,46053,read,4
537,55609,55076,read,4
538,53318,52887,read,4
539,57692,57241,read,4
540,47112,46631,read,4
541,48517,48069,read,4
542,55700,55286,read,4
543,49566,49114,read,4
544,49321,48848,read,4
545,41985,41530,read,4
