,data,native_data,op,size
0,434,299.0,read,4
1,472,359.0,read,4
2,379,275.0,read,4
3,466,366.0,read,4
4,374,274.0,read,4
5,395,297.0,read,4
6,385,288.0,read,4
7,363,265.0,read,4
8,351,256.0,read,4
9,358,265.0,read,4
10,354,263.0,read,4
11,377,270.0,read,4
12,355,260.0,read,4
13,352,261.0,read,4
14,350,260.0,read,4
15,356,265.0,read,4
16,346,254.0,read,4
17,375,284.0,read,4
18,368,278.0,read,4
19,386,296.0,read,4
20,359,256.0,read,4
21,364,272.0,read,4
22,388,279.0,read,4
23,359,265.0,read,4
24,354,262.0,read,4
25,369,270.0,read,4
26,362,264.0,read,4
27,351,252.0,read,4
28,356,261.0,read,4
29,340,246.0,read,4
30,350,255.0,read,4
31,349,256.0,read,4
32,360,265.0,read,4
33,407,263.0,read,4
34,499,380.0,read,4
35,411,287.0,read,4
36,390,267.0,read,4
37,408,286.0,read,4
38,383,263.0,read,4
39,399,277.0,read,4
40,398,278.0,read,4
41,391,273.0,read,4
42,384,265.0,read,4
43,396,270.0,read,4
44,419,288.0,read,4
45,387,265.0,read,4
46,392,263.0,read,4
47,382,262.0,read,4
48,439,318.0,read,4
49,375,255.0,read,4
50,375,258.0,read,4
51,391,275.0,read,4
52,388,269.0,read,4
53,391,264.0,read,4
54,392,265.0,read,4
55,385,262.0,read,4
56,381,263.0,read,4
57,380,260.0,read,4
58,378,260.0,read,4
59,377,254.0,read,4
60,381,261.0,read,4
61,391,261.0,read,4
62,387,268.0,read,4
63,413,276.0,read,4
64,392,273.0,read,4
65,376,259.0,read,4
66,402,288.0,read,4
67,384,265.0,read,4
68,379,257.0,read,4
69,394,275.0,read,4
70,375,255.0,read,4
71,379,260.0,read,4
72,387,267.0,read,4
73,375,259.0,read,4
74,399,282.0,read,4
75,378,261.0,read,4
76,381,261.0,read,4
77,389,269.0,read,4
78,377,257.0,read,4
79,373,255.0,read,4
80,393,273.0,read,4
81,376,262.0,read,4
82,378,259.0,read,4
83,383,270.0,read,4
84,382,265.0,read,4
85,421,300.0,read,4
86,383,267.0,read,4
87,382,262.0,read,4
88,422,304.0,read,4
89,379,260.0,read,4
90,386,270.0,read,4
91,376,260.0,read,4
92,711,595.0,read,4
93,443,326.0,read,4
94,434,311.0,read,4
95,1440,1283.0,read,4
96,435,294.0,read,4
97,396,268.0,read,4
98,403,281.0,read,4
99,405,289.0,read,4
100,406,290.0,read,4
101,385,270.0,read,4
102,399,281.0,read,4
103,450,325.0,read,4
104,387,265.0,read,4
105,374,257.0,read,4
106,377,258.0,read,4
107,398,277.0,read,4
108,384,264.0,read,4
109,400,282.0,read,4
110,412,295.0,read,4
111,480,363.0,read,4
112,378,263.0,read,4
113,382,268.0,read,4
114,378,260.0,read,4
115,379,263.0,read,4
