,data,queue,memory,type,is_cold,size
59,1099,sqs_fifo,128,rtt,True,
60,849,sqs_fifo,128,rtt,True,
61,772,sqs_fifo,128,rtt,True,
62,983,sqs_fifo,128,rtt,True,
63,734,sqs_fifo,128,rtt,True,
64,737,sqs_fifo,128,rtt,True,
65,694,sqs_fifo,128,rtt,True,
66,735,sqs_fifo,128,rtt,True,
67,679,sqs_fifo,128,rtt,True,
68,802,sqs_fifo,128,rtt,True,
69,643,sqs_fifo,128,rtt,True,
70,649,sqs_fifo,128,rtt,True,
71,727,sqs_fifo,128,rtt,True,
72,666,sqs_fifo,128,rtt,True,
73,704,sqs_fifo,128,rtt,True,
74,667,sqs_fifo,128,rtt,True,
75,730,sqs_fifo,128,rtt,True,
76,691,sqs_fifo,128,rtt,True,
77,724,sqs_fifo,128,rtt,True,
78,843,sqs_fifo,128,rtt,True,
79,729,sqs_fifo,128,rtt,True,
80,819,sqs_fifo,128,rtt,True,
81,806,sqs_fifo,128,rtt,True,
82,681,sqs_fifo,128,rtt,True,
83,735,sqs_fifo,128,rtt,True,
84,675,sqs_fifo,128,rtt,True,
85,705,sqs_fifo,128,rtt,True,
86,645,sqs_fifo,128,rtt,True,
87,699,sqs_fifo,128,rtt,True,
88,717,sqs_fifo,128,rtt,True,
89,671,sqs_fifo,128,rtt,True,
90,638,sqs_fifo,128,rtt,True,
91,653,sqs_fifo,128,rtt,True,
92,764,sqs_fifo,128,rtt,True,
93,699,sqs_fifo,128,rtt,True,
94,665,sqs_fifo,128,rtt,True,
95,656,sqs_fifo,128,rtt,True,
96,647,sqs_fifo,128,rtt,True,
97,644,sqs_fifo,128,rtt,True,
98,651,sqs_fifo,128,rtt,True,
99,676,sqs_fifo,128,rtt,True,
100,30228,sqs_fifo,128,invocation,False,64.0
101,25704,sqs_fifo,128,invocation,False,64.0
102,65604,sqs_fifo,128,invocation,False,64.0
103,30494,sqs_fifo,128,invocation,False,64.0
104,31540,sqs_fifo,128,invocation,False,64.0
105,24050,sqs_fifo,128,invocation,False,64.0
106,22664,sqs_fifo,128,invocation,False,64.0
107,30684,sqs_fifo,128,invocation,False,64.0
108,25010,sqs_fifo,128,invocation,False,64.0
109,28495,sqs_fifo,128,invocation,False,64.0
110,25038,sqs_fifo,128,invocation,False,64.0
111,25961,sqs_fifo,128,invocation,False,64.0
112,31098,sqs_fifo,128,invocation,False,64.0
113,24864,sqs_fifo,128,invocation,False,64.0
114,126649,sqs_fifo,128,invocation,False,64.0
115,23387,sqs_fifo,128,invocation,False,64.0
116,21080,sqs_fifo,128,invocation,False,64.0
117,22039,sqs_fifo,128,invocation,False,64.0
118,20592,sqs_fifo,128,invocation,False,64.0
119,35536,sqs_fifo,128,invocation,False,64.0
120,26815,sqs_fifo,128,invocation,False,64.0
121,24151,sqs_fifo,128,invocation,False,64.0
122,28003,sqs_fifo,128,invocation,False,64.0
123,31395,sqs_fifo,128,invocation,False,64.0
124,26564,sqs_fifo,128,invocation,False,64.0
125,23495,sqs_fifo,128,invocation,False,64.0
126,25044,sqs_fifo,128,invocation,False,64.0
127,26069,sqs_fifo,128,invocation,False,64.0
128,26591,sqs_fifo,128,invocation,False,64.0
