type,value,memory,function,repetitions
total,0.11028167009353637,2048,writer,200
lock,0.09926294088363648,2048,writer,200
push,0.0038120830059051513,2048,writer,200
total,0.3327537763118744,2048,distributor,200
notify,0.00027944087982177733,2048,distributor,200
commit,0.11858752965927125,2048,distributor,200
write,0.09110851883888245,2048,distributor,200
pop,0.08952193140983582,2048,distributor,200
total,0.10323735117912293,512,writer,200
lock,0.09391701221466064,512,writer,200
push,0.0036765551567077637,512,writer,200
total,0.31647260069847105,512,distributor,200
notify,0.0001885986328125,512,distributor,200
commit,0.08276067495346069,512,distributor,200
write,0.08276067495346069,512,distributor,200
pop,0.08363212704658508,512,distributor,200

