,time,billed_time,memory,function
0,455.87218799999994,500,512,writer
1,130.514403,200,512,writer
2,115.52754000000002,200,512,writer
3,125.69839699999999,200,512,writer
4,119.564865,200,512,writer
5,231.04155500000002,300,512,writer
6,83.91214099999998,100,512,writer
7,117.97129899999999,200,512,writer
8,106.74093099999999,200,512,writer
9,115.076386,200,512,writer
10,237.040786,300,512,writer
11,148.7854,200,512,writer
12,127.882763,200,512,writer
13,116.532788,200,512,writer
14,152.23679099999998,200,512,writer
15,172.526092,200,512,writer
16,124.89421999999999,200,512,writer
17,112.86440999999998,200,512,writer
18,113.585545,200,512,writer
19,115.41183799999999,200,512,writer
20,121.508889,200,512,writer
21,135.424203,200,512,writer
22,110.59640299999998,200,512,writer
23,137.426613,200,512,writer
24,150.6679,200,512,writer
25,145.873198,200,512,writer
26,121.194526,200,512,writer
27,118.465555,200,512,writer
28,155.658405,200,512,writer
29,143.912916,200,512,writer
30,117.43445199999998,200,512,writer
31,152.62427300000002,200,512,writer
32,104.910246,200,512,writer
33,115.047274,200,512,writer
34,182.44127899999998,200,512,writer
35,115.080011,200,512,writer
36,140.88243399999996,200,512,writer
37,124.189343,200,512,writer
38,145.072496,200,512,writer
39,104.539074,200,512,writer
40,78.85417599999998,100,512,writer
41,77.39972,100,512,writer
42,82.785741,100,512,writer
43,93.059179,100,512,writer
44,107.444864,200,512,writer
45,109.57107099999999,200,512,writer
46,99.448906,100,512,writer
47,109.72964999999999,200,512,writer
48,105.125893,200,512,writer
49,106.00480399999998,200,512,writer
50,95.18954599999998,100,512,writer
51,76.242963,100,512,writer
52,157.277457,200,512,writer
53,105.80680699999999,200,512,writer
54,58.19462399999999,100,512,writer
55,95.931521,100,512,writer
56,106.438183,200,512,writer
57,110.40467599999998,200,512,writer
58,84.96748,100,512,writer
59,63.66487,100,512,writer
60,191.34880800000002,200,512,writer
61,75.320048,100,512,writer
62,134.060631,200,512,writer
63,52.796616,100,512,writer
64,75.74986799999998,100,512,writer
65,99.12310199999999,100,512,writer
66,108.905237,200,512,writer
67,62.21504199999999,100,512,writer
68,105.245966,200,512,writer
69,69.256767,100,512,writer
70,76.330237,100,512,writer
71,55.64322399999999,100,512,writer
72,78.48280900000002,100,512,writer
73,84.37392100000001,100,512,writer
74,133.484356,200,512,writer
75,118.43212,200,512,writer
76,139.13269400000001,200,512,writer
77,99.296481,100,512,writer
78,78.26740699999998,100,512,writer
79,77.00086300000001,100,512,writer
80,92.52674399999998,100,512,writer
81,95.085223,100,512,writer
82,92.557704,100,512,writer
83,92.26845199999998,100,512,writer
84,116.827162,200,512,writer
85,161.14463700000002,200,512,writer
86,103.383051,200,512,writer
87,62.682703,100,512,writer
88,96.97662199999998,100,512,writer
89,89.407606,100,512,writer
90,184.97354299999995,200,512,writer
91,105.29150899999999,200,512,writer
92,82.54168800000001,100,512,writer
93,95.590668,100,512,writer
94,109.807418,200,512,writer
95,103.76254999999998,200,512,writer
96,193.46516599999995,200,512,writer
97,153.461551,200,512,writer
98,202.79862699999998,300,512,writer
99,177.730805,200,512,writer
100,95.51983899999999,100,512,writer
101,131.22375899999997,200,512,writer
102,224.03598599999995,300,512,writer
103,112.49563699999999,200,512,writer
104,86.880641,100,512,writer
105,109.628295,200,512,writer
106,109.53336499999997,200,512,writer
107,270.515918,300,512,writer
108,110.276888,200,512,writer
109,49.140977,100,512,writer
110,114.01329400000002,200,512,writer
111,93.396338,100,512,writer
112,97.930135,100,512,writer
113,89.823368,100,512,writer
114,81.18989499999998,100,512,writer
115,242.280419,300,512,writer
116,91.07252100000001,100,512,writer
117,79.289935,100,512,writer
118,105.86878499999999,200,512,writer
119,133.01884599999997,200,512,writer
120,96.234238,100,512,writer
121,132.24246300000001,200,512,writer
122,59.251914,100,512,writer
123,120.545977,200,512,writer
124,79.221491,100,512,writer
125,184.58876899999998,200,512,writer
126,97.676501,100,512,writer
127,101.50328999999999,200,512,writer
128,70.36919499999998,100,512,writer
129,99.574048,100,512,writer
130,101.369384,200,512,writer
131,112.044185,200,512,writer
132,81.122851,100,512,writer
133,54.41447199999999,100,512,writer
134,85.70145799999999,100,512,writer
135,98.936729,100,512,writer
136,76.85962999999998,100,512,writer
137,100.336717,200,512,writer
138,91.85964000000001,100,512,writer
139,105.999758,200,512,writer
140,92.520151,100,512,writer
141,157.90177,200,512,writer
142,101.655142,200,512,writer
143,99.56566699999998,100,512,writer
144,88.26078199999998,100,512,writer
145,92.485423,100,512,writer
146,78.147252,100,512,writer
147,102.583097,200,512,writer
148,55.873644,100,512,writer
149,105.991541,200,512,writer
150,84.118383,100,512,writer
151,94.515202,100,512,writer
152,99.422776,100,512,writer
153,86.74511799999998,100,512,writer
154,140.836409,200,512,writer
155,97.825012,100,512,writer
156,107.100027,200,512,writer
157,71.152788,100,512,writer
158,72.116033,100,512,writer
159,170.947846,200,512,writer
160,77.71006799999999,100,512,writer
161,68.143896,100,512,writer
162,81.174105,100,512,writer
163,71.659556,100,512,writer
164,133.143501,200,512,writer
165,101.59550399999999,200,512,writer
166,97.495358,100,512,writer
167,130.249518,200,512,writer
168,105.140529,200,512,writer
169,114.970573,200,512,writer
170,97.656665,100,512,writer
171,107.10971800000002,200,512,writer
172,120.75038199999999,200,512,writer
173,105.27947399999998,200,512,writer
174,105.387614,200,512,writer
175,100.97666299999997,200,512,writer
176,65.02045100000001,100,512,writer
177,148.95472900000001,200,512,writer
178,146.29749899999996,200,512,writer
179,155.08758000000003,200,512,writer
180,223.89500800000002,300,512,writer
181,75.758722,100,512,writer
182,214.883869,300,512,writer
183,75.250466,100,512,writer
184,111.19542899999999,200,512,writer
185,98.30050299999999,100,512,writer
186,108.06617899999999,200,512,writer
187,53.437197,100,512,writer
188,92.290331,100,512,writer
189,106.70321299999999,200,512,writer
190,108.32264099999999,200,512,writer
191,85.701088,100,512,writer
192,64.024572,100,512,writer
193,97.68001199999998,100,512,writer
194,117.165305,200,512,writer
195,88.60475600000001,100,512,writer
